StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12659,Creature,Noblewoman,Noblewoman,귀부인,AC_ALICINE|AC_CHASTITY|AC_MURIEL|AC_PEMBERTON2|M2Q05CGREENNOB03|M2Q05CNOBLEWOMAN|M2Q6CNOBW|RESISTANCEARMYNOBLEFEMALE|RESISTANCEARMYNOBLEOTHER,,,,,0,0
24657,Creature,Noblewoman,Noblewoman,귀부인,M1Q1NEWNOBLEFEM,,,,,0,0
12660,Creature,Nobleman,Nobleman,귀족,AC_PEMBERTON|M2Q05CGREENNOB01|M2Q05CGREENNOB02|M2Q05CNOBLEMAN|M2Q6CNOBM|RESISTANCEARMYNOBLEMALE|RESISTANCEARMYNOBLEOTHER,,,,,0,0
24658,Creature,Nobleman,Nobleman,귀족,M1Q1NEWNOBLEMALE,,,,,0,0
12662,Creature,Nymph,Nymph,님프,M2Q2CNYMPH|M2Q2FNYMPH,,,,,0,0
19569,Dialog,NORTHLEVER,The clang of metal bars echoes through the north wing of the prison.,금속 창살이 부딪히는 소리가 감옥의 북쪽 구역에 울려 퍼집니다.,M1Q2_NORTHLEVER,,,,,0,0
21618,Dialog,NOBLE2,"Hemmel is such a boy. He'd have us stand here for ages thinking his precious heirloom will return. Hmph!",헴멜은 정말 애송이야. 그 소중한 가보가 돌아올 거라고 생각하며 우릴 한없이 여기 서 있게 하다니. 흥!,M1Q4A01NOBLE2,,,,,0,0
21619,Dialog,NOBLE2,"Hemmel, the locals are pestering me. Could we please leave!","헴멜, 이 지역민들이 날 괴롭히고 있어. 우리 제발 떠날 수 없어!",M1Q4A01NOBLE2,,,,,0,0
21620,Dialog,NOBLE3,The Master is very attached to his... things.,주인님은 그분의... 물건들에 매우 애착이 있으시지.,M1Q4A01NOBLE3,,,,,0,0
24248,Dialog,NEWCOMMON,Got a silver?,은화 하나 있어?,TALK_M1Q1NEWCOMMON,,,,,0,0
24251,Dialog,NEWGUARD,You should be indoors.,실내로 들어가 있어야지.,TALK_M1Q1NEWGUARD,,,,,0,0
24567,Creature,Noble,Noble,귀족,M1GENELFNOBLE|M1GEN_ELFNOBLE,,,,,0,0
24624,Creature,Neibor,Neibor,네이보,M1Q04CMUGGER01,,,,,0,0
24643,Creature,Nyatar,Nyatar,니아타르,M1Q1A5NYATAR|M4Q01A05NYAT,,,,,0,0
48035,Creature,Nyatar,May the blessings of Earthmother Chauntea and the Treefather Silvanus be upon you in these dark times.,이 어두운 시기에 대지의 어머니 촌티아와 나무의 아버지 실바누스의 축복이 함께하시길.,M4Q01A05NYAT,,,,vs_fnyatarm_056,0,0
48036,Creature,Nyatar,"Welcome, child. Even those shunned by the world are welcome here. We are all children of nature, after all.","환영합니다, 아이여. 세상에게 외면받은 이들조차 이곳에서는 환영받습니다. 우리 모두 결국엔 자연의 자녀들이니까요.",M4Q01A05NYAT,,,,vs_fnyatarm_057,0,0
48037,Creature,Nyatar,As you wish. As long as this grove stands I will try to maintain the balance by offering my services to any who ask.,원하시는 대로요. 이 숲이 서 있는 한 저는 요청하는 누구에게나 제 도움을 제공함으로써 균형을 유지하려 노력하겠습니다.,M4Q01A05NYAT,nw_d1_shopnatur4,,,,0,0
48038,Creature,Nyatar,"There is little I can tell you, I fear. I have not left my grove for many days or nights and I know nothing of the details of this war ravaging the city.","말씀드릴 게 별로 없을 것 같습니다. 여러 날밤 동안 이 숲을 떠나지 않았고, 도시를 황폐화시키는 이 전쟁의 세부 사항은 전혀 모릅니다.",M4Q01A05NYAT,,,,,0,0
48039,Creature,Nyatar,May the Earthmother and Treefather give you the strength to maintain balance in these troubled times.,대지의 어머니와 나무의 아버지께서 이 혼란스러운 시기에 균형을 유지할 힘을 주시길.,M4Q01A05NYAT,,,,,0,0
48040,Creature,Nyatar,"I have worked long to preserve nature's balance in this city, but in the chaos and destruction of war all my efforts are focused on preserving this grove as a place of tranquility and refuge for those who need it.","이 도시에서 자연의 균형을 지키기 위해 오랫동안 일해 왔지만, 전쟁의 혼돈과 파괴 속에서 제 모든 노력은 필요한 이들을 위해 이 숲을 평온과 피난처의 장소로 보존하는 데 집중되어 있습니다.",M4Q01A05NYAT,,,,,0,0
24712,Creature,Noble Guard,Noble Guard,귀족 경비,M1S1GENNOBLEGUARD,,,,,0,0
35116,Creature,Nymph Ranger Slave,The mistress must be protected. Slay the intruder!,여주인을 보호해야 해. 침입자를 죽여!,M2Q2HSLAVE2,,,,,0,0
40916,Creature,Nymph Ranger Slave,Nymph Ranger Slave,님프 순찰자 노예,M2Q2HSLAVE2,,,,,0,0
64670,Creature,Nymph Ranger Slave,Kill for the mistress!,여주인을 위해 죽여라!,M2Q2HSLAVE2,m2q2nymphslave02,,,,0,0
64671,Creature,Nymph Ranger Slave,What has happened to me? Where am I? I must find my family!,내게 무슨 일이 일어난 거지? 여긴 어디야? 가족을 찾아야 해!,M2Q2HSLAVE2,m2q2h_slaveleave,,,,0,0
40028,Dialog,NEVERWINWOOD,Neverwinter Wood.,네버윈터 숲.,M2_NEVERWINWOOD,,,,,0,0
40697,Creature,Noble Customer,Noble Visitor,귀족 방문객,2Q4C_NOBLECUSTOMER,,,,,0,0
40698,Creature,Noble Customer,Noble Customer,귀족 고객,2Q4C_NOBLECUSTOMER,,,,,0,0
40817,Creature,Nuglat,Nuglat,누글랏,M2Q05CNUGLAT,,,,,0,0
40917,Creature,Nymph Druid Slave,Nymph Druid Slave,님프 드루이드 노예,M2Q2HSLAVE4,,,,,0,0
40918,Creature,Nymph Slave,Nymph Slave,님프 노예,M2Q2HSLAVE5|M2Q2HSLAVE6,,,,,0,0
40951,Creature,Neva,Neva,네바,M2Q6CNEVA,,,,,0,0
41846,Creature,Nanny,"I... it is horrible, horrible! All the children... gone... ","저... 끔찍해요, 끔찍해요! 아이들이 전부... 없어졌어요... ",2Q4E_NANNY,,,,,0,0
41847,Creature,Nanny,Londa... Miss Londa's children... I am their nanny... ,론다... 론다 아가씨의 아이들... 저는 그들의 유모예요... ,2Q4E_NANNY,,,,,0,0
