StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12451,Creature,Quasit,Quasit,콰짓,2Q6_QUASIT,,,,,0,0
36813,Dialog,QUINT,Welcome to where the dead lie! Or is it lay? I forget which is which when they do both. I am Quint... I think.,죽은 자들이 누운 곳에 온 걸 환영해! 아니 눕는 곳인가? 둘 다 하니까 헷갈려. 난 퀸트야... 아마.,M2Q3G09QUINT,,,,vs_nquintm_053,0,0
36814,Dialog,QUINT,"That's what my brother Karlat said! That's what he said, and I said no! He wouldn't listen, of course. He wasn't the listening type.","형 칼랏이 그랬어! 형이 그랬는데 난 안 된다고 했어! 형은 안 들었지, 당연히. 원래 남 말 안 듣는 놈이었거든.",M2Q3G09QUINT,,,,,0,0
36815,Dialog,QUINT,"You'll see. I'm alive, you're alive, but you can't change Castle Jhareg... and you can't change the dead... they never EVER listen!","두고 봐. 나도 살아있고 너도 살아있지만 자렉 성은 못 바꿔... 죽은 자들도 못 바꿔... 걔들은 절대 절대 말을 안 들어!",M2Q3G09QUINT,m2q3quintvanish,,,vs_nquintm_052,0,0
36816,Dialog,QUINT,"He went ahead, but I said no! I put a stop to it, but it didn't stop! It was too late! You'll see! Maybe you'll see!","형은 밀어붙였어, 난 안 된다고 했는데! 내가 막았어, 근데 안 멈췄어! 너무 늦었어! 두고 봐! 어쩌면 보게 될 거야!",M2Q3G09QUINT,,,,,0,0
36817,Dialog,QUINT,"You walk in the Charwood, a town that is nowhere... or more, no-WHEN. What does that mean? Like I know? I'm alive, but I stay!","그을린숲을 걷고 있구나, 어디에도 없는 마을... 아니, 언제에도 없는 마을이지. 그게 무슨 뜻이냐고? 나도 몰라! 난 살아있는데도 여기 있어!",M2Q3G09QUINT,,,,,0,0
36818,Dialog,QUINT,"Everyone stays, no matter what. That's what happened in Castle Jhareg. We made everyone stay. All for my brother. All for the children.","다들 여기 있어, 무슨 일이 있어도. 자렉 성에서 그런 일이 있었어. 우리가 다들 못 가게 했지. 형을 위해서. 아이들을 위해서.",M2Q3G09QUINT,,,,,0,0
36819,Dialog,QUINT,"No, I'll see you again. I see everyone again. No one leaves. Not really. I stopped my brother Karlat, and he stopped everyone!","아니, 또 만나게 될 거야. 난 다들 또 만나. 아무도 안 떠나거든. 진짜로. 내가 형 칼랏을 막았고 형은 모두를 막았어!",M2Q3G09QUINT,,,,,0,0
36820,Dialog,QUINT,"A brother, a monster, a lord. Take your pick. All are right, and none are left. Heh. See, that was funny because... ah, nevermind.","형제, 괴물, 영주. 골라 봐. 다 맞아, 아무것도 안 남았고. 헤헤. 있지, 이거 웃긴 게... 아, 됐다.",M2Q3G09QUINT,,,,,0,0
36821,Dialog,QUINT,"Karlat and I are Lords of this place, but this place is nowhere, and our rule is nowhere. We sacrificed it all a long time ago.","칼랏이랑 나는 여기 영주야, 근데 여긴 아무 데도 아니야, 우리 지배도 아무것도 아니고. 오래전에 다 바쳤거든.",M2Q3G09QUINT,,,,,0,0
