StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
2868,Creature,Sphinx,Sphinx,스핑크스,X0_ANDROSPHINX,,,,,0,0
2872,Creature,Stinger,Stinger,스팅어,Q1_STINGER,,,,,0,0
12407,Creature,Stag Beetle,Stag Beetle,사슴벌레,M2Q05CBTLSTAG|NW_BTLSTAG,,,,,0,0
79562,Creature,Stag Beetle,Stag Beetle,사슴벌레,NW_BTLSTAG,,,,,0,0
12453,Creature,Succubus,Succubus,서큐버스,2Q4D_SUCCUBUS|HX_HELL_SUCC|KS_DIG_SUC|LIB04A_SUCCUBI|M2Q1CHSUCCUBUS|M3Q3BALOR|MORGANA|SITTINGSUCCUBUS,,,,,0,0
12578,Creature,Stone Golem,Stone Golem,석재 골렘,M2Q06CWIZGOLEM02|M3Q3_STONEGOLEM|NW_GOLSTONE|Q4B_STON_GOLEM|Q4B_STON_GOLEM2,,,,,0,0
12689,Creature,Shadow,Shadow,그림자,2Q4_SHADOW,,,,,0,0
12691,Creature,Shadow Fiend,Shadow Fiend,그림자 마귀,2Q6_SHAD_FIEND|2Q6_SHAD_LORD|NW_SHFIEND|Q4A_SHADOW,,,,,0,0
12693,Creature,Shield Guardian,Shield Guardian,방패 수호자,2Q6_SHIELDGAURD|DB_ROBOT|M3Q04G11_GUARDGOLEM|NW_SHGUARD|Q4_GUARDIAN|SHIELDGUARDIAN,,,,,0,0
79497,Creature,Shield Guardian,"Would you like your home and belongings guarded? If so, come visit the Golem Emporium on Northwest Vizier Street! We have the protection you need!",댁의 집과 재산을 보호받고 싶으신가요? 그렇다면 북서 고관의 거리에 있는 골렘 엠포리엄을 방문하세요! 필요한 만큼 보호해 드립니다!,UNDRENTIDEGOLEM,a_emporium,,,,0,0
79621,Creature,Shield Guardian,Shield Guardian,방패 수호자,UNDRENTIDEGOLEM,,,,,0,0
12695,Creature,Shadow Mastiff,Shadow Mastiff,그림자 마스티프,M2Q2CSHMASTIF,,,,,0,0
12698,Creature,Skeleton Chieftain,Skeleton Chieftain,해골 족장,M2Q2CSKELCAP|NW_SKELCHIEF,,,,,0,0
12701,Creature,Skeleton,Skeleton,해골,M0Q0_SKELETON|M3Q3C_SKELETON10|NW_SKELETON|SKELETALBUTLER,,,,,0,0
65989,Creature,Skeleton,Weak Skeleton,약한 해골,NW_SKELETON,,,,,0,0
75008,Creature,Skeleton,Skeleton Archer,해골 궁수,NW_SKELETON,,,,,0,0
12702,Creature,Skeleton Mage,Skeleton Mage,해골 마법사,2Q4E_MAGEACOLYTE,,,,,0,0
12704,Creature,Skeleton Warrior,Skeleton Warrior,해골 전사,M2Q2C2SKELWAR|NW_SKELWARR01|X1SKELLWAR,,,,,0,0
12716,Creature,Spectre,Spectre,악령,AC_PEREDUS,,,,,0,0
79616,Creature,Spectre,Spectre,악령,NW_SPECTRE,,,,,0,0
12724,Creature,Sword Spider,Sword Spider,칼날 거미,CUT1_SPIDER3|M2Q2CSPIDTROLL|NW_SPIDSWRD|Q5_SWORD_SPIDER,,,,,0,0
12727,Creature,Stirge,Stirge,스터지,M2Q1CSTIRGE,,,,,0,0
12765,Creature,Summoned Death Slaad,Summoned Death Slaad,소환된 죽음의 슬라드,NW_S_SLAADDETH,,,,,0,0
12766,Creature,Summoned Green Slaad,Summoned Green Slaad,소환된 녹색 슬라드,NW_S_SLAADGRN,,,,,0,0
12767,Creature,Summoned Red Slaad,Summoned Red Slaad,소환된 붉은 슬라드,NW_S_SLAADRED,,,,,0,0
18059,Dialog,SIGN,First Rule of the Gauntlet: Don't shoot the food.,경기장의 제1규칙: 먹이를 쏘지 마시오.,M1Q1A07S1SIGN,,,,,0,0
42527,Dialog,SIGN,WARNING: In case of emergancy; shut both furnace valves off at the same time to allow for a controlled closure of the planar portal.,경고: 비상 시 두 용광로 밸브를 동시에 잠가 차원문이 안전하게 닫히도록 하시오.,2Q6G_SIGN,,,,,0,0
