StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12790,Creature,Umber Hulk,Umber Hulk,움버 헐크,CUT101_GUARD|CUT106_MF2|GORLAXUMBERHULK|Q2A1_UMBERHULK|Q2A_BAT2_MF2|Q2D8SPAWN3|Q2DTHRALLSHOCK1|Q2D_ILL_HULK|Q2D_ILL_HULKW|Q2UMBERHULK,,,,,0,0
40872,Creature,Urth,Urth,어스,M2Q1CURTH,,,,,0,0
44261,Dialog,UTH2,"I spit on you, Oath-Breaker! May Rolgan's spirit haunt you for breaking your promise to defend him!","서약 파기자, 네놈에게 침을 뱉겠다! 롤간을 지키겠다던 약속을 어긴 대가로, 그의 영혼이 네놈을 따라다니길!",M3Q01A10UTH2,,,,,0,0
44262,Dialog,UTH2,"Rolgan owes you his life, <FullName>. You have earned much honor in defending him.","롤간은 당신에게 목숨을 빚졌소, <FullName>. 그를 변호하여 큰 명예를 얻으셨소.",M3Q01A10UTH2,nw_d1_talktime,,,,0,0
44263,Dialog,UTH2,I will not go into town. The soldiers eye me with hate and suspicion. They have no honor.,마을엔 안 가겠소. 병사들이 증오와 의심 어린 눈으로 쳐다보는데. 명예라곤 눈곱만큼도 없는 자들이지.,M3Q01A10UTH2,nw_d1_talktime,,,,0,0
44264,Dialog,UTH2,How can we ally ourselves with butchers who slaughter our warriors in the name of justice?,정의의 이름으로 우리 전사들을 도살하는 백정들과 어찌 손을 잡을 수 있겠소?,M3Q01A10UTH2,nw_d1_talktime,,,,0,0
44265,Dialog,UTH2,The Black Lion warriors will defend the sacred land of Beorunna's Well from the Luskan ravagers.,검은 사자 전사들이 베오룬나의 우물 성지를 러스칸 약탈자들로부터 지킬 것이오.,M3Q01A10UTH2,nw_d1_talkres,,,,0,0
44266,Dialog,UTH2,"We are a proud people, born of the Black Lion! Yet the soldiers call us savages. It is not our fault the Elk tribe has joined the Luskan cause!","우린 검은 사자의 피를 이은 자랑스러운 민족이오! 그런데 병사들은 우리를 야만인이라 부르지. 큰사슴 부족이 러스칸에 붙은 건 우리 잘못이 아니오!",M3Q01A10UTH2,nw_d1_talktime,,,,0,0
60563,Dialog,UTH2,Yusam has told us the Elk tribes spears no longer fly against the Lords' Alliance. Perhaps this will ease the hatred of the soldiers in the camp toward us.,유삼이 말하길 큰사슴 부족의 창이 더는 영주 연합을 향하지 않는다더군. 야영지 병사들의 우리를 향한 증오가 좀 누그러들지도 모르겠소.,M3Q01A10UTH2,nw_d1_talktime,,,,0,0
44267,Dialog,UTHG,"You are the Oath-Breaker! You promised to defend Rolgan, yet now he is dead! You are not welcome among the people of the Black Lion!","서약 파기자! 롤간을 변호하겠다고 약속해 놓고, 이제 그는 죽었소! 검은 사자 부족에게 당신은 환영받지 못하오!",M3Q01A10UTHG,,,,,0,0
44268,Dialog,UTHG,"Rolgan's body sits on a spike, yet Andar our chief claims we must not break our treaty with the Lords' Alliance.","롤간의 시신이 창끝에 꽂혀 있건만, 족장 안달은 영주 연합과의 조약을 깨면 안 된다 하시오.",M3Q01A10UTHG,nw_d1_talktime,,,,0,0
44269,Dialog,UTHG,This land is sacred to the Black Lion tribe. The Lords' Alliance should treat the Uthgardt here with more respect.,이 땅은 검은 사자 부족에게 성지요. 영주 연합은 이곳의 우스가르트를 더 존중해야 하오.,M3Q01A10UTHG,nw_d1_talktime,,,,0,0
44270,Dialog,UTHG,Here among our people we Uthgardt can escape the prejudice of the Lords' Alliance soldiers.,우리 동족 사이에서라면 우스가르트도 영주 연합 병사들의 편견을 피할 수 있소.,M3Q01A10UTHG,nw_d1_talkres,,,,0,0
44271,Dialog,UTHG,"For saving Rolgan, the people of the Black Lion hail you as a hero, <FullName>.","롤간을 구해 주셔서, 검은 사자 부족은 당신을 영웅으로 칭송하오, <FullName>.",M3Q01A10UTHG,nw_d1_talktime,,,,0,0
44272,Dialog,UTHG,The armies of Luskan pillage the land and the Uthgardt Elk tribe have joined their cause. But we of the Black Lion tribe will stand against them with honor!,러스칸 군대가 땅을 약탈하고 우스가르트 큰사슴 부족이 그들 편에 붙었소. 하지만 우리 검은 사자 부족은 명예롭게 맞서 싸울 것이오!,M3Q01A10UTHG,nw_d1_talktime,,,,0,0
60564,Dialog,UTHG,"The Elk tribe no longer fight alongside the Luskan horde, yet the soldiers in the camp still eye us with suspicion.","큰사슴 부족이 더는 러스칸 무리와 함께 싸우지 않지만, 야영지 병사들은 여전히 우리를 의심 어린 눈으로 보고 있소.",M3Q01A10UTHG,nw_d1_talktime,,,,0,0
45065,Dialog,UTHD,You come bearing an Uthgardt token of peace. Do you wish to negotiate with the people of the Elk?,우스가르트의 평화 징표를 들고 왔군요. 큰사슴 부족과 협상하러 온 겁니까?,M3Q02D01UTHD,,,,,0,0
45066,Dialog,UTHD,Taste the fury of the Uthgardt Elk tribe!,우스가르트 큰사슴 부족의 분노를 맛보라!,M3Q02D01UTHD,,,,,0,0
45067,Dialog,UTHD,Follow me. I will take you to Zokan.,따라오시오. 조칸에게 안내하겠소.,M3Q02D01UTHD,m3q2c08walktozok,,,,0,0
45068,Dialog,UTHD,You have come under a banner of peace and you look like a noble and trustworthy <man/woman>.,평화의 깃발 아래 왔고 고귀하고 믿음직한 분처럼 보이는군요.,M3Q02D01UTHD,nw_d1_talktime,,,,0,0
