StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
5637,Creature,Vampire,Vampire,흡혈귀,NW_VAMPIRE|TM_CR_VAMPIRE001,,,,,0,0
12455,Creature,Vrock,Vrock,브록,2Q4D_VROCK|2Q6_VROCK|HX_HELL_VROCK|NW_DMVROCK|Q2E_EVIL4|TM_VROCK,,,,,0,0
60132,Creature,Vrock,Karcha will see the flesh torn from your bones puny creature.,카르챠가 네 뼈에서 살점이 찢겨 나가는 걸 지켜봐 주마 하찮은 것아.,2Q6_VROCK,,,,,0,0
12794,Creature,Vampire Warrior,Vampire Warrior,흡혈귀 투사,Q2BLAIR_VAMPBOSS,,,,,0,0
22486,Creature,Vengaul,"Er... yes! Yes, this is my second wave, come to fight you! Adventurers all, we will defeat you!","어... 그래! 그래, 이들은 제 2차 병력이다. 너희를 무찌르러 왔지! 모험가들이여, 우리가 너희를 쓰러뜨릴 것이다!",M1Q04CVENGAUL,,,,vs_fvengaum_054,0,0
24636,Creature,Vengaul,Vengaul,벵골,M1Q04CVENGAUL,,,,,0,0
22518,Dialog,VENGAUL,"Well fought! You have proven quite the force, defeating Callik like that. The lad was giving me trouble. No sense of style.","잘 싸웠소! 칼릭을 그렇게 쓰러뜨리다니, 당신은 대단한 실력자로군. 그 녀석이 날 괴롭히고 있었지. 스타일이라곤 없는 녀석이었소.",M1Q4F23VENGAUL,m1_initstop,,,vs_fvengaum_050,0,0
22519,Dialog,VENGAUL,"Still, I gather from your well-fortified self that I am in further trouble, am I not?","하지만, 중무장한 당신을 보아하니 내가 더 큰 곤경에 빠진 것 같군요. 그렇지 않습니까?",M1Q4F23VENGAUL,,,,,0,0
22520,Dialog,VENGAUL,Nonsense. I merely issued a statement or two. How people choose to react to that is not my concern.,터무니없소. 나는 한두 마디 발언을 했을 뿐. 사람들이 그에 어떻게 반응할지는 내 관심사가 아니오.,M1Q4F23VENGAUL,,,,,0,0
22521,Dialog,VENGAUL,I stumbled upon the remains of a fine little bird that Nasher and his lackeys carelessly lost. Imagine my surprise at seeing some dog in the street carrying it. I merely wished to put it to good use.,나셰르와 그 부하들이 부주의하게 잃어버린 훌륭한 새의 잔해를 우연히 발견했소. 길거리의 개 한 마리가 그걸 물고 가는 걸 봤을 때 얼마나 놀랐는지 상상이나 하시오. 나는 단지 그걸 잘 활용하고 싶었을 뿐이오.,M1Q4F23VENGAUL,,,,,0,0
22522,Dialog,VENGAUL,"That's a blanketing statement. Why, may I ask, do you deem it necessary to kill me?","그건 일반화한 진술이오. 묻겠소, 왜 날 죽일 필요가 있다고 여기시오?",M1Q4F23VENGAUL,,,,,0,0
22523,Dialog,VENGAUL,"Well, a great deal of harm was taken. I'll just take my leave. You'll find what you need in my absence, I am sure.","뭐, 많은 피해가 있었군. 그럼 이만 가보겠소. 내가 없어도 필요한 걸 찾을 수 있을 거요.",M1Q4F23VENGAUL,m1q4vengslg01,,,,0,0
22524,Dialog,VENGAUL,That wasn't my doing. Desperate people do desperate things. Would you kill the baker if they rioted over bread?,그건 내가 한 일이 아니오. 절박한 사람들은 절박한 일을 하는 법. 빵 때문에 폭동이 일어났다고 제빵사를 죽이겠소?,M1Q4F23VENGAUL,,,,,0,0
22525,Dialog,VENGAUL,You'll pardon me if I just leave? My lieutenants will more than oblige your bloodlust. The spoils of victory to the winners!,그냥 떠나도 용서해 주시겠소? 내 부관들이 당신의 살육욕을 충분히 채워 줄 거요. 승리의 전리품은 승자의 것!,M1Q4F23VENGAUL,m1q4vengaulenemy,,,,0,0
22526,Dialog,VENGAUL,You don't know the old boy like I do. We've been at each other's throats for years. He'd not want me caged or dead.,당신은 그 늙은이를 나만큼 모르시오. 우린 수년간 서로 으르렁대왔소. 그는 내가 감옥에 가거나 죽길 원치 않을 거요.,M1Q4F23VENGAUL,,,,,0,0
22527,Dialog,VENGAUL,"This whole thing would have been an insult, to be sure, but deep inside, Nasher likes these little confrontations","물론 이 모든 일이 모욕적이긴 하지만, 속으로는 나셰르도 이런 작은 대결들을 즐기오.",M1Q4F23VENGAUL,,,,,0,0
