StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12441,Creature,White Stag,White Stag,순백색 수사슴,M3_DEERSTAG,,,,,0,0
12643,Creature,Water Mephit,Water Mephit,물 메피트,Q3_WATER_MEPHIT,,,,,0,0
12726,Creature,Wraith Spider,Wraith Spider,망령 거미,X2_Q2WRAITHSPID,,,,,0,0
12799,Creature,Waitress,Waitress,여종업원,2Q4_WAITRESS|M1S04CWAITRESS|M2Q05CGREENWAIT,,,,,0,0
12802,Creature,Water Elemental,Water Elemental,물의 원소 정령,M2AA2CWATELEM|Q3_WATER_ELEMENT,,,,,0,0
12808,Creature,Wererat,Wererat,늑대인간 쥐,M2Q04CWERERAT,,,,,0,0
12812,Creature,Wight,Wight,악귀,M3Q3C_WIGHT10,,,,,0,0
12814,Creature,Will-O'-Wisp,Will-O'-Wisp,도깨비불,M2Q2CWILLOWISP|TM_CRE_WILLOWISP,,,,,0,0
12816,Creature,Wolf,Wolf,늑대,FANG|M1S4DBEAST|M1S5AWOLF|M2Q02CWYVWOLF|M2Q03CWOLFMOTHER|M2Q2A_WOLF|M2Q3E_WOLF|M2WOLF|M3Q1MAP_YUSWOLF|NW_WOLF|Q1FOOTWOLF|Q1RING_WOLF|Q2EWOLF,,,,,0,0
70545,Creature,Wolf,<StartAction>[The wolf looks at you with a lopsided grin.]</Start>,<StartAction>[늑대가 비뚤어진 미소로 당신을 바라봅니다.]</Start>,Q1FOOTWOLF,,,,,0,0
70546,Creature,Wolf,The wolf wonders if the giant in the cave will throw out some more kobold parts to chew on.,늑대는 동굴 안의 거인이 씹을 만한 코볼트 부위를 더 내던지지 않을까 궁금해합니다.,Q1FOOTWOLF,,,,,0,0
70547,Creature,Wolf,"The wolf scratches at a flea bite, wondering if swimming in the river would be worth the effort to get rid of the pest. ","늑대는 벼룩 물린 곳을 긁으면서, 이 해충을 없애려고 강에서 수영하는 게 수고할 가치가 있을지 궁금해합니다.",Q1FOOTWOLF,,,,,0,0
70548,Creature,Wolf,The wolf appears bored and wonders when you are going to go hunting together.,늑대는 지루해 보이며 언제 함께 사냥하러 갈지 궁금해합니다.,Q1FOOTWOLF,,,,,0,0
70549,Creature,Wolf,"The wolf looks you over to decide if you would make a good mate, arriving at the decision that you would not produce good offspring together.","늑대는 당신을 훑어보며 좋은 짝이 될지 결정하려고 하다가, 함께 좋은 자손을 낳지는 못할 거라는 결론에 도달합니다.",Q1FOOTWOLF,,,,,0,0
70550,Creature,Wolf,The wolf complains about a stag he was hunting that kept disappearing into thin air.,늑대는 사냥하던 사슴이 공중으로 계속 사라져버려서 불평합니다.,Q1FOOTWOLF,,,,,0,0
70551,Creature,Wolf,"The wolf wonders how you can stand to move about on two legs, since you are obviously much slower.",늑대는 당신이 분명히 훨씬 느린데도 어떻게 두 다리로 움직이는 걸 견디는지 궁금해합니다.,Q1FOOTWOLF,,,,,0,0
12820,Creature,Worg,Worg,워그,BW_WORG01|BW_WORGBOSS|DB_WORG01|KS_WORG|M2Q3E_WORG|Q1CAVEWORG|Q1FOOTWORG,,,,,0,0
12822,Creature,Wraith,Wraith,망령,M1S1WRAITH,,,,,0,0
79636,Creature,Wraith,Wraith,망령,NW_WRAITH,,,,,0,0
18060,Dialog,WT,"Good on you, boss, showing these rabble they could be beat. Not great for business, but worth it to see them get fed their boots.","잘했어요, 대장님. 이 오합지졸한테 당할 수 있다는 걸 보여줬잖아요. 장사에는 별로지만, 걔네가 꼴 좀 당하는 걸 보는 건 그만한 가치가 있죠.",M1Q1A07S1WT,,,,,0,0
18061,Dialog,WT,You'll want to take that there pass to the bartender. He'll set you up. That's all I'm saying.,통행 주화를 저기 바텐더한테 가져가세요. 다 준비해줄 겁니다. 그게 다예요.,M1Q1A07S1WT,,,,,0,0
18062,Dialog,WT,The bartender will take your order. I'm busy.,바텐더가 주문 받을 거예요. 전 바빠요.,M1Q1A07S1WT,,,,,0,0
