StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
12827,Creature,Zombie,Zombie,좀비,2Q4_ZOMBIE|AC_PROTO176M|AC_PROTO210Z|BW_ZOMBIE01|BW_ZOMBIE02|DRAGOTHMINION|M1Q5E01ZOMBIE|NW_ZOMBIE01|NW_ZOMBIE02,,,,,0,0
59954,Creature,Zombie,Must feed,먹어야 해,2Q4_ZOMBIE,,,,,0,0
59955,Creature,Zombie,Must destroy,파괴해야 해,2Q4_ZOMBIE,,,,,0,0
59956,Creature,Zombie,For the master,주인님을 위해,2Q4_ZOMBIE,,,,,0,0
83021,Creature,Zombie,Zombie,좀비,Q2_ZOMBIE,,,,,0,0
12830,Creature,Zombie Warrior,Zombie Warrior,좀비 투사,2Q4_ZOMB_WAR|AC_PROTO215D,,,,,0,0
23841,Dialog,ZGUL,"Hear my voice through your dead! You thought to use me, to sacrifice for a spell! I have used you to free myself!","망자들을 통해 내 목소리를 들어라! 네가 나를 이용하려 했지, 주문의 제물로! 하지만 나는 너를 이용해 스스로 해방되었노라!",M1Q5E13ZGUL,m1q5e13zgulslg01,,,vs_ngulnanf_050,0,0
23842,Dialog,ZGUL,You will join my legion of dead! I have seen the visions! The scaled ones will rule here! I will overrun!,네놈도 내 망자의 군단에 합류하게 될 것이다! 환상을 보았노라! 비늘 달린 자들이 이곳을 지배하리니! 모든 것을 휩쓸어버리리라!,M1Q5E13ZGUL,m1q5e13zgulslg01,,,vs_ngulnanf_051,0,0
23843,Dialog,ZGUL,"The plague weakens you, but strengthens my army! It is a blessing! A gift! You cannot imagine the gift!","역병이 너희를 쇠약하게 할수록 내 군대는 강해진다! 축복이로다! 선물이로다! 이 선물이 얼마나 대단한지 상상조차 못하리라!",M1Q5E13ZGUL,m1q5e13zgulslg01,,,vs_ngulnanf_052,0,0
23844,Dialog,ZGUL,"You cannot deny that the scales will rule! See the power I am granted?! It is incredible, and beyond even Merrshaulk!","비늘 달린 자들이 지배하리라는 것을 부정할 수 없으리! 내게 부여된 이 힘을 보라! 경이로우며 메르샤울크조차 능가하노라!",M1Q5E13ZGUL,m1q5e13zgulslg01,,,vs_ngulnanf_053,0,0
23845,Dialog,ZGUL,"Come if you must, but you will die! The visions cannot lie! I see the coming of the eye! The eye!","기어이 오겠다면 와라, 하지만 죽게 되리라! 환상은 거짓을 말하지 않는다! 눈의 도래가 보인다! 그 눈이!",M1Q5E13ZGUL,m1q5e13zgulslg01,,,vs_ngulnanf_054,0,0
24755,Creature,Zelieph,Zelieph,젤리에프,ZELIEPH,,,,,0,0
24756,Creature,ZooPatron,ZooPatron,동물원 손님,LOOKERS,,,,,0,0
30980,Dialog,ZMTHR,Hard day?,힘든 하루였어?,M2Q1A03ZMTHR,m2q5_zamith003,,,vs_nbarbaf1_053,0,0
30982,Dialog,ZMTHR,Interested in a hard night?,격렬한 밤에 관심 있어?,M2Q1A03ZMTHR,,,,vs_nbarbaf1_054,0,0
