StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
69546,Creature,Nora Blake,"Oh, thank the gods; Adam called down and said you returned the baby to him.","오, 신들께 감사해요. 아담이 당신이 아기를 돌려줬다고 내려와서 말해줬어요.",Q1BNORA,,,,,0,0
69547,Creature,Nora Blake,"Leave me be! My home is broken, no thanks to you!","날 내버려둬요! 당신 탓에 우리 집이 엉망이 됐어요!",Q1BNORA,,,,,0,0
69548,Creature,Nora Blake,Where are they? Where are Adam and Tynan? Did you find them?,어디 있어요? 아담이랑 타이난은요? 찾았어요?,Q1BNORA,,,,,0,0
69549,Creature,Nora Blake,"Oh, please hurry. I have the worst feeling of dread for my innocent child.","오, 제발 서둘러주세요. 내 순진한 아이에게 끔찍한 일이 생길 것 같아서 불안해 죽겠어요.",Q1BNORA,,,,,0,0
69550,Creature,Nora Blake,"<StartAction>[sob]</Start> No, no, gods no! Do not say they are dead! No! I cannot take this! Death take me; death take us all.","<StartAction>[흐느낌]</Start> 안 돼, 안 돼, 신이시여! 죽었다고 말하지 마세요! 안 돼! 못 견디겠어요! 차라리 나도 죽여요, 우리 모두 죽여요.",Q1BNORA,act_q6deekin_5,,,,0,0
69551,Creature,Nora Blake,"What is it? Please, tell me what has happened!","무슨 일이에요? 제발, 무슨 일이 있었는지 말해줘요!",Q1BNORA,,,,,0,0
69552,Creature,Nora Blake,"No! Not sweet Tynan! <StartAction>[Sob]</Start> How could the gods be so cruel? Oh, Adam!","안 돼! 사랑스러운 타이난이! <StartAction>[흐느낌]</Start> 신들이 어떻게 이렇게 잔인할 수 있어요? 오, 아담!",Q1BNORA,act_nora_6,,,,0,0
69553,Creature,Nora Blake,"Bring him to me, please!","제발, 그 애를 데려다줘요!",Q1BNORA,,,,,0,0
69554,Creature,Nora Blake,"Oh thank the gods, and you too, <FirstName>. I will go up and nurse him right away. That always soothes him so.","오, 신들께 감사하고, <FirstName> 당신에게도요. 당장 올라가서 젖을 먹일게요. 그러면 항상 아이가 진정하거든요.",Q1BNORA,act_q1bnora_4,,,,0,0
69555,Creature,Nora Blake,"What? No! Please, do not say such a thing. What good could come from taking him? You cannot mean this!","뭐라고요? 안 돼요! 제발, 그런 말 하지 마세요. 아이를 데려가서 뭘 어쩌겠다는 거예요? 진심은 아니겠죠!",Q1BNORA,,,,,0,0
69556,Creature,Nora Blake,"I do not trust you. Give my child back and I will pay you. You are stronger than I am, so you do not have to worry about me double crossing you.","당신을 믿을 수 없어요. 내 아이를 돌려주면 돈을 드릴게요. 당신이 나보다 강하니까, 제가 배신할 걱정은 안 해도 돼요.",Q1BNORA,,,,,0,0
69557,Creature,Nora Blake,"No! I will kill you, you villain!","안 돼! 널 죽여버릴 거야, 이 악당!",Q1BNORA,nw_d1_attonend02,,,,0,0
69558,Creature,Nora Blake,"Thank the gods, and you too, <FirstName>. Oh, Tynan, you precious little boy. How I feared you were dead. ","신들께 감사하고, <FirstName> 당신에게도요. 오, 타이난, 내 소중한 아기. 네가 죽었을까 봐 얼마나 무서웠는지.",Q1BNORA,act_q1hblake_9a,,,,0,0
69559,Creature,Nora Blake,"But where is Adam? He... he is still alive, isn't he? Please, tell me I am not a widow.","그런데 아담은요? 아직... 살아있죠? 제발, 과부가 아니라고 말해줘요.",Q1BNORA,,,,,0,0
69560,Creature,Nora Blake,"<StartCheck>[Failure]</Start> Your mouth says he lives, but I can see it in your eyes. My Adam is gone! Why would you lie to me about such a thing?","<StartCheck>[실패]</Start> 입으론 살아있다고 하지만, 눈빛에서 보여요. 내 아담이 죽었어요! 왜 그런 일로 거짓말을 해요?",Q1BNORA,act_nora_5,,,,0,0
69561,Creature,Nora Blake,"You killed him! Yes, that is the only reason for you to lie to me. Well, you won't kill me too! You can't have my baby! No! Help, murder!","당신이 죽였어요! 그래요, 그게 거짓말할 유일한 이유예요. 나까지 죽일 순 없어요! 내 아기는 안 돼요! 안 돼! 도와줘요, 살인자야!",Q1BNORA,act_q6deekin_5,,,,0,0
69562,Creature,Nora Blake,"<StartCheck>[Success]</Start> Oh, thank you. I will go to him right away. First though, you deserve a reward. The only thing of value I have is my wedding ring. ","<StartCheck>[성공]</Start> 오, 감사해요. 당장 그에게 갈게요. 하지만 먼저, 보상을 드려야죠. 제가 가진 유일한 귀중품은 결혼반지예요.",Q1BNORA,act_nora_7,,,,0,0
69563,Creature,Nora Blake,"No! No, poor, brave Adam. Those monsters murdered him! How can the gods be so cruel? At... at least I have Tynan, a small piece to remember Adam by.","안 돼요! 안 돼, 불쌍하고 용감한 아담. 그 괴물들이 죽였어요! 신들이 어떻게 이렇게 잔인할 수 있어요? 그... 그래도 타이난이 있으니, 아담을 기억할 작은 조각이라도요.",Q1BNORA,act_nora_5,,,,0,0
69564,Creature,Nora Blake,"I have my home and my wedding ring, as well. Of course, without Adam to support me, I guess I will have to sell the ring; just to help me until I can find a job.","집이랑 결혼반지도 있고요. 물론, 아담 없이 날 부양해줄 사람이 없으니, 반지를 팔아야 할 것 같아요. 일자리를 찾을 때까지 버티려면요.",Q1BNORA,,,,,0,0
69565,Creature,Nora Blake,"Oh, <FirstName>, I could not ask that of you. If not for you my child would be dead too. I mean... it would be helpful, but I am sure I can survive if I sell my wedding ring.","오, <FirstName>, 그런 부탁은 못 해요. 당신이 아니었으면 내 아이도 죽었을 거예요. 그러니까... 도움이 되겠지만, 결혼반지를 팔면 살아갈 수 있을 거예요.",Q1BNORA,,,,,0,0
69566,Creature,Nora Blake,<StartAction>[Gasp]</Start> I would never have believed that anyone could be so kind. Be assured that Tynan will be raised to know who his savior was.,<StartAction>[헉]</Start> 이렇게 친절한 사람이 있을 줄은 몰랐어요. 타이난을 키우면서 누가 구해줬는지 꼭 알려줄게요.,Q1BNORA,act_nora_2,,,,0,0
69567,Creature,Nora Blake,"Oh, <FirstName>, that is so kind of you. Be assured that Tynan will be raised to know who his savior was. ","오, <FirstName>, 정말 친절하시네요. 타이난을 키우면서 누가 구해줬는지 꼭 알려줄게요.",Q1BNORA,act_gilford_5,,,,0,0
69568,Creature,Nora Blake,"I will sing your praises in his ear and someday, if I raise him properly, perhaps he will grow to emulate you. Good luck to you, <FirstName>. And thank you again.","그 애 귀에 당신 칭찬을 속삭여줄 거예요. 언젠가, 제대로 키우면, 어쩌면 당신을 본받아 자랄지도 몰라요. 행운을 빌어요, <FirstName>. 다시 한번 감사해요.",Q1BNORA,,,,,0,0
69569,Creature,Nora Blake,"No, please, leave Tynan alone. He is so small and helpless. Take my ring, just leave my babe alone!","안 돼요, 제발, 타이난은 내버려둬요. 아이는 너무 작고 무력해요. 제 반지를 가져가세요, 아기만 내버려둬요!",Q1BNORA,act_nora_3,,,,0,0
69570,Creature,Nora Blake,"But, I have nothing to give you. I need to sell my ring, or my child and I will starve to death before winter's end.","하지만, 드릴 게 없어요. 반지를 팔아야 해요, 안 그러면 겨울이 끝나기 전에 저와 아이가 굶어 죽을 거예요.",Q1BNORA,,,,,0,0
69571,Creature,Nora Blake,"Thank you again, <FirstName>. I will pray to the gods to keep you safe. ","다시 한번 감사해요, <FirstName>. 신들께 당신의 안녕을 빌게요.",Q1BNORA,,,,,0,0
69572,Creature,Nora Blake,"Oh, thank you. I will go to him right away. I have a healing potion hidden upstairs, where no one could find it.","오, 감사해요. 당장 그에게 갈게요. 위층에 아무도 못 찾는 곳에 치유 물약을 숨겨뒀어요.",Q1BNORA,,,,,0,0
69573,Creature,Nora Blake,"First though, you deserve a reward. The only thing of value I have is my wedding ring. It's nothing special, but you might get a few gold for it.","하지만 먼저, 보상을 드려야죠. 제가 가진 유일한 귀중품은 결혼반지예요. 특별한 건 아니지만, 금화 몇 개는 받을 수 있을 거예요.",Q1BNORA,,,,,0,0
69574,Creature,Nora Blake,"I am sorry; I wish I had more to offer. I hope all goes well for you. I had better go see to my husband. Thank you again, <FirstName>.","미안해요. 더 드릴 게 있었으면 좋겠어요. 모든 일이 잘 되길 바라요. 남편을 보러 가야겠어요. 다시 한번 감사해요, <FirstName>.",Q1BNORA,act_nora_3,,,,0,0
69575,Creature,Nora Blake,"Really? Oh, <FirstName>, that is so kind of you! When Adam and I have our next child, we will name it <FirstName>.. after you! Thank you so much. ","정말요? 오, <FirstName>, 정말 친절하시네요! 아담과 다음 아이를 낳으면, 당신 이름을 따서 <FirstName>이라고 지을게요! 정말 감사해요.",Q1BNORA,,,,,0,0
69576,Creature,Nora Blake,Be careful in your journeys. We wouldn't want to lose a hero like you.,여행길 조심하세요. 당신 같은 영웅을 잃으면 안 되니까요.,Q1BNORA,,,,,0,0
69577,Creature,Nora Blake,"Please, I can still hear my child crying. Save Tynan!","제발, 아직도 아이 우는 소리가 들려요. 타이난을 구해줘요!",Q1BNORA,,,,,0,0
69578,Creature,Nora Blake,"My family is doomed! Oh, why will you not help me? Please!","내 가족이 죽게 생겼어요! 오, 왜 날 도와주지 않는 거예요? 제발!",Q1BNORA,,,,,0,0
69579,Creature,Nora Blake,"Help me! Somebody help me! Oh, <FirstName>, thank the gods you are here! You must help me, please!","도와줘요! 누가 좀 도와줘요! 오, <FirstName>, 당신이 여기 있다니 신께 감사해요! 제발 도와줘요!",Q1BNORA,,,,,0,0
69580,Creature,Nora Blake,"Kobolds attacked our house. Adam and I were still in bed when they burst into our room. We climbed out the window and Adam helped me down, then he went back in the front door.  ","코볼트들이 우리 집을 습격했어요. 방에 들이닥쳤을 때 아담과 저는 아직 침대에 있었어요. 창문으로 탈출했고 아담이 저를 내려주고 나서, 정문으로 다시 들어갔어요.",Q1BNORA,,,,,0,0
69581,Creature,Nora Blake,"He went to save little Tynan, but he hasn't returned. Tynan is only two months old. Oh, please, <FirstName>, you must save them!","어린 타이난을 구하러 갔는데, 아직 돌아오지 않았어요. 타이난은 겨우 두 달밖에 안 됐어요. 오, 제발, <FirstName>, 그들을 구해줘요!",Q1BNORA,,,,,0,0
69582,Creature,Nora Blake,"But... but... you have been trained to do things like this. I would be slaughtered! Please, do not be so cruel! Save my family!","하... 하지만... 당신은 이런 일을 하도록 훈련받았잖아요. 저는 학살당할 거예요! 제발, 그렇게 잔인하게 굴지 마세요! 내 가족을 구해줘요!",Q1BNORA,,,,,0,0
