StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
31983,Dialog,ODEEL,Now how did that tree get there? That thing's going to wither my crops with its shade... ,"저 나무가 어떻게 저기 생긴 거지? 그늘 때문에 내 작물이 시들겠어...",M2Q1A14ODEEL,,,,vs_nfarmem1_056,0,0
31984,Dialog,ODEEL,"Howdy, stranger. What can I do for you?","안녕하시오, 낯선 양반. 뭘 도와드릴까요?",M2Q1A14ODEEL,,,,vs_nfarmem1_057,0,0
31985,Dialog,ODEEL,"Why them's be forest seeds. I run a farm, not an orchard, <lad/lass>! Why are you wanting for planting them seeds on my land, anyways?","그건 숲 씨앗이잖소. 난 농장을 하지, 과수원이 아니라고요, <lad/lass>! 대체 왜 내 땅에 그 씨앗을 심으려는 거요?",M2Q1A14ODEEL,,,,,0,0
31986,Dialog,ODEEL,"Yeah, well... you get a move on, then, all right?","그래, 뭐... 그럼 어서 가시오, 알겠소?",M2Q1A14ODEEL,,,,,0,0
31987,Dialog,ODEEL,"Well, it depends on what kind of deal you're offering. I might pull in 50 gold a season, but then where am I next season?","글쎄, 어떤 거래를 제안하느냐에 달렸소. 한 철에 금화 50개는 벌 수 있는데, 다음 철엔 어쩌고?",M2Q1A14ODEEL,,,,,0,0
31988,Dialog,ODEEL,"<StartCheck>[Success]</Start> All right, if it means that much to you that you'd dip into your own pocket like that... you can plant your trees here and I won't come closer.","<StartCheck>[성공]</Start> 좋소, 자기 주머니까지 털 만큼 중요하다면... 여기 나무를 심어도 되오, 가까이 안 갈게.",M2Q1A14ODEEL,,,,,0,0
31989,Dialog,ODEEL,"<StartCheck>[Failure]</Start> I'm afraid not, pal. This here is good soil and it would take more than that to make me leave it.","<StartCheck>[실패]</Start> 안 되겠소, 친구. 여긴 좋은 땅이고 그 정도론 떠날 수 없소.",M2Q1A14ODEEL,,,,,0,0
31990,Dialog,ODEEL,"All right, if it means that much to you that you'd dip into your own pocket like that... you can plant your trees here and I won't come closer.","좋소, 자기 주머니까지 털 만큼 중요하다면... 여기 나무를 심어도 되오, 가까이 안 갈게.",M2Q1A14ODEEL,,,,,0,0
31991,Dialog,ODEEL,"Harrumph. That's what I thought. Now, if you'll excuse me, I've got work to do. Like I said, I can't sit here all <quarterday> talking. Goodbye.","흥. 그럴 줄 알았소. 이만 실례하겠소, 할 일이 있으니. 말했듯이, <quarterday> 내내 얘기할 수 없소. 안녕.",M2Q1A14ODEEL,,,,,0,0
31992,Dialog,ODEEL,"<StartCheck>[Success]</Start> Well, so long as I ain't need to be paying them anything. Shoot, they can come over here and do some quick magic, I'm sure we'd both be benefiting.","<StartCheck>[성공]</Start> 글쎄, 내가 그들한테 뭘 안 줘도 된다면야. 젠장, 와서 마법 좀 부려주면 서로 이득이겠지.",M2Q1A14ODEEL,,,,,0,0
31993,Dialog,ODEEL,"All right. I guess it won't pay for me to be thinking on this too long. You can plant your seeds here. You just make sure them druids come through, or I go back to chopping.","좋소. 오래 고민해봐야 손해겠지. 여기 씨앗을 심어도 되오. 드루이드들이 꼭 오게 하시오, 안 그러면 다시 벌목할 거요.",M2Q1A14ODEEL,,,,,0,0
31994,Dialog,ODEEL,"<StartCheck>[Failure]</Start> And who's saying that I even need the help? Well, doesn't this just beat all? You come here from out of the who knows where trying to plant them seeds of yours.","<StartCheck>[실패]</Start> 내가 도움이 필요하다고 누가 그랬소? 이거 참 기가 막히네? 어디서 왔는지도 모르는 양반이 와서 씨앗을 심겠다고 하다니.",M2Q1A14ODEEL,,,,,0,0
