StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
49464,Dialog,OLGE,Come on over here and get your equipment.,이리 와서 장비를 받아 가게.,M0Q01A02OLGE,,,,vs_nprelum1_051,0,0
49465,Dialog,OLGE,"Hello there, <FirstName>. Come to get yourself some supplies from old Olgerd, have you? Good idea. We can't have you wandering about the streets naked. Might give the Academy a bad name.","안녕하신가, <FirstName>. 늙은 올거드한테 물자 좀 받으러 온 건가? 잘 생각했네. 발가벗고 거리를 돌아다니면 사관학교 망신이지.",M0Q01A02OLGE,m1q0apavelslg01,,,vs_nprelum1_052,0,0
49466,Dialog,OLGE,"The city guard are already having enough trouble maintaining control as it is. Plague bodies piled a dozen deep in the gutters, the Wailing Death running unchecked through the districts... horrible, I say!","도시 경비대는 지금도 질서를 유지하느라 정신없다네. 시궁창에 역병 시체가 수십 구씩 쌓이고, 울부짖는 죽음 역병이 구역마다 걷잡을 수 없이 퍼지고 있으니... 끔찍하지!",M0Q01A02OLGE,,,,,0,0
49467,Dialog,OLGE,"But you've heard all this before, I'm sure. And you need to get some equipment so you can continue your training. I guess it's time you learned how to access your inventory. Ready?","하지만 이런 얘긴 이미 다 들었겠지. 훈련을 계속하려면 장비가 필요할 테고. 이제 인벤토리에 접근하는 법을 배워야 할 때인 것 같군. 준비됐나?",M0Q01A02OLGE,,,,,0,0
49469,Dialog,OLGE,"The top section of the inventory shows equipped items. There are slots for your weapon, shield, armor, belts, capes, rings and other items.","인벤토리 상단에는 장비한 아이템이 표시되네. 무기, 방패, 갑옷, 허리띠, 망토, 반지 등을 위한 슬롯이 있지.",M0Q01A02OLGE,,,,,0,0
49470,Dialog,OLGE,The bottom section of your inventory shows items stored in your backpack. Notice the six tabs on the right hand side. Each tab opens up another page in your backpack's inventory.,인벤토리 하단에는 배낭에 보관된 아이템이 표시되네. 오른쪽에 탭 여섯 개가 보일 걸세. 각 탭을 누르면 배낭 인벤토리의 다른 페이지가 열리지.,M0Q01A02OLGE,,,,,0,0
49471,Dialog,OLGE,"To equip items, simply left-click and hold while dragging them to the appropriate section at the top of your inventory page. Or, you can right-click on an item and choose ""Equip"" from the menu.","아이템을 장비하려면 왼쪽 클릭한 채로 인벤토리 상단의 해당 부분으로 끌어다 놓으면 되네. 아니면 아이템을 오른쪽 클릭해서 메뉴에서 ""장비""을 선택해도 되고.",M0Q01A02OLGE,,,,,0,0
49472,Dialog,OLGE,"If you right-click on an item in your inventory, you will see a menu with an ""Examine"" option at the top. Selecting this will allow you to learn more about the object.","인벤토리에서 아이템을 오른쪽 클릭하면 맨 위에 ""조사"" 옵션이 있는 메뉴가 나타나네. 이걸 선택하면 그 물건에 대해 더 알 수 있지.",M0Q01A02OLGE,,,,,0,0
49473,Dialog,OLGE,"When you examine magical items, the game will automatically check your Lore skill. If your skill is high enough, you will get a complete description of the properties and abilities of the object.",마법 아이템을 조사하면 자동으로 전승지식 기술을 확인하네. 기술이 충분히 높으면 속성과 능력을 전부 알 수 있지.,M0Q01A02OLGE,nw_d1_talklevel,,,,0,0
49474,Dialog,OLGE,This might be a good time to teach you how to use stores in the game. I have some items here you might want to purchase. Since you're part of the Academy you get a special discount rate.,이 참에 게임에서 상점 사용법을 알려주는 게 좋겠군. 여기 자네가 사고 싶을 만한 물건이 좀 있네. 사관학교 소속이니 특별 할인을 받을 수 있지.,M0Q01A02OLGE,m1q0apavelslg01,,,vs_nprelum1_053,0,0
49475,Dialog,OLGE,"Are you interested in seeing my store? I'll give you a quick tutorial in how they work, too.",내 상점을 보고 싶은가? 작동 방식도 간단히 알려주겠네.,M0Q01A02OLGE,,,,,0,0
49476,Dialog,OLGE,"Before we enter the store, let me explain how it works. This is important, you're going to be using stores quite a bit during your adventures.",상점에 들어가기 전에 작동 방식을 설명하겠네. 중요한 거야. 모험하는 동안 상점을 꽤 많이 이용하게 될 테니까.,M0Q01A02OLGE,,,,,0,0
49477,Dialog,OLGE,"Fair enough. Still, let me explain how the stores work - you're going to need them at some time during your adventures.",알겠네. 그래도 상점 작동 방식은 설명해 줄 테니. 모험 중 언젠가는 필요할 거야.,M0Q01A02OLGE,,,,,0,0
49479,Dialog,OLGE,At the top of the store menu you'll see different tabs for the different types of equipment. Click on a tab and it will bring up the first page of the store menu with that type of equipment. ,상점 메뉴 상단에 장비 종류별로 다른 탭이 보일 걸세. 탭을 클릭하면 해당 종류 장비의 첫 페이지가 나타나지.,M0Q01A02OLGE,,,,,0,0
49480,Dialog,OLGE,"There are arrow buttons in the upper corners of the store menu for scrolling through the different inventory pages. On each page, passing the cursor over an item will display the name and cost at the bottom of the menu.",상점 메뉴 위쪽 모서리에 화살표 버튼이 있어서 페이지를 넘길 수 있네. 커서를 아이템 위에 올리면 아래쪽에 이름과 가격이 뜨지.,M0Q01A02OLGE,,,,,0,0
49481,Dialog,OLGE,To buy something simply click and drag it from the store menu to your own inventory. This will purchase the item and automatically deduct the gold from your total.,뭔가 사려면 상점에서 자네 인벤토리로 끌어다 놓으면 되네. 그러면 구매되고 금화가 알아서 빠지지.,M0Q01A02OLGE,,,,,0,0
49482,Dialog,OLGE,Selling items works the same way. Just click and drag an item from your inventory to the store menu and the item will be sold.,판매도 마찬가지야. 인벤토리에서 상점으로 끌어다 놓으면 팔리네.,M0Q01A02OLGE,,,,,0,0
