StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26581,PC,Player Character,Could I ask you some questions?,몇 가지 물어봐도 될까?,2q4a_bridgegd,,[지능 보통],,,0,0
26582,PC,Player Character,Me want ask questions.,나 질문할래.,2q4a_bridgegd,,[지능 낮음],,,0,0
26583,PC,Player Character,Goodbye.,그럼 이만.,2q4a_bridgegd,,,,,0,0
26584,PC,Player Character,What is going on in Luskan?,러스칸에 무슨 일이 벌어지고 있지?,2q4a_bridgegd,,[지능 보통],,,0,0
26585,PC,Player Character,What going on in city?,도시에 무슨 일 있어?,2q4a_bridgegd,,[지능 낮음],,,0,0
26586,PC,Player Character,Do you know anything about cults in the city?,이 도시에 사교에 대해 아는 게 있나?,2q4a_bridgegd,,[지능 보통],,,0,0
26587,PC,Player Character,"You knows about cults here, maybe?","여기 사교 알아, 혹시?",2q4a_bridgegd,,[지능 낮음],,,0,0
26588,PC,Player Character,Can I ask you some directions?,길을 좀 물어봐도 될까?,2q4a_bridgegd,,[지능 보통],,,0,0
26589,PC,Player Character,Me new to city. Need directions.,나 이 도시에 처음이야. 길 필요해.,2q4a_bridgegd,,[지능 낮음],,,0,0
26590,PC,Player Character,Where is the nearest inn?,가장 가까운 여관은 어디지?,2q4a_bridgegd,,[지능 보통],,,0,0
26591,PC,Player Character,Where is the nearest temple?,가장 가까운 사원은 어디지?,2q4a_bridgegd,,[지능 보통],,,0,0
26592,PC,Player Character,Is there a place to buy equipment nearby?,근처에 장비를 살 곳이 있나?,2q4a_bridgegd,,[지능 보통],,,0,0
26593,PC,Player Character,Just give me an overview of the area.,이 지역을 대충 설명해 줘.,2q4a_bridgegd,,[지능 보통],,,0,0
26594,PC,Player Character,Me look for place to sleep.,잘 곳 찾아.,2q4a_bridgegd,,[지능 낮음],,,0,0
26595,PC,Player Character,Me look for temple.,사원 찾아.,2q4a_bridgegd,,[지능 낮음],,,0,0
26596,PC,Player Character,Me need place to buy stuff.,물건 살 데 필요해.,2q4a_bridgegd,,[지능 낮음],,,0,0
