StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26757,PC,Player Character,"Might I ask your name, friend?","이름을 물어봐도 될까, 친구?",2q4a_elynwyd,,[매력 높음/지능 중간],,,0,0
26758,PC,Player Character,May I ask you some questions?,몇 가지 질문해도 될까?,2q4a_elynwyd,,[매력 높음/지능 중간],,,0,0
26759,PC,Player Character,Who are you?,넌 누구지?,2q4a_elynwyd,,[매력 중간/지능 보통],,,0,0
26760,PC,Player Character,I would ask a question of you.,질문 하나 해도 될까?,2q4a_elynwyd,,[매력 중간/지능 보통],,,0,0
26761,PC,Player Character,Tell me who you are.,누군지 말해.,2q4a_elynwyd,,[매력 낮음/지능 중간],,,0,0
26762,PC,Player Character,"Yeah, whatever. I have a question.","그래, 뭐든. 질문 있어.",2q4a_elynwyd,,[매력 낮음/지능 중간],,,0,0
26763,PC,Player Character,Who you?,너 누구?,2q4a_elynwyd,,[지능 낮음],,,0,0
26764,PC,Player Character,Me have questions.,나 질문 있어.,2q4a_elynwyd,,[지능 낮음],,,0,0
26765,PC,Player Character,Goodbye.,그럼 이만.,2q4a_elynwyd,,,,,0,0
26766,PC,Player Character,I am called <FirstName>.,난 <FirstName>라고 해.,2q4a_elynwyd,,[지능 보통],,,0,0
26767,PC,Player Character,My name is <FullName>. Pleased to meet you.,내 이름은 <FullName>야. 만나서 반가워.,2q4a_elynwyd,,[지능 보통],,,0,0
26768,PC,Player Character,You don't need to know who I am.,넌 내가 누군지 알 필요 없어.,2q4a_elynwyd,,[지능 보통],,,0,0
26769,PC,Player Character,Me is <FirstName>.,나 <FirstName>.,2q4a_elynwyd,,[지능 낮음],,,0,0
26770,PC,Player Character,Me called <FullName>. Is nice to meet you.,나 <FullName>. 만나서 반가워.,2q4a_elynwyd,,[지능 낮음],,,0,0
26771,PC,Player Character,You no need know me.,너 내 이름 알 필요 없어.,2q4a_elynwyd,,[지능 낮음],,,0,0
26772,PC,Player Character,What's so terrible about today?,오늘 뭐가 그렇게 끔찍한 거지?,2q4a_elynwyd,,[지능 보통],,,0,0
26773,PC,Player Character,Do you know of any work around here?,근처에 일거리가 있을까?,2q4a_elynwyd,,[지능 보통],,,0,0
26774,PC,Player Character,Can you tell me what's going on in Luskan?,러스칸에서 무슨 일이 벌어지고 있는지 말해 줄래?,2q4a_elynwyd,,[지능 보통],,,0,0
26775,PC,Player Character,I need some directions.,길을 좀 알려줄래?,2q4a_elynwyd,,[지능 보통],,,0,0
26776,PC,Player Character,You tells me what go on in Luskan?,러스칸에 뭐 일 나? 말해줘?,2q4a_elynwyd,,[지능 낮음],,,0,0
26777,PC,Player Character,Me looks for work.,나 일 찾아.,2q4a_elynwyd,,[지능 낮음],,,0,0
26778,PC,Player Character,Me needs directions.,나 길 필요해.,2q4a_elynwyd,,[지능 낮음],,,0,0
26779,PC,Player Character,What bad about today?,오늘 뭐가 나빠?,2q4a_elynwyd,,[지능 낮음],,,0,0
26780,PC,Player Character,Perhaps you could tell me who you are?,혹시 누군지 말해 줄 수 있나?,2q4a_elynwyd,,[지능 보통],,,0,0
26781,PC,Player Character,Who you?,너 누구?,2q4a_elynwyd,,[지능 낮음],,,0,0
26782,PC,Player Character,What do you mean?,무슨 뜻이야?,2q4a_elynwyd,,[지능 보통],,,0,0
26783,PC,Player Character,Why is Kurth holding her captive?,커스는 왜 그녀를 가둬 둔 거지?,2q4a_elynwyd,,[지능 보통],,,0,0
26784,PC,Player Character,Where is she being held? Do you know?,어디에 붙잡혀 있는지 알아?,2q4a_elynwyd,,[지능 보통],,,0,0
26785,PC,Player Character,What would the reward be if I rescued her?,내가 구해 오면 보상은 뭐지?,2q4a_elynwyd,,[지능 보통],,,0,0
26786,PC,Player Character,I could rescue her for you.,내가 대신 구해줄 수도 있어.,2q4a_elynwyd,,[지능 보통],,,0,0
26787,PC,Player Character,"Sorry, but I'm not interested.",미안하지만 관심 없어.,2q4a_elynwyd,,[지능 보통],,,0,0
26788,PC,Player Character,Why sister captive?,왜 네 누이 갇혀?,2q4a_elynwyd,,[지능 낮음],,,0,0
26789,PC,Player Character,You knows where she held?,어디 갇혔는지 알아?,2q4a_elynwyd,,[지능 낮음],,,0,0
26790,PC,Player Character,"What reward for rescue, maybe?",구해주면 보상 뭐 있어?,2q4a_elynwyd,,[지능 낮음],,,0,0
26791,PC,Player Character,Me could rescues her.,나 그녀 구해줄 수 있어.,2q4a_elynwyd,,[지능 낮음],,,0,0
26792,PC,Player Character,Nope. Me have no interest. Too busy.,아니. 관심 없어. 너무 바빠.,2q4a_elynwyd,,[지능 낮음],,,0,0
26793,PC,Player Character,<StartCheck>[Persuade]</Start> I'm sure I can get your sister back safely.,<StartCheck>[설득]</Start> 네 여동생을 안전하게 데려올 수 있어.,2q4a_elynwyd,,[지능 보통],,,0,0
26794,PC,Player Character,"Fine, if you don't want my help, so be it.","좋아, 내 도움이 필요 없다면 그러라지.",2q4a_elynwyd,,[지능 보통],,,0,0
26795,PC,Player Character,"<StartCheck>[Persuade]</Start> Me get sister back safe, no problem.","<StartCheck>[설득]</Start> 나 누이 안전하게 데려와, 문제 없어.",2q4a_elynwyd,,[지능 낮음],,,0,0
26796,PC,Player Character,"Fine, me go then.","좋아, 그럼 난 간다.",2q4a_elynwyd,,[지능 낮음],,,0,0
26797,PC,Player Character,<StartCheck>[Persuade]</Start> All right... but don't you think some coin up front might be suitable for my trouble?,<StartCheck>[설득]</Start> 좋아... 하지만 수고비로 선금 좀 주는 게 맞지 않겠어?,2q4a_elynwyd,,[지능 보통],,,0,0
26798,PC,Player Character,Fine. But I want some coin now. Cough it up before I search your corpse.,좋아. 하지만 지금 당장 돈을 내. 안 그러면 시체에서 뒤져 가질 테니까.,2q4a_elynwyd,nw_d1_small_evil,[지능 보통],,,0,0
26799,PC,Player Character,I'll do what I can.,할 수 있는 만큼 해 보지.,2q4a_elynwyd,,[지능 보통],,,0,0
26800,PC,Player Character,"Evaine will be returned safe and sound, I promise.",에바인을 무사히 돌려보내겠다고 약속할게.,2q4a_elynwyd,,[지능 보통],,,0,0
