StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
28385,PC,Player Character,Who are you?,당신은 누구죠?,2q4c_rhaine,,[지능 보통],,,0,0
28386,PC,Player Character,Who you?,너 누구?,2q4c_rhaine,,[지능 낮음],,,0,0
28387,PC,Player Character,You don't seem happy about that.,그것에 대해 기뻐하지 않는 것 같네요.,2q4c_rhaine,,[지능 보통],,,0,0
28388,PC,Player Character,You not looks happy about that.,너 그거 안 좋아 보여.,2q4c_rhaine,,[지능 낮음],,,0,0
28389,PC,Player Character,Can I ask you a question?,질문 하나 해도 될까요?,2q4c_rhaine,,[지능 보통],,,0,0
28390,PC,Player Character,Me asks you question?,나 질문 해도 돼?,2q4c_rhaine,,[지능 낮음],,,0,0
28391,PC,Player Character,Bela told me to see you.,벨라가 당신을 만나보라고 했어요.,2q4c_rhaine,,2q4_oreth01,,,0,0
28392,PC,Player Character,Miss Bela say me shoulds talk to you.,벨라 언니가 너랑 얘기하래.,2q4c_rhaine,,2q4_oreth02,,,0,0
28393,PC,Player Character,Where do you mean?,어디를 말하는 거죠?,2q4c_rhaine,,[지능 보통],,,0,0
28394,PC,Player Character,What you means 'elsewhere?','다른 곳'이 어디야?,2q4c_rhaine,,[지능 낮음],,,0,0
28395,PC,Player Character,Goodbye.,안녕히.,2q4c_rhaine,,,,,0,0
28396,PC,Player Character,And if someone were willing to help you... ?,그런데 누군가 당신을 도울 의향이 있다면...?,2q4c_rhaine,,[지능 보통],,,0,0
28397,PC,Player Character,And if somebody say they is okay with helping you... ?,누가 너 도와줘도 괜찮다 하면...?,2q4c_rhaine,,[지능 낮음],,,0,0
28398,PC,Player Character,Just what do they make you do?,그들이 당신한테 정확히 뭘 시키는데요?,2q4c_rhaine,,[지능 보통],,,0,0
28399,PC,Player Character,What they makes you do?,걔네가 너한테 뭐 시켜?,2q4c_rhaine,,[지능 낮음],,,0,0
28400,PC,Player Character,Can you tell me about the High Captains?,대선장들에 대해 말해줄 수 있어요?,2q4c_rhaine,,[지능 보통],,,0,0
28401,PC,Player Character,"You tells me 'bout High Captains, maybe?",대선장들 얘기 좀 해줄래?,2q4c_rhaine,,[지능 낮음],,,0,0
28402,PC,Player Character,Why don't you do something about it yourself?,왜 직접 뭔가 해보지 않는 거죠?,2q4c_rhaine,,[지능 보통],,,0,0
28403,PC,Player Character,Why you not do something?,왜 너 뭔가 안 해?,2q4c_rhaine,,[지능 낮음],,,0,0
28404,PC,Player Character,Where do I find Kurth?,커스는 어디서 찾을 수 있죠?,2q4c_rhaine,,[지능 보통],,,0,0
28405,PC,Player Character,Where do I find Baram?,바람은 어디서 찾을 수 있죠?,2q4c_rhaine,,[지능 보통],,,0,0
28406,PC,Player Character,Tell me about Kurth.,커스에 대해 말해주세요.,2q4c_rhaine,,[지능 보통],,,0,0
28407,PC,Player Character,Tell me about Baram.,바람에 대해 말해주세요.,2q4c_rhaine,,[지능 보통],,,0,0
28408,PC,Player Character,Can they be reasoned with?,그들과 대화가 통할까요?,2q4c_rhaine,,[지능 보통],,,0,0
28409,PC,Player Character,Where me finds Kurth?,나 커스 어디서 찾아?,2q4c_rhaine,,[지능 낮음],,,0,0
28410,PC,Player Character,Where me finds Baram?,나 바람 어디서 찾아?,2q4c_rhaine,,[지능 낮음],,,0,0
28411,PC,Player Character,Tell me 'bout Kurth.,커스 얘기해 줘.,2q4c_rhaine,,[지능 낮음],,,0,0
28412,PC,Player Character,Tell me 'bout Baram.,바람 얘기해 줘.,2q4c_rhaine,,[지능 낮음],,,0,0
28413,PC,Player Character,Can Captains be talked to?,선장들한테 말 통해?,2q4c_rhaine,,[지능 낮음],,,0,0
28414,PC,Player Character,"How do I find Kurth, then?",그럼 커스는 어떻게 찾죠?,2q4c_rhaine,,[지능 보통],,,0,0
28415,PC,Player Character,"How do I find Baram, then?",그럼 바람은 어떻게 찾죠?,2q4c_rhaine,,[지능 보통],,,0,0
28416,PC,Player Character,"How me finds Kurth, then?",그럼 나 커스 어떻게 찾아?,2q4c_rhaine,,[지능 낮음],,,0,0
28417,PC,Player Character,"How me finds Baram, then?",그럼 나 바람 어떻게 찾아?,2q4c_rhaine,,[지능 낮음],,,0,0
28418,PC,Player Character,Nevermind.,신경 쓰지 마세요.,2q4c_rhaine,,[지능 보통],,,0,0
28419,PC,Player Character,Naw. Forgets it.,아니. 됐어.,2q4c_rhaine,,[지능 낮음],,,0,0
28420,PC,Player Character,"Yes, give me the key.","네, 열쇠를 주세요.",2q4c_rhaine,,[지능 보통],,,0,0
28421,PC,Player Character,"No, I don't need any key.","아니요, 열쇠는 필요 없어요.",2q4c_rhaine,,[지능 보통],,,0,0
28422,PC,Player Character,"Yeah, me needs key.","응, 나 열쇠 필요해.",2q4c_rhaine,,[지능 낮음],,,0,0
28423,PC,Player Character,"No, me not wants key.","아니, 나 열쇠 필요 없어.",2q4c_rhaine,,[지능 낮음],,,0,0
28424,PC,Player Character,"Yes, give me the key.","네, 열쇠를 주세요.",2q4c_rhaine,,[지능 보통],,,0,0
28425,PC,Player Character,"No, I don't need any key.","아니요, 열쇠는 필요 없어요.",2q4c_rhaine,,[지능 보통],,,0,0
28426,PC,Player Character,"Yeah, me needs key.","응, 나 열쇠 필요해.",2q4c_rhaine,,[지능 낮음],,,0,0
28427,PC,Player Character,"No, me not wants key.","아니, 나 열쇠 필요 없어.",2q4c_rhaine,,[지능 낮음],,,0,0
28430,PC,Player Character,Why do you think she'd send me to you?,왜 그녀가 저를 당신한테 보냈다고 생각하죠?,2q4c_rhaine,,[지능 보통],,,0,0
28431,PC,Player Character,Why you thinks she sends me?,왜 걔가 나를 보냈다고 생각해?,2q4c_rhaine,,[지능 낮음],,,0,0
28432,PC,Player Character,I said I thought the High Captains should be stopped.,제가 대선장들을 막아야 한다고 생각한다고 말했어요.,2q4c_rhaine,,[지능 보통],,,0,0
28433,PC,Player Character,Me says High Captains shoulds stop.,나 대선장들 멈춰야 한다고 말했어.,2q4c_rhaine,,[지능 낮음],,,0,0
28434,PC,Player Character,We were discussing the High Captains.,우리는 대선장들에 대해 이야기하고 있었어요.,2q4c_rhaine,,[지능 보통],,,0,0
28435,PC,Player Character,Miss Bela and me talks 'bout High Captains.,벨라 언니랑 나 대선장들 얘기했어.,2q4c_rhaine,,[지능 낮음],,,0,0
59866,PC,Player Character,Why would you serve the High Captains if you don't want to?,원하지 않으면서 왜 대선장들을 섬기는 거죠?,2q4c_rhaine,,[지능 보통],,,0,0
59867,PC,Player Character,Tell me what you know about these High Captains.,이 대선장들에 대해 아는 걸 말해주세요.,2q4c_rhaine,,[지능 보통],,,0,0
59868,PC,Player Character,Perhaps I could help you.,제가 당신을 도울 수 있을지도 모르겠네요.,2q4c_rhaine,,[지능 보통],,,0,0
