StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
29195,PC,Player Character,Speak quickly! What do you want with me?,빨리 말해! 나한테 원하는 게 뭐야?,2q4f_outcast,,[지능 보통],,,0,0
29196,PC,Player Character,Speaks quick! What you wants?,빨리 말해! 뭐 원해?,2q4f_outcast,,[지능 낮음],,,0,0
29197,PC,Player Character,Forget it. I'll leave you be.,됐어. 그냥 갈게.,2q4f_outcast,,[지능 보통],,,0,0
29198,PC,Player Character,What are you? How did you get here?,넌 뭐야? 어떻게 여기 온 거야?,2q4f_outcast,,[지능 보통],,,0,0
29199,PC,Player Character,I might consider helping you... ,도와줄 수도 있어...,2q4f_outcast,,[지능 보통],,,0,0
29200,PC,Player Character,What do you mean by your 'brother?' What is this amulet?,'형제'가 무슨 뜻이야? 그 호신부가 뭔데?,2q4f_outcast,,[지능 보통],,,0,0
29201,PC,Player Character,What is you? How you gets here?,너 뭐야? 어떻게 여기 왔어?,2q4f_outcast,,[지능 낮음],,,0,0
29202,PC,Player Character,Me might helps you... ,나 도와줄 수도 있어...,2q4f_outcast,,[지능 낮음],,,0,0
29203,PC,Player Character,What you means 'brother?' What is amulet?,'형제'가 뭐야? 호신부가 뭔데?,2q4f_outcast,,[지능 낮음],,,0,0
29204,PC,Player Character,Why do you need this amulet so badly?,그 호신부가 왜 그렇게 필요한 거야?,2q4f_outcast,,[지능 보통],,,0,0
29205,PC,Player Character,Why don't you just get it yourself?,왜 직접 안 가져가?,2q4f_outcast,,[지능 보통],,,0,0
29206,PC,Player Character,What reward do I get out of this?,보상은 뭔데?,2q4f_outcast,,[지능 보통],,,0,0
29207,PC,Player Character,"Okay, I'll do it.","알았어, 하지.",2q4f_outcast,,[지능 보통],,,0,0
29208,PC,Player Character,Why you wants amulet so bad?,호신부 왜 그렇게 원해?,2q4f_outcast,,[지능 낮음],,,0,0
29209,PC,Player Character,Why you not go gets it?,왜 직접 안 가져가?,2q4f_outcast,,[지능 낮음],,,0,0
29210,PC,Player Character,What reward me gets?,보상 뭐야?,2q4f_outcast,,[지능 낮음],,,0,0
29211,PC,Player Character,"Okay, me do it.","알았어, 할게.",2q4f_outcast,,[지능 낮음],,,0,0
29212,PC,Player Character,I have some more questions about this.,이것에 대해 질문이 좀 더 있어.,2q4f_outcast,,[지능 보통],,,0,0
29213,PC,Player Character,I want something up front before I do this.,이거 하기 전에 뭔가 먼저 받고 싶어.,2q4f_outcast,,[지능 보통],,,0,0
29214,PC,Player Character,Me got some questions 'bout job.,일에 대해 질문 있어.,2q4f_outcast,,[지능 낮음],,,0,0
29215,PC,Player Character,Me wants something now before me does this.,이거 하기 전에 뭔가 지금 원해.,2q4f_outcast,,[지능 낮음],,,0,0
29216,PC,Player Character,Why do you need this amulet so badly?,그 호신부가 왜 그렇게 필요한 거야?,2q4f_outcast,,[지능 보통],,,0,0
29217,PC,Player Character,Why don't you just get it yourself?,왜 직접 안 가져가?,2q4f_outcast,,[지능 보통],,,0,0
29218,PC,Player Character,What reward do I get out of this?,보상은 뭔데?,2q4f_outcast,,[지능 보통],,,0,0
29219,PC,Player Character,Why you wants amulet so bad?,호신부 왜 그렇게 원해?,2q4f_outcast,,[지능 낮음],,,0,0
29220,PC,Player Character,Why don't you just get it yourself?,왜 직접 안 가져가?,2q4f_outcast,,[지능 낮음],,,0,0
29221,PC,Player Character,What reward me gets?,보상 뭐야?,2q4f_outcast,,[지능 낮음],,,0,0
29222,PC,Player Character,I have a question about getting that amulet.,그 호신부 가져오는 것에 대해 질문이 있어.,2q4f_outcast,,nw_d2_j_fetch02,,,0,0
29223,PC,Player Character,Me has question about getting amulet,호신부 가져오는 거 질문 있어.,2q4f_outcast,,nw_d2_j_fetch03,,,0,0
29224,PC,Player Character,I have the amulet right here.,호신부 여기 있어.,2q4f_outcast,,nw_d2_j_fetch09,,,0,0
29225,PC,Player Character,Me got amulet here.,호신부 여기 있어.,2q4f_outcast,,nw_d2_j_fetch10,,,0,0
29226,PC,Player Character,Not so fast! The reward...?,잠깐! 보상은...?,2q4f_outcast,,[지능 보통],,,0,0
29227,PC,Player Character,You not grab so fast! Me wants reward... ,너무 빨리 가져가지 마! 나 보상 원해...,2q4f_outcast,,[지능 낮음],,,0,0
29228,PC,Player Character,Right. Time to kill you.,좋아. 이제 죽을 시간이야.,2q4f_outcast,,[지능 보통],,,0,0
29229,PC,Player Character,A key and some... lever? You better have a better reward that this!,열쇠랑 무슨... 레버? 이거보다 더 나은 보상이 있어야지!,2q4f_outcast,,[지능 보통],,,0,0
29230,PC,Player Character,That works for me.,그거면 됐어.,2q4f_outcast,,[지능 보통],,,0,0
29231,PC,Player Character,Uh-huh. You dies now.,응. 이제 죽어.,2q4f_outcast,,[지능 낮음],,,0,0
29232,PC,Player Character,Key and stick? You gives better reward... now!,열쇠랑 막대기? 더 좋은 보상 줘... 지금!,2q4f_outcast,,[지능 낮음],,,0,0
29233,PC,Player Character,Is okay with me.,나 괜찮아.,2q4f_outcast,,[지능 낮음],,,0,0
29234,PC,Player Character,You forgets it. Me go now.,됐어. 나 이제 가.,2q4f_outcast,,[지능 낮음],,,0,0
29235,PC,Player Character,"I'll listen to nothing! Die, undead thing!","아무것도 안 들을 거야! 죽어, 언데드 놈!",2q4f_outcast,,[지능 보통],,,0,0
29236,PC,Player Character,Me not listens! Undead dies!!,나 안 들어! 언데드 죽어!!,2q4f_outcast,,[지능 낮음],,,0,0
29237,PC,Player Character,I've heard enough. Time to die!,충분히 들었어. 이제 죽을 시간이야!,2q4f_outcast,,[지능 보통],,,0,0
29238,PC,Player Character,Me hears enough! You dies!!,충분히 들었어! 이제 죽어!!,2q4f_outcast,,[지능 낮음],,,0,0
29239,PC,Player Character,What's to stop me from taking it for myself?,내가 그냥 가져가면 어쩔 건데?,2q4f_outcast,,[지능 보통],,,0,0
29240,PC,Player Character,What stops me from me taking it?,내가 그냥 가져가면 어쩔래?,2q4f_outcast,,[지능 낮음],,,0,0
29241,PC,Player Character,I'll go now.,이만 가볼게.,2q4f_outcast,,[지능 보통],,,0,0
29242,PC,Player Character,Me go now.,나 이제 가.,2q4f_outcast,,[지능 낮음],,,0,0
