StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
42081,PC,Player Character,Who are you?,당신은 누구죠?,2q6c_nyphithys,,[지능 보통],,,0,0
42082,PC,Player Character,Who is this Maugrim?,이 모그림이란 자는 누구죠?,2q6c_nyphithys,,[지능 보통],,,0,0
42083,PC,Player Character,Stand back! I'll have no tricks out of you!,물러서세요! 속임수는 통하지 않을 겁니다!,2q6c_nyphithys,,[지능 보통],,,0,0
42084,PC,Player Character,Who you?,너 누구야?,2q6c_nyphithys,,[지능 낮음],,,0,0
42085,PC,Player Character,Who this Maugrim you talks of?,너 말하는 모그림 누구야?,2q6c_nyphithys,,[지능 낮음],,,0,0
42086,PC,Player Character,You stands back! No tricks from you!!,너 물러서! 속임수 안 통해!!,2q6c_nyphithys,,[지능 낮음],,,0,0
42087,PC,Player Character,Are you sure of that?,확신하나요?,2q6c_nyphithys,,[지능 보통],,,0,0
42088,PC,Player Character,You sure 'bout that?,그거 확실해?,2q6c_nyphithys,,[지능 낮음],,,0,0
42089,PC,Player Character,I don't know if I like the way you're sizing me up... ,당신이 나를 저렇게 훑어보는 게 마음에 들지 않는데요...,2q6c_nyphithys,,[지능 보통],,,0,0
42090,PC,Player Character,Me not knows if me likes how you looking at me... ,나 네가 나 쳐다보는 거 싫어...,2q6c_nyphithys,,[지능 낮음],,,0,0
42091,PC,Player Character,"I am seeking a way to destroy the cult, and its leader.",사교와 그 지도자를 파괴할 방법을 찾고 있습니다.,2q6c_nyphithys,,[지능 보통],,,0,0
42092,PC,Player Character,"Me wants to destroy cult... and leader, too.",나 사교 파괴하고 싶어... 지도자도.,2q6c_nyphithys,,[지능 낮음],,,0,0
42093,PC,Player Character,"I'm the one asking the questions, here!",질문하는 건 나예요!,2q6c_nyphithys,,[지능 보통],,,0,0
42094,PC,Player Character,"Me asks questions, not you!",질문하는 거 나야. 너 아니고!,2q6c_nyphithys,,[지능 낮음],,,0,0
42095,PC,Player Character,How is it that you know all this?,어떻게 이 모든 걸 아는 거죠?,2q6c_nyphithys,,[지능 보통],,,0,0
42096,PC,Player Character,How you knows all this stuff?,너 어떻게 이런 거 다 알아?,2q6c_nyphithys,,[지능 낮음],,,0,0
