StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
42379,PC,Player Character,Are you a prisoner here?,여기 갇혀 있는 거야?,2q6d_deltagar,,[지능 보통],,,0,0
42380,PC,Player Character,Stand back! I'll have no tricks out of you!,물러서! 속임수는 안 통해!,2q6d_deltagar,,[지능 보통],,,0,0
42381,PC,Player Character,"No, I'm certainly not one of the cultists.","아니, 난 분명 사교도가 아니야.",2q6d_deltagar,,[지능 보통],,,0,0
42382,PC,Player Character,You kept in prison?,너 감옥 갇혀?,2q6d_deltagar,,[지능 낮음],,,0,0
42383,PC,Player Character,Stand back! No tricks!!,물러서! 속임수 안 돼!!,2q6d_deltagar,,[지능 낮음],,,0,0
42384,PC,Player Character,"Me not cultist, no.","나 사교도 아니야, 응.",2q6d_deltagar,,[지능 낮음],,,0,0
42385,PC,Player Character,How do I know that this isn't some ruse?,이게 속임수가 아니란 걸 어떻게 알지?,2q6d_deltagar,,[지능 보통],,,0,0
42386,PC,Player Character,"I'd appreciate some information, first.","먼저, 정보를 좀 얻고 싶은데.",2q6d_deltagar,,[지능 보통],,,0,0
42387,PC,Player Character,What reward would I get for letting you go?,널 풀어주면 어떤 대가를 치를거지?,2q6d_deltagar,,[지능 보통],,,0,0
42388,PC,Player Character,Would you be able to find your way out on your own?,혼자서 나갈 길을 찾을 수 있어?,2q6d_deltagar,,[지능 보통],,,0,0
42389,PC,Player Character,I'm not here to rescue you.,널 구하러 온 게 아니야.,2q6d_deltagar,,[지능 보통],,,0,0
42390,PC,Player Character,How I know you not lying?,네가 거짓말 안 하는 거 어떻게 알아?,2q6d_deltagar,,[지능 낮음],,,0,0
42391,PC,Player Character,"Me have questions, first.","나 먼저, 질문 있어.",2q6d_deltagar,,[지능 낮음],,,0,0
42392,PC,Player Character,Is there reward for letting you go?,널 풀어주면 보상 있어?,2q6d_deltagar,,[지능 낮음],,,0,0
42393,PC,Player Character,You find way out on own?,혼자 나가는 길 찾아?,2q6d_deltagar,,[지능 낮음],,,0,0
42394,PC,Player Character,Me no rescuer.,나 구조자 아니야.,2q6d_deltagar,,[지능 낮음],,,0,0
42395,PC,Player Character,I never said that. You could betray me... I'll have to kill you.,그런 말 안 했어. 날 배신할 수도 있잖아... 죽여야겠군.,2q6d_deltagar,nw_d1_small_evil,[지능 보통],,,0,0
42396,PC,Player Character,"Yes, go on. I've got better things to do, here.","그래, 가. 여기서 할 일이 더 있거든.",2q6d_deltagar,,[지능 보통],,,0,0
42397,PC,Player Character,I don't know. Is there anything in it for me for helping you?,글쎄. 널 도우면 내게 뭐가 좋은데?,2q6d_deltagar,,[지능 보통],,,0,0
42398,PC,Player Character,Never say that. You coulds betray me... me has to kill you.,그런 말 안 했어. 너 나 배신할 수 있어... 나 너 죽여야 해.,2q6d_deltagar,nw_d1_small_evil,[지능 낮음],,,0,0
42399,PC,Player Character,"Yes, you go. Me has better things to do.","응, 너 가. 나 할 일 더 있어.",2q6d_deltagar,,[지능 낮음],,,0,0
42400,PC,Player Character,Don't know. What in it for me?,몰라. 나한테 뭐가 좋아?,2q6d_deltagar,,[지능 낮음],,,0,0
42401,PC,Player Character,I don't trust you. Time to die!,널 믿을 수 없어. 죽을 시간이야!,2q6d_deltagar,,[지능 보통],,,0,0
42402,PC,Player Character,No believe! Die! Die!!,안 믿어! 죽어! 죽어!!,2q6d_deltagar,,[지능 낮음],,,0,0
42403,PC,Player Character,"Yes, I could use some information.","그래, 정보가 좀 필요해.",2q6d_deltagar,,[지능 보통],,,0,0
42404,PC,Player Character,"You're of no use to me, then.","그렇다면, 넌 내게 쓸모없어.",2q6d_deltagar,,[지능 보통],,,0,0
42405,PC,Player Character,"Yes, tell me. That good.","응, 말해. 좋아.",2q6d_deltagar,,[지능 낮음],,,0,0
42406,PC,Player Character,"You no use to me, then.","그러면, 너 나한테 쓸모없어.",2q6d_deltagar,,[지능 낮음],,,0,0
42407,PC,Player Character,Then you're free to go.,그럼 가도 좋아.,2q6d_deltagar,,[지능 보통],,,0,0
42408,PC,Player Character,"Why don't you join me, then? I intend to stop Maugrim, myself.","그럼 나와 함께하지 않을래? 나도 모그림을 막으러 가는 중이야.",2q6d_deltagar,,[지능 보통],,,0,0
42409,PC,Player Character,Then you go now.,그럼 너 지금 가.,2q6d_deltagar,,[지능 낮음],,,0,0
42410,PC,Player Character,"Maybe you joins me, then? Me go to stop Maugrim now.","그럼 나랑 같이 갈래? 나 지금 모그림 막으러 가.",2q6d_deltagar,,[지능 낮음],,,0,0
42411,PC,Player Character,What happened here in the tower?,이 탑에서 무슨 일이 있었던 거야?,2q6d_deltagar,,[지능 보통],,,0,0
42412,PC,Player Character,How does one get around this place?,이곳을 어떻게 돌아다녀?,2q6d_deltagar,,[지능 보통],,,0,0
42413,PC,Player Character,Tell me what you know about the cult.,사교에 대해 아는 걸 말해줘.,2q6d_deltagar,,[지능 보통],,,0,0
42414,PC,Player Character,All right. I'm done with the questions.,알았어. 질문은 끝났어.,2q6d_deltagar,,[지능 보통],,,0,0
42415,PC,Player Character,What happen in tower?,탑에서 무슨 일 있었어?,2q6d_deltagar,,[지능 낮음],,,0,0
42416,PC,Player Character,How you gets around tower?,탑 어떻게 돌아다녀?,2q6d_deltagar,,[지능 낮음],,,0,0
42417,PC,Player Character,What you knows about cult?,사교에 대해 뭐 알아?,2q6d_deltagar,,[지능 낮음],,,0,0
42418,PC,Player Character,Me done with questions.,나 질문 끝났어.,2q6d_deltagar,,[지능 낮음],,,0,0
42419,PC,Player Character,"I can't trust you not to betray me. Sorry, but you die.","날 배신 안 할 거라고 믿을 수 없어. 미안하지만, 죽어야겠어.",2q6d_deltagar,,[지능 보통],,,0,0
42420,PC,Player Character,"Me not trusts you not to betray. You die, now.","나 너 배신 안 할 거라고 안 믿어. 너 지금 죽어.",2q6d_deltagar,,[지능 낮음],,,0,0
42421,PC,Player Character,You're free to go. Or you could help me fight Maugrim.,가도 좋아. 아니면 나랑 모그림이랑 싸울 수도 있고.,2q6d_deltagar,,[지능 보통],,,0,0
42422,PC,Player Character,You free to go. Or you coulds help me fight Maugrim.,너 가도 돼. 아니면 나랑 모그림 싸워도 되고.,2q6d_deltagar,,[지능 낮음],,,0,0
42423,PC,Player Character,Why not join me and fight Maugrim?,나와 함께 모그림과 싸우지 않을래?,2q6d_deltagar,,[지능 보통],,,0,0
42424,PC,Player Character,Maybe you joins me and fight Maugrim?,나랑 같이 모그림 싸울래?,2q6d_deltagar,,[지능 낮음],,,0,0
42425,PC,Player Character,How did Maugrim manage to take over?,모그림이 어떻게 장악할 수 있었던 거야?,2q6d_deltagar,,[지능 보통],,,0,0
42426,PC,Player Character,What does he want the Tower for?,그가 탑을 원하는 이유가 뭐야?,2q6d_deltagar,,[지능 보통],,,0,0
