StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
79022,PC,Player Character,Goodbye.,안녕.,ashtara,,,,,0,0
79023,PC,Player Character,There are other things we must discuss.,다른 얘기할 게 있어.,ashtara,,,,,0,0
79024,PC,Player Character,Enough questions. I grow weary of them.,질문은 그만. 지겨워지네.,ashtara,,,,,0,0
79025,PC,Player Character,How is it that you speak the Common tongue?,어떻게 공용어를 하는 거지?,ashtara,,,,,0,0
79026,PC,Player Character,"Fine, but I still have other questions.","좋아, 하지만 다른 질문이 더 있어.",ashtara,,,,,0,0
79027,PC,Player Character,The mythal? What is that?,미살? 그게 뭔데?,ashtara,,,,,0,0
79028,PC,Player Character,Do you seek the power of this mythal?,미살의 힘을 원하는 거야?,ashtara,,,,,0,0
79029,PC,Player Character,Then I don't have much time.,그럼 시간이 별로 없군.,ashtara,,,,,0,0
79030,PC,Player Character,And if it falls into the wrong hands?,잘못된 자의 손에 들어가면?,ashtara,,,,,0,0
79031,PC,Player Character,I'm not speaking in Asabi.,난 아사비어로 말하는 게 아니야.,ashtara,,,,,0,0
79032,PC,Player Character,What brought you here to Undrentide?,왜 언드렌타이드까지 온 거야?,ashtara,,,,,0,0
79033,PC,Player Character,What did you do then?,그래서 어떻게 했어?,ashtara,,,,,0,0
79034,PC,Player Character,"If slaves are your trade, who were you planning to sell me to?","노예가 네 장사라면, 날 누구한테 팔 생각이었어?",ashtara,,,,,0,0
79035,PC,Player Character,Who are these Asabi you speak of?,네가 말하는 아사비가 누구야?,ashtara,,,,,0,0
79036,PC,Player Character,"Where are you from, Ashtara?","어디서 온 거야, 아슈타라?",ashtara,,,,,0,0
79037,PC,Player Character,I need your help. Heurodis must be stopped.,도움이 필요해. 헤우로디스를 막아야 해.,ashtara,,,,,0,0
79038,PC,Player Character,Never mind. You are of no use to me.,됐어. 넌 쓸모없군.,ashtara,,,,,0,0
