StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
49888,PC,Player Character,"Pleased to meet you, Chandra.","만나서 반가워, 찬드라.",m0q01a06chan,,[지능 보통],,,0,0
49889,PC,Player Character,"Hello, Chandra. Me name be <FullName>.","안녕, 찬드라. 나 이름 <FullName>이야.",m0q01a06chan,,[지능 낮음],,,0,0
49890,PC,Player Character,I think I'll be going now.,이제 가야겠어.,m0q01a06chan,,[지능 보통],,,0,0
49891,PC,Player Character,"Sorry, you must have me confused with someone else.","미안하지만, 나를 다른 사람으로 착각한 것 같아.",m0q01a06chan,,[지능 보통],,,0,0
49892,PC,Player Character,"Greetings, Chandra. My name is <FullName>.","안녕, 찬드라. 내 이름은 <FullName>이야.",m0q01a06chan,,[지능 보통],,,0,0
49893,PC,Player Character,Me name be <FullName>.,나 이름 <FullName>이야.,m0q01a06chan,,[지능 낮음],,,0,0
49894,PC,Player Character,I think I'll be going now.,이제 가야겠어.,m0q01a06chan,,[지능 보통],,,0,0
49895,PC,Player Character,Me go now.,나 이제 가.,m0q01a06chan,,[지능 낮음],,,0,0
49896,PC,Player Character,Me go now.,나 이제 가.,m0q01a06chan,,[지능 낮음],,,0,0
49897,PC,Player Character,Me think you not know me. You thinking of some other one.,나 너 나 몰라. 너 다른 사람 생각하는 거야.,m0q01a06chan,,[지능 낮음],,,0,0
49898,PC,Player Character,Why do you want to meet Lady Aribeth so badly?,왜 아리베스 경을 그렇게 만나고 싶어?,m0q01a06chan,,[지능 보통],,,0,0
49899,PC,Player Character,"How's your training going, Chandra?","훈련은 어떻게 되어 가, 찬드라?",m0q01a06chan,,[지능 보통],,,0,0
49900,PC,Player Character,Can I ask you some questions?,질문 좀 해도 돼?,m0q01a06chan,,[지능 보통],,,0,0
49901,PC,Player Character,Why you want meet Aribeth so bad?,너 왜 아리베스 그렇게 만나고 싶어?,m0q01a06chan,,[지능 낮음],,,0,0
49902,PC,Player Character,"How you training going, Chandra?","너 훈련 어떻게 되가, 찬드라?",m0q01a06chan,,[지능 낮음],,,0,0
49903,PC,Player Character,Me want ask you some questions.,나 질문 하고 싶어.,m0q01a06chan,,[지능 낮음],,,0,0
49904,PC,Player Character,What can you tell me about the plague?,역병에 대해 뭘 알려줄 수 있어?,m0q01a06chan,,[지능 보통],,,0,0
49905,PC,Player Character,Have you heard those rumors about a cure for the plague?,역병 치료제에 대한 소문 들어봤어?,m0q01a06chan,,[지능 보통],,,0,0
49906,PC,Player Character,How do you like training here at the Academy?,사관학교에서 훈련하는 건 어때?,m0q01a06chan,,[지능 보통],,,0,0
49907,PC,Player Character,What you know 'bout plague?,너 역병 뭐 알아?,m0q01a06chan,,[지능 낮음],,,0,0
49908,PC,Player Character,You hear stuff 'bout cure for plague?,너 역병 치료제 얘기 들었어?,m0q01a06chan,,[지능 낮음],,,0,0
49909,PC,Player Character,You like training at Academy?,너 사관학교 훈련 좋아?,m0q01a06chan,,[지능 낮음],,,0,0
49910,PC,Player Character [M0Q01A04],Your lessons sound difficult. How are you holding up?,네 수업이 어려워 보이네. 어떻게 버티고 있어?,m0q01a06chan,,m0q01a04friesgk1,[M0Q01A04],,0,0
49911,PC,Player Character [M0Q01A04],You work sound hard. You hold up good still?,너 일 힘들게 들려. 너 괜찮아?,m0q01a06chan,,m0q01a04friesgk2,[M0Q01A04],,0,0
49912,PC,Player Character [M0Q01A04],I wouldn't call that dream foolish.,그 꿈이 어리석다고 생각하지 않아.,m0q01a06chan,,m0q01a04friesgk1,[M0Q01A04],,0,0
49913,PC,Player Character [M0Q01A04],Me not think you dream silly.,나 너 꿈 바보같다고 생각 안 해.,m0q01a06chan,,m0q01a04friesgk2,[M0Q01A04],,0,0
49914,PC,Player Character,"Don't worry, I still want to get together.","걱정 마, 나 아직도 만나고 싶어.",m0q01a06chan,,[지능 보통],,,0,0
49915,PC,Player Character,"You no worry, me still want see you later.","너 걱정 마, 나 아직도 나중에 보고 싶어.",m0q01a06chan,,[지능 낮음],,,0,0
49916,PC,Player Character,"Actually, I can't get together with you later after all.","사실, 나중에 같이 있을 수 없을 것 같아.",m0q01a06chan,,[지능 보통],,,0,0
49917,PC,Player Character,Me sorry. Me no can see you later.,나 미안해. 나 나중에 못 봐.,m0q01a06chan,,[지능 낮음],,,0,0
49918,PC,Player Character,"I came to the Academy to learn, Chandra, not to get hit on by desperate, lonely sorceresses.","난 배우러 사관학교에 왔지, 필사적이고 외로운 요술사한테 작업 당하러 온 게 아니야, 찬드라.",m0q01a06chan,,[지능 보통],,,0,0
49919,PC,Player Character,"Normally I object to flattery, but only a fool dismisses compliments from a beautiful woman.","평소엔 아첨을 싫어하지만, 아름다운 여성의 칭찬을 무시하는 건 바보짓이지.",m0q01a06chan,,[지능 보통],,,0,0
49920,PC,Player Character,"No offense, but I'm not interested.","기분 나쁘게 받아들이진 말고, 관심 없어.",m0q01a06chan,,[지능 보통],,,0,0
49921,PC,Player Character,Me like nice words from pretty woman.,나 예쁜 여자가 좋은 말 하는 거 좋아.,m0q01a06chan,,[지능 낮음],,,0,0
49922,PC,Player Character,Me here for training! Me not care 'bout this stuff!,나 여기 훈련하러 왔어! 나 이런 거 관심 없어!,m0q01a06chan,,[지능 낮음],,,0,0
49923,PC,Player Character,"You be sad, ugly woman. Me no want be friend with you!",너 슬프고 못생긴 여자야. 나 너랑 친구 하기 싫어!,m0q01a06chan,,[지능 낮음],,,0,0
49924,PC,Player Character,Actually I'm not seeing anyone right now.,사실 지금 아무도 만나고 있지 않아.,m0q01a06chan,,[지능 보통],,,0,0
49925,PC,Player Character,"That's really none of your business, Chandra.","그건 네가 상관할 일이 아니야, 찬드라.",m0q01a06chan,,[지능 보통],,,0,0
49926,PC,Player Character,Me not seeing anyone right now.,나 지금 아무도 안 만나.,m0q01a06chan,,[지능 낮음],,,0,0
49927,PC,Player Character,"That not be none of you business, Chandra!","그거 너 상관없어, 찬드라!",m0q01a06chan,,[지능 낮음],,,0,0
