StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50683,PC,Player Character,I think we need to change your tactics.,네 전술을 좀 바꿔야 할 것 같아.,m0q01a12pave,,[지능 보통],,,0,0
50684,PC,Player Character,I think I'll do better off on my own.,혼자 하는 게 나을 것 같아.,m0q01a12pave,,[지능 보통],,,0,0
50685,PC,Player Character,We need to change the distance you stay away from me.,나랑 떨어져 있는 거리를 바꿔야겠어.,m0q01a12pave,,,,,0,0
50686,PC,Player Character [Follow: Close],Six feet.,2미터.,m0q01a12pave,nw_ch_dist_6,,[Follow: Close],,0,0
50687,PC,Player Character [Follow: Medium],Twelve feet.,4미터.,m0q01a12pave,nw_ch_dist_12,,[Follow: Medium],,0,0
50688,PC,Player Character [Follow: Far],Eighteen feet.,6미터.,m0q01a12pave,nw_ch_dist_18,,[Follow: Far],,0,0
50689,PC,Player Character,Nevermind.,됐어.,m0q01a12pave,,,,,0,0
50690,PC,Player Character,Could you alter your spell casting practices?,주문 시전 방식을 바꿔줄 수 있어?,m0q01a12pave,,nw_ch_spell_0,,,0,0
50691,PC,Player Character [Companion Settings],I want you to use your most powerful spells first.,가장 강력한 주문부터 먼저 써줘.,m0q01a12pave,nw_ch_spell_1,[지능 보통],[Companion Settings],,0,0
50692,PC,Player Character [Companion Settings],Try to overpower monster with higher level spells.,높은 레벨 주문으로 괴물을 압도해봐.,m0q01a12pave,nw_ch_spell_2,[지능 보통],[Companion Settings],,0,0
50693,PC,Player Character [Companion Settings],Try to user appropriately powered spells for the monsters we fight.,싸우는 괴물에 맞게 적절한 주문을 써봐.,m0q01a12pave,nw_ch_spell_3,[지능 보통],[Companion Settings],,0,0
50694,PC,Player Character,Could we change how quickly you decide to heal me.,나를 치료하는 타이밍을 바꿔줄 수 있어?,m0q01a12pave,,nw_ch_heal_0,,,0,0
50695,PC,Player Character [Healing: 75% HP],Heal me if I become somewhat injured (below 75% of total hit points).,좀 다치면 치료해줘 (체력 75% 이하일 때).,m0q01a12pave,nw_ch_heal_75,[지능 보통],[Healing: 75% HP],,0,0
50696,PC,Player Character [Healing: 50% HP],Heal me if I become wounded (below 50% of total hit points).,부상당하면 치료해줘 (체력 50% 이하일 때).,m0q01a12pave,nw_ch_heal_50,[지능 보통],[Healing: 50% HP],,0,0
50697,PC,Player Character [Healing: 25% HP],Heal me if I become seriously wounded (below 25% of total hit points).,심하게 다치면 치료해줘 (체력 25% 이하일 때).,m0q01a12pave,nw_ch_heal_25,[지능 보통],[Healing: 25% HP],,0,0
50698,PC,Player Character [Companion Settings],Could you not search all the time?,항상 수색하지 않아도 돼.,m0q01a12pave,nw_ch_srch_off,nw_ch_yes_srch,[Companion Settings],,0,0
50699,PC,Player Character [Companion Settings],Could you please search when we move around?,이동할 때 수색 좀 해줘.,m0q01a12pave,nw_ch_srch_on,nw_ch_no_srch,[Companion Settings],,0,0
