StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
15559,PC,Player Character,"Your attackers, who were they?",공격자들은 누구였어?,m1q02alltowf,,[지능 보통],,,0,0
15560,PC,Player Character,Are there not enough guards to keep you safe?,널 안전하게 지킬 경비가 부족한 거야?,m1q02alltowf,,[지능 보통],,,0,0
15561,PC,Player Character,Who says I rescued you? Hand over your gold... ,내가 널 구했다고 누가 그래? 금화 내놔...,m1q02alltowf,nw_d1_small_evil,[지능 보통],,,0,0
15562,PC,Player Character,What do you know about the prison?,감옥에 대해 뭘 알아?,m1q02alltowf,,[지능 보통],,,0,0
15563,PC,Player Character,You'd better go. Keep to the shadows.,가는 게 좋겠어. 그림자에 숨어서 가.,m1q02alltowf,,[지능 보통],,,0,0
15564,PC,Player Character,Dose brutes - who dey be?,그 불한당들-누구야?,m1q02alltowf,,[지능 낮음],,,0,0
15565,PC,Player Character,Da guards - dey no protect you?,경비들-너 못 지켜?,m1q02alltowf,,[지능 낮음],,,0,0
15566,PC,Player Character,What you know 'bout dat prison?,그 감옥에 대해 뭐 알아?,m1q02alltowf,,[지능 낮음],,,0,0
15567,PC,Player Character,Ha! Me no rescue you - Me jus' better mugger!,하! 나 너 구한 거 아냐-나 그냥 더 실력 좋은 강도야!,m1q02alltowf,nw_d1_small_evil,[지능 낮음],,,0,0
15568,PC,Player Character,"You go now. Stay quiet, yuh?","이제 가. 조용히 있어, 응?",m1q02alltowf,,[지능 낮음],,,0,0
15569,PC,Player Character,"The Head Gaoler, is it?",간수장이라고요?,m1q02alltowf,,[지능 보통],,,0,0
15570,PC,Player Character,"Da Head Gaoler, huh?","간수장, 맞지?",m1q02alltowf,,[지능 낮음],,,0,0
15571,PC,Player Character,Tunnels? What tunnels?,땅굴? 무슨 땅굴?,m1q02alltowf,,[지능 보통],,,0,0
15572,PC,Player Character,Huh? Tunnels?,어? 땅굴?,m1q02alltowf,,[지능 낮음],,,0,0
15573,PC,Player Character,Where's this estate?,그 저택은 어디야?,m1q02alltowf,,[지능 보통],,,0,0
15574,PC,Player Character,Where dis 'state?,그 저택 어디야?,m1q02alltowf,,[지능 낮음],,,0,0
15575,PC,Player Character,Who are you? What are you doing on the streets?,너 누구야? 거리에서 뭐 하는 거야?,m1q02alltowf,,[지능 보통],,,0,0
15576,PC,Player Character,Who you be? What you doing out?,너 누구야? 밖에서 뭐 해?,m1q02alltowf,,[지능 낮음],,,0,0
15577,PC,Player Character,Do you need an escort to the district gates?,지구 관문까지 호위가 필요하신가요?,m1q02alltowf,,[지능 보통],,,0,0
15578,PC,Player Character,"Me escort you to dis'trick gates, yuh?","나 너 구역 문까지 데려다줄까, 응?",m1q02alltowf,,[지능 낮음],,,0,0
15579,PC,Player Character,"Ssh, follow me.","쉿, 날 따라와.",m1q02alltowf,,[지능 보통],,,0,0
15580,PC,Player Character,Just stay here for a moment.,잠깐만 여기 있어.,m1q02alltowf,,[지능 보통],,,0,0
15581,PC,Player Character,"Uh, you come wit' me.","어, 너 나랑 와.",m1q02alltowf,,[지능 낮음],,,0,0
15582,PC,Player Character,"You stay here, yuh?","너 여기 있어, 응?",m1q02alltowf,,[지능 낮음],,,0,0
