StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
16074,PC,Player Character,I want to ask you some questions.,질문 좀 할게.,m1q1a00gen4,,[지능 보통],,,0,0
16075,PC,Player Character,Me want some informations.,나 정보 몇 개 원해.,m1q1a00gen4,,[지능 낮음],,,0,0
16076,PC,Player Character,Goodbye.,그럼 이만.,m1q1a00gen4,,,,,0,0
16077,PC,Player Character,Me want to know about different city areas.,나 도시 다른 구역들 알고 싶어.,m1q1a00gen4,,[지능 낮음],,,0,0
16078,PC,Player Character,What do you know of the plague?,역병에 대해 뭘 알고 있어?,m1q1a00gen4,,[지능 보통],,,0,0
16079,PC,Player Character,I need infomation about places in Neverwinter.,네버윈터의 여러 장소들에 대한 정보가 필요해.,m1q1a00gen4,,[지능 보통],,,0,0
16080,PC,Player Character,Have you heard of anything odd? Any rumors?,이상한 일 들어본 적 있어? 소문이든 뭐든?,m1q1a00gen4,,[지능 보통],,,0,0
16081,PC,Player Character,You know anything about the bad plague?,"나쁜 역병, 뭐 아는 거 있어?",m1q1a00gen4,,[지능 낮음],,,0,0
16082,PC,Player Character,Me wants information about places in Neverwinter.,나 네버윈터 곳곳 정보 원해.,m1q1a00gen4,,[지능 낮음],,,0,0
16083,PC,Player Character,Maybe you hear about odd stuff or rumors?,혹시 이상한 거나 소문 들었어?,m1q1a00gen4,,[지능 낮음],,,0,0
16084,PC,Player Character,What do you know about attempts at a cure?,치료제를 만드는 시도에 대해 뭘 알아?,m1q1a00gen4,,[지능 보통],,,0,0
16085,PC,Player Character,You know about cure attempts maybe?,"치료법 시도, 아는 거 있나?",m1q1a00gen4,,[지능 낮음],,,0,0
16086,PC,Player Character,<StartCheck>[Insight]</Start> Do you mean physically or spiritually?,"<StartCheck>[통찰]</Start> 육체적으로 말하는 건가, 영적으로 말하는 건가?",m1q1a00gen4,,nw_d2_wis_intn,,,0,0
16087,PC,Player Character,I want to ask something else.,다른 걸 물어볼게.,m1q1a00gen4,,[지능 보통],,,0,0
16088,PC,Player Character,Me ask different questions.,나 다른 질문 할래.,m1q1a00gen4,,[지능 낮음],,,0,0
16089,PC,Player Character,What are the different areas of the city?,도시의 지구들은 어떻게 나뉘어 있어?,m1q1a00gen4,,[지능 보통],,,0,0
16090,PC,Player Character,Beggar's Nest.,거지 소굴.,m1q1a00gen4,,,,,0,0
16091,PC,Player Character,Docks district.,항만 지구.,m1q1a00gen4,,,,,0,0
16092,PC,Player Character,Blacklake district.,검은호수 지구.,m1q1a00gen4,,,,,0,0
16093,PC,Player Character,Peninsula.,반도 지구.,m1q1a00gen4,,,,,0,0
16094,PC,Player Character,Where can I get equipment? ,장비는 어디서 구할 수 있어?,m1q1a00gen4,,[지능 보통],,,0,0
16095,PC,Player Character,Where me get equipment?,나 장비 어디서 구해?,m1q1a00gen4,,[지능 낮음],,,0,0
16096,PC,Player Character,City Core.,도시 중심부.,m1q1a00gen4,,,,,0,0
16097,PC,Player Character,<StartCheck>[Persuade]</Start> What do you know about that?,<StartCheck>[설득]</Start> 그것에 대해 뭘 알고 있어?,m1q1a00gen4,,[지능 보통],,,0,0
