StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
16338,PC,Player Character,Could I ask you some questions?,질문 좀 해도 될까?,m1q1a00harlot,,[지능 보통],,,0,0
16339,PC,Player Character,Me want ask questions.,나 질문 좀 할래.,m1q1a00harlot,,[지능 낮음],,,0,0
16340,PC,Player Character,Goodbye.,그럼 이만.,m1q1a00harlot,,,,,0,0
16341,PC,Player Character,Do you know anything about what causes it?,원인에 대해 아는 게 있어?,m1q1a00harlot,,[지능 보통],,,0,0
16342,PC,Player Character,Have you heard anything about strange animals in the area?,그 구역에 있는 이상한 동물들에 대해 들은 것이 있나요?,m1q1a00harlot,,[매력 중간/지능 중간],,,0,0
16343,PC,Player Character,Is there anything going on in this area of the city?,이 구역에서 무슨 일이 일어나고 있는지 말해 주시겠어요?,m1q1a00harlot,,[지능 보통],,,0,0
16344,PC,Player Character,You know how you gets it?,어떻게 걸리는지 알아?,m1q1a00harlot,,[지능 낮음],,,0,0
16345,PC,Player Character,You hear 'bout weird animals around here?,주변에 이상한 생명체 들었다고?,m1q1a00harlot,,[매력 중간/지능 낮음],,,0,0
16346,PC,Player Character,What go on 'round here?,여긴 무슨 일 있어?,m1q1a00harlot,,[지능 낮음],,,0,0
16347,PC,Player Character,Anything else you can tell me?,다른 걸 말해줄 수 있어?,m1q1a00harlot,,[지능 보통],,,0,0
16348,PC,Player Character,You knows something else maybe?,또 아는 거 있어?,m1q1a00harlot,,[지능 낮음],,,0,0
16349,PC,Player Character,Maybe you've heard of something of interest?,흥미로운 걸 들은 게 있을까?,m1q1a00harlot,,[지능 보통],,,0,0
16350,PC,Player Character,"I'd be interested in work, if you know of anything.",일거리가 있다면 관심 있는데.,m1q1a00harlot,,[지능 보통],,,0,0
16351,PC,Player Character,Maybe you hears something interesting?,재미있는 거 들었어?,m1q1a00harlot,,[지능 낮음],,,0,0
16352,PC,Player Character,Me want work.,나 일하고 싶어.,m1q1a00harlot,,[지능 낮음],,,0,0
16353,PC,Player Character,Could you tell me anything about the plague?,역병에 대해 뭐라도 말해줄 수 있어?,m1q1a00harlot,,[지능 보통],,,0,0
16354,PC,Player Character,"You know 'bout plague, maybe?",역병 얘기 좀 해 줄래?,m1q1a00harlot,,[지능 낮음],,,0,0
