StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
19525,PC,Player Character,"Just a man like any other, maybe driven mad by the plague.",그냥 다른 사람과 다를 바 없는 놈이야. 아마 역병에 미쳐버렸겠지.,m1q2_kurdan,,[지능 보통],,,0,0
19526,PC,Player Character,"I'm hoping it's one of the Waterdhavian creatures, actually.",사실은 워터딥의 생명체 중 하나였으면 좋겠군.,m1q2_kurdan,,[지능 보통],,,0,0
19527,PC,Player Character,Who are you and why are you helping the Head Gaoler?,넌 누구고 왜 간수장을 돕는 거지?,m1q2_kurdan,,[지능 보통],,,0,0
19528,PC,Player Character,"You're not even worth my time. Die, grunt!","넌 시간 낭비할 가치도 없어. 죽어라, 졸개!",m1q2_kurdan,nw_d1_small_evil,[지능 보통],,,0,0
19529,PC,Player Character,"Jus' some guy. Maybe he go plague-mad, yuh?",그냥 아무놈. 아마 역병에 미쳐버린 거야.,m1q2_kurdan,,[지능 낮음],,,0,0
19530,PC,Player Character,Hmm. Me hope he creature for plague-cure.,흠. 그놈이 역병 치료 생명체였음 좋겠어.,m1q2_kurdan,,[지능 낮음],,,0,0
19531,PC,Player Character,Who you be? Why you help dat man?,너 누구야? 왜 그놈 도와?,m1q2_kurdan,,[지능 낮음],,,0,0
19532,PC,Player Character,Grrr! Don't waste time. Me kill you now!,그르르! 시간 낭비 하지 마. 지금 죽여!,m1q2_kurdan,nw_d1_small_evil,[지능 낮음],,,0,0
19533,PC,Player Character,What proof do you have of this?,그걸 증명할 근거가 있나?,m1q2_kurdan,,[지능 보통],,,0,0
19534,PC,Player Character,"What's inside him, then? Have you seen it?",그럼 그 안에 뭐가 있지? 직접 본 적 있나?,m1q2_kurdan,,[지능 보통],,,0,0
19535,PC,Player Character,Yuh? Me no believe you. Prove it.,응? 난 안 믿어. 증명해.,m1q2_kurdan,,[지능 낮음],,,0,0
19536,PC,Player Character,"What inside him, den? You see it?","그 안에 뭐 있어, 그럼? 네가 봤어?",m1q2_kurdan,,[지능 낮음],,,0,0
19537,PC,Player Character,Guards into zombies? What are you talking about?,간수들이 좀비가 됐다고? 무슨 소리지?,m1q2_kurdan,,[지능 보통],,,0,0
19538,PC,Player Character,You say zombie-guards?,좀비 간수라고?,m1q2_kurdan,,[지능 낮음],,,0,0
19539,PC,Player Character,"All right, you stay here. I'm going after the Head Gaoler.","좋아, 넌 여기 있어. 나는 간수장을 쫓겠다.",m1q2_kurdan,,[지능 보통],,,0,0
19540,PC,Player Character,"Okay, you stay. Me go after Head Guy.","좋아, 너 여기 있어. 나 간수장 쫓아갈게.",m1q2_kurdan,,[지능 낮음],,,0,0
19541,PC,Player Character,How horrible. Is there any way to rescue them?,끔찍하군. 그들을 구할 방법은 없나?,m1q2_kurdan,,[지능 보통],,,0,0
19542,PC,Player Character,Hmm. Is dere some way me can rescue dem?,흠. 그들 구할 방법 있어?,m1q2_kurdan,,[지능 낮음],,,0,0
19543,PC,Player Character,Sounds like the Waterdhavian Intellect Devourer Aribeth needs.,아리베스가 필요로 하는 워터딥의 지성 포식귀 같군.,m1q2_kurdan,,[지능 보통],,,0,0
19544,PC,Player Character,Sound like Intellectal devo... deveroreror... uh... brain eater Aribeth wants.,"지성 포... 포자... 어... 뇌 먹는 놈, 아리베스가 원하는 그거 같아.",m1q2_kurdan,,[지능 낮음],,,0,0
19545,PC,Player Character,You let the Head Gaoler walk all over you? How come?,간수장이 마음대로 휘두르게 놔뒀다고? 왜지?,m1q2_kurdan,,[지능 보통],,,0,0
19546,PC,Player Character,You were king of nothing - there's nothing here.,넌 허울뿐인 왕이었지-여긴 아무것도 없잖아.,m1q2_kurdan,,[지능 보통],,,0,0
19547,PC,Player Character,"The Head Gaoler's just sick with the Wailing, that's all.",간수장은 그저 울부짖는 죽음 역병에 걸렸을 뿐이야. 그게 다야.,m1q2_kurdan,,[지능 보통],,,0,0
19548,PC,Player Character,Why you let Head Guy take over?,왜 간수장 놈이 장악하게 놔뒀어?,m1q2_kurdan,,[지능 낮음],,,0,0
19549,PC,Player Character,King of da Pits? Why dat make you proud?,나락의 왕? 그게 왜 자랑이야?,m1q2_kurdan,,[지능 낮음],,,0,0
19550,PC,Player Character,"Head Guy jus' sick wit' Wailing, dat's all.","간수장 놈, 그냥 울부짖는 죽음 역병 걸린 거야. 그게 다야.",m1q2_kurdan,,[지능 낮음],,,0,0
