StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
20415,PC,Player Character [M1Q3A00],Who's this Formosa? I have no idea who you're talking about.,이 포르모사가 누구야? 무슨 말인지 모르겠는데.,m1q3ameldanen,,m1q3a00meld06,[M1Q3A00],,0,0
20416,PC,Player Character [M1Q3A00],"I have no intention of sparing you, but all the pleading is quite amusing.","살려줄 생각은 없지만, 애원하는 건 꽤 재미있네.",m1q3ameldanen,,m1q3a00meld06,[M1Q3A00],,0,0
20417,PC,Player Character,Make me an offer and I'll consider it.,제안해 봐. 생각해 보지.,m1q3ameldanen,,[지능 보통],,,0,0
20418,PC,Player Character,"I'm here to free the dryad you stole, sorcerer.","네가 훔쳐 간 드라이어드를 풀어주러 왔다, 요술사야.",m1q3ameldanen,,[지능 보통],,,0,0
20419,PC,Player Character [M1Q3A00],Who this Formosa? Me not know.,포르모사 누구야? 나 몰라.,m1q3ameldanen,,m1q3a00meld07,[M1Q3A00],,0,0
20420,PC,Player Character [M1Q3A00],"Me kill you anyway, though begging sounds funny.",나 어쨌든 죽일 거야. 근데 애원 재미있어.,m1q3ameldanen,,m1q3a00meld07,[M1Q3A00],,0,0
20421,PC,Player Character,"Me here to free dryad you steal, wizard.","나 너 훔친 드라이어드 풀어주러 왔어, 마법사.",m1q3ameldanen,,[지능 낮음],,,0,0
20422,PC,Player Character,"Make me offer and me think about it, maybe.",제안해. 나 생각해 볼지도.,m1q3ameldanen,,[지능 낮음],,,0,0
20423,PC,Player Character,"To kill you, I suppose. And it's high time I got back to it.","널 죽이러, 아마도. 이제 슬슬 다시 시작할 때지.",m1q3ameldanen,,[지능 보통],,,0,0
20424,PC,Player Character,I'm simply here looking for some coin.,난 그냥 금화를 좀 찾으러 왔다.,m1q3ameldanen,,[지능 보통],,,0,0
20425,PC,Player Character,"I meant no harm. You attacked me, remember?","해칠 생각은 없었어. 먼저 덤빈 건 너였지, 기억하지?",m1q3ameldanen,,[지능 보통],,,0,0
20426,PC,Player Character,"Killing, mostly. Now me get back to it.",주로 죽이기. 이제 다시 한다.,m1q3ameldanen,,[지능 낮음],,,0,0
20427,PC,Player Character,Me look for coin. Duh.,나 금화 찾으러 왔어. 응.,m1q3ameldanen,,[지능 낮음],,,0,0
20428,PC,Player Character,"Me not here to kill you. You attack me, no?","나 너 죽이러 안 왔어. 네가 먼저 덤볐지, 맞지?",m1q3ameldanen,,[지능 낮음],,,0,0
20429,PC,Player Character,"What do you have in mind, exactly?",정확히 뭘 하자는 거지?,m1q3ameldanen,,[지능 보통],,,0,0
20430,PC,Player Character,And what's to stop me from just taking all you own anyway?,"어차피 네가 가진 걸 전부 빼앗아도, 그걸 누가 막지?",m1q3ameldanen,,[지능 보통],,,0,0
20431,PC,Player Character,Too much bother. I'd rather kill you.,귀찮군. 차라리 널 죽이겠다.,m1q3ameldanen,,[지능 보통],,,0,0
20432,PC,Player Character,What task?,무슨 일?,m1q3ameldanen,,[지능 낮음],,,0,0
20433,PC,Player Character,What stop me from taking all you gots anyway?,"어차피 네 거 다 가져가는데, 뭐가 날 막아?",m1q3ameldanen,,[지능 낮음],,,0,0
20434,PC,Player Character,Is too much thinking. You die now.,생각 너무 많아. 너 지금 죽어.,m1q3ameldanen,,[지능 낮음],,,0,0
20435,PC,Player Character,And what's to stop me from taking your coin anyway?,"어차피 네 금화를 빼앗아도, 누가 막을 건데?",m1q3ameldanen,,[지능 보통],,,0,0
20436,PC,Player Character [M1Q3A00],I would need your silver tooth as well as the key to your warehouse.,은니와 창고 열쇠도 필요해.,m1q3ameldanen,,m1q3a00meld09,[M1Q3A00],,0,0
20437,PC,Player Character [M1Q3A00],Give me more and I'll deal with Formosa for you.,더 주면 포르모사를 처리해 줄게.,m1q3ameldanen,,m1q3a00meld09,[M1Q3A00],,0,0
20438,PC,Player Character,What stop me from robbing after you'se dead?,너 죽고 나서 내가 털어가는데 뭐가 막아?,m1q3ameldanen,,[지능 낮음],,,0,0
20439,PC,Player Character [M1Q3A00],Me need silver tooth... plus key for warehouse.,나 은니 필요해... 그리고 창고 열쇠도.,m1q3ameldanen,,m1q3a00meld10,[M1Q3A00],,0,0
20440,PC,Player Character [M1Q3A00],"You give more gold and me kill Formosa for you, maybe.",금화 더 주면 나 포르모사 죽여줄게.,m1q3ameldanen,,m1q3a00meld10,[M1Q3A00],,0,0
20441,PC,Player Character,"No, just give me the dryad and your gold and I'll leave you be.","아니, 드라이어드와 네 금화만 넘겨. 그러면 건드리지 않지.",m1q3ameldanen,,[지능 보통],,,0,0
20442,PC,Player Character,"No, you give dryad and gold and you live. That my deal.","아니, 드라이어드랑 금화 줘. 그럼 너 산다. 그게 내 조건.",m1q3ameldanen,,[지능 낮음],,,0,0
20443,PC,Player Character [M1Q3A00],"Give up the dryad, as well. Then I'll do it.",드라이어드도 내놔. 그럼 해주지.,m1q3ameldanen,,m1q3a00meld12,[M1Q3A00],,0,0
20444,PC,Player Character,"No, I'm not killing anyone... I came for the dryad. Just go.","아니, 누구도 죽이지 않을 거야... 난 드라이어드 때문에 왔다. 그냥 가.",m1q3ameldanen,,[지능 보통],,,0,0
20445,PC,Player Character [M1Q3A00],"Give dryad, too. Then me will do it.",드라이어드도 줘. 그럼 나 할게.,m1q3ameldanen,,m1q3a00meld13,[M1Q3A00],,0,0
20446,PC,Player Character,"No, me no kill anyone. Me come for dryad, you just go.","아니, 나 아무도 안 죽여. 나 드라이어드 때문에 왔어, 너는 그냥 가.",m1q3ameldanen,,[지능 낮음],,,0,0
20447,PC,Player Character,"I doubt you even have more coin. Sorry, no deal.",더 많은 금화가 있을 것 같지도 않군. 미안하지만 거래는 없어.,m1q3ameldanen,,[지능 보통],,,0,0
20448,PC,Player Character,Maybe you have no more gold. Is no deal.,아마 더 금화 없지? 거래 없다.,m1q3ameldanen,,[지능 낮음],,,0,0
20449,PC,Player Character,Fine. I'll take them and your gold... and you flee before I change my mind.,좋아. 그것들과 네 금화를 받겠다... 내가 마음 바꾸기 전에 꺼져.,m1q3ameldanen,,[지능 보통],,,0,0
20450,PC,Player Character,"Okay. Me take them and gold, and you run away.",좋아. 나 그것들이랑 금화 가져가. 너는 도망가.,m1q3ameldanen,,[지능 낮음],,,0,0
20451,PC,Player Character,"Nevermind, then. I may spare you... but I need your silver tooth and the warehouse key.",됐어. 목숨은 살려줄지도 몰라... 대신 네 은 이빨이랑 창고 열쇠가 필요해.,m1q3ameldanen,,[지능 보통],,,0,0
20452,PC,Player Character,"No, no. Is no good. Maybe me spare you, but me needs silver tooth and warehouse key.","아니, 안 돼. 아마 살려줄 수도 있어, 근데 은 이빨이랑 창고 열쇠 필요해.",m1q3ameldanen,,[지능 낮음],,,0,0
20453,PC,Player Character,"You know, I don't have to do this. Pay me more and I'll take care of Formosa for you.",꼭 이렇게 할 필요는 없어. 금화를 더 주면 포르모사를 처리해 주지.,m1q3ameldanen,,[지능 보통],,,0,0
20454,PC,Player Character,"You pay me more coin, you knows, and I could kills Formosa.","금화 더 주면, 있지, 내가 포르모사 죽여 줄 수 있어.",m1q3ameldanen,,[지능 낮음],,,0,0
20455,PC,Player Character,<StartCheck>[Persuade]</Start> Don't you think saving your life is worth a little more gold than that?,<StartCheck>[설득]</Start> 목숨값이 그 정도 금화보단 더 나가지 않겠어?,m1q3ameldanen,,[지능 보통],,,0,0
20456,PC,Player Character,"You better dig a little deeper... your life is on the line, fool.","좀 더 많이 꺼내봐... 네 목숨이 달려 있잖아, 멍청아.",m1q3ameldanen,nw_d1_small_evil,[지능 보통],,,0,0
20457,PC,Player Character,"It will have to do, then.",그걸로 만족해야겠군.,m1q3ameldanen,,[지능 보통],,,0,0
20458,PC,Player Character,"It doesn't matter... I won't let you live, regardless.",상관없어... 어차피 널 살려 두지 않을 거다.,m1q3ameldanen,,[지능 보통],,,0,0
20459,PC,Player Character,<StartCheck>[Persuade]</Start> You no think saving your life worth more?,<StartCheck>[설득]</Start> 너 목숨값이 그 정도보다 못하다고 생각해?,m1q3ameldanen,,[지능 낮음],,,0,0
20460,PC,Player Character,You pay more or me getting very angry.,"돈 더 줘, 아니면 나 아주 화날 거야.",m1q3ameldanen,nw_d1_small_evil,[지능 낮음],,,0,0
20461,PC,Player Character,Me take it.,나 그거 받을게.,m1q3ameldanen,,[지능 낮음],,,0,0
20462,PC,Player Character,"It no matter... me kill you, anyways.",상관없어... 어차피 너 죽여.,m1q3ameldanen,,[지능 낮음],,,0,0
20463,PC,Player Character,I was only kidding. Your gold will do.,농담이었어. 네 금화면 충분해.,m1q3ameldanen,,[지능 보통],,,0,0
20464,PC,Player Character,I bet you have more than you're saying. I'll just search your corpse!,더 숨겨 둔 게 있겠지. 네 시체를 뒤져서 찾겠다!,m1q3ameldanen,,[지능 보통],,,0,0
20465,PC,Player Character,"Because I enjoy it, of course.",그야 내가 즐기니까.,m1q3ameldanen,,[지능 보통],,,0,0
20466,PC,Player Character,Me only kidding. Ha ha! Gold is good.,나 그냥 농담. 하하! 금화 좋은 거.,m1q3ameldanen,,[지능 낮음],,,0,0
