StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
20636,PC,Player Character,Could I ask you some questions?,질문을 몇 가지 드려도 될까요?,m1q3anobwom,,[지능 보통],,,0,0
20637,PC,Player Character,Me want ask questions.,나 질문하고 싶어.,m1q3anobwom,,[지능 낮음],,,0,0
20638,PC,Player Character,Goodbye.,그럼 이만.,m1q3anobwom,,,,,0,0
20639,PC,Player Character,Are you aware of any strange creatures in the area?,이 근처에 이상한 생명체들에 대해 알고 계십니까?,m1q3anobwom,,[지능 보통],,,0,0
20640,PC,Player Character,Have you heard any rumors concerning the plague?,울부짖는 죽음 역병과 관련된 소문을 들은 게 있습니까?,m1q3anobwom,,templ_chg10ing8,,,0,0
20641,PC,Player Character,Do you know of anything interesting going on in Blacklake?,검은호수 지구에서 흥미로운 일이 있습니까?,m1q3anobwom,,[지능 보통],,,0,0
20642,PC,Player Character,You know 'bout strange creatures around?,주변에 이상한 생명체 아는 거 있어?,m1q3anobwom,,[지능 낮음],,,0,0
20643,PC,Player Character,"You hear plague rumors, maybe?","울부짖는 죽음 역병 소문 들었어, 혹시?",m1q3anobwom,,templ_chg10inl9,,,0,0
20644,PC,Player Character,You know 'bout weird stuff here?,여기 이상한 일 아는 거 있어?,m1q3anobwom,,[지능 낮음],,,0,0
20645,PC,Player Character,"So there's been nothing odd about the zoo, then?",그렇다면 동물원엔 이상한 점이 전혀 없다는 건가요?,m1q3anobwom,,[지능 보통],,,0,0
20646,PC,Player Character,"<StartCheck>[Insight]</Start> Is it possible that some creatures might have gained access to the zoo, somehow?",<StartCheck>[통찰]</Start> 어떻게든 어떤 생명체들이 동물원에 들어갔을 가능성은 없습니까?,m1q3anobwom,,templ_ing8wig13,,,0,0
20647,PC,Player Character,Nothing weird about zoo?,동물원 이상한 거 없어?,m1q3anobwom,,[지능 낮음],,,0,0
20648,PC,Player Character,Anything peculiar that you can think of?,떠오르는 이상한 점이 있습니까?,m1q3anobwom,,[지능 보통],,,0,0
20649,PC,Player Character,"I'd be interested in work, if you know of anything.",할 일이 있다면 관심 있습니다.,m1q3anobwom,,[지능 보통],,,0,0
20650,PC,Player Character,Any places in Blacklake you think I should visit?,검은호수 지구에서 찾아가 볼 만한 곳이 있습니까?,m1q3anobwom,,templ_chg10ing8,,,0,0
20651,PC,Player Character,Any weird stuff?,이상한 거 있어?,m1q3anobwom,,[지능 낮음],,,0,0
20652,PC,Player Character,Me want work.,나 일하고 싶어.,m1q3anobwom,,[지능 낮음],,,0,0
20653,PC,Player Character,Places in Blacklake I should go to?,검은호수에서 내가 가야 할 데 있어?,m1q3anobwom,,templ_chg10inl9,,,0,0
20654,PC,Player Character,"<StartCheck>[Persuade]</Start> Come now, telling me won't do any harm.","<StartCheck>[설득]</Start> 자, 내게 말해도 해가 될 건 없어요.",m1q3anobwom,,[지능 보통],,,0,0
20655,PC,Player Character,<StartCheck>[Persuade]</Start> Tell me. Will hurt nobody.,<StartCheck>[설득]</Start> 말해. 아무한테도 해 안 돼.,m1q3anobwom,,[지능 낮음],,,0,0
20656,PC,Player Character,I'm investigating the plague. Perhaps you can help me?,울부짖는 죽음 역병을 조사 중입니다. 도와주실 수 있나요?,m1q3anobwom,,[지능 보통],,,0,0
20657,PC,Player Character,Me look into plague. Maybe you help?,나 역병 알아보는 중. 도와줄래?,m1q3anobwom,,[지능 낮음],,,0,0
20658,PC,Player Character,I want to ask you something else.,다른 걸 여쭙고 싶습니다.,m1q3anobwom,,[지능 보통],,,0,0
20659,PC,Player Character,Me have other question.,나 다른 질문 있어.,m1q3anobwom,,[지능 낮음],,,0,0
20660,PC,Player Character,Can I ask you some directions?,길을 좀 여쭤봐도 될까요?,m1q3anobwom,,[지능 보통],,,0,0
20661,PC,Player Character,Me need directions.,나 길 안내 필요해.,m1q3anobwom,,[지능 낮음],,,0,0
20662,PC,Player Character,Where is the nearest inn?,가장 가까운 여관은 어디죠?,m1q3anobwom,,[지능 보통],,,0,0
