StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21029,PC,Player Character,I am a member of the city guard under Aribeth. I think I can enter.,아리베스 경 휘하의 도시 경비대원이다. 들어가도 되겠지.,m1q3gategua,,nw_d2_ing6,,,0,0
21030,PC,Player Character,Me city guard. Aribeth my boss. Me can go in.,나 도시 경비대. 아리베스가 상관. 나 들어간다.,m1q3gategua,,nw_d2_inl9,,,0,0
21031,PC,Player Character,Goodbye.,그럼 이만.,m1q3gategua,,,,,0,0
21032,PC,Player Character,Who lives here?,여기엔 누가 살지?,m1q3gategua,,[지능 보통],,,0,0
21033,PC,Player Character,Who live here?,누가 여기 사는데?,m1q3gategua,,[지능 낮음],,,0,0
21034,PC,Player Character,"You'll stand aside and let me enter, or it's your head.",비켜서 날 들여보내. 아니면 네 목이 달아날 거다.,m1q3gategua,,[지능 보통],,,0,0
21035,PC,Player Character,"You move and me go in, or me get angry.","비켜. 나 들어간다, 아니면 나 화난다.",m1q3gategua,,[지능 낮음],,,0,0
21036,PC,Player Character,"Fine. Can I ask you some questions, then?",좋아. 그럼 질문 좀 해도 되나?,m1q3gategua,,[지능 보통],,,0,0
21037,PC,Player Character,Okay. Me ask you questions?,좋아. 나 질문해도 돼?,m1q3gategua,,[지능 낮음],,,0,0
21038,PC,Player Character [M1Q3A00],How about 200 gp? Would that change your mind?,금화 200개는 어때? 마음이 바뀌지 않아?,m1q3gategua,m1q3aorrslg01,m1q3a00gateg01,[M1Q3A00],,0,0
21039,PC,Player Character [M1Q3A00],"We're both <race>, how about 100 gp? Would that change your mind?","우리 둘 다 <race>잖아, 금화 100개는 어때? 마음이 바뀌지 않아?",m1q3gategua,m1q3aorrslg02,m1q3a00gateg02,[M1Q3A00],,0,0
21040,PC,Player Character,"<StartCheck>[Strength]</Start> You don't want trouble with me, fool. Think very carefully.","<StartCheck>[근력]</Start> 나랑 문제 만들지 마, 바보야. 잘 생각해.",m1q3gategua,,nw_d2_racesmi_n,,,0,0
21041,PC,Player Character,"<StartCheck>[Persuade]</Start> I SAID that I serve Lady Aribeth! You risk her wrath if you don't stand aside! Meldanen be damned, think of yourself!","<StartCheck>[설득]</Start> 분명히 말했지, 난 아리베스 경을 섬긴다! 비키지 않으면 그분의 분노를 사게 될 거다! 멜다넨은 알 바 아니니, 네 목숨부터 생각해!",m1q3gategua,,nw_d2_racedifi_n,,,0,0
21042,PC,Player Character,"Then I'll have to do this the hard way. Time to die, fool.","그럼 어쩔 수 없지. 힘으로 간다. 죽을 각오해라, 바보야.",m1q3gategua,,[지능 보통],,,0,0
21043,PC,Player Character [M1Q3A00],Me give 200 gp. That change mind?,나 금화 200개 줄게. 마음 바뀌어?,m1q3gategua,m1q3aorrslg01,m1q3a00gateg03,[M1Q3A00],,0,0
21044,PC,Player Character [M1Q3A00],We both <race> kind. Me give 100 gp. That change mind?,우리 둘 다 <race> 동족이야. 나 금화 100개 줄게. 마음 바뀌어?,m1q3gategua,m1q3aorrslg02,m1q3a00gateg04,[M1Q3A00],,0,0
21045,PC,Player Character,"<StartCheck>[Strength]</Start> You no want trouble with me. You think, now.","<StartCheck>[근력]</Start> 너, 나하고 문제 만들지 마. 이제 생각해.",m1q3gategua,,nw_d2_racesmi_l,,,0,0
21046,PC,Player Character,"<StartCheck>[Persuade]</Start> Me SAY me serve Aribeth! She lay beatings on you if you not move! Damn Meldanen, cover yer own big butt!","<StartCheck>[설득]</Start> 나, 아리베스 섬긴다 했지! 안 비키면 그분한테 크게 당할 걸! 멜다넨이고 뭐고, 네 살길이나 챙겨!",m1q3gategua,,nw_d2_racedifi_l,,,0,0
21047,PC,Player Character,Then me do this hard way. Now you die!!,그럼 힘으로 한다. 이제 너 죽어!!,m1q3gategua,,[지능 낮음],,,0,0
21048,PC,Player Character,"Let me ask you something else, then.","그럼, 다른 걸 물어보지.",m1q3gategua,,[지능 보통],,,0,0
21049,PC,Player Character,"Me ask something else, then.","그럼, 다른 거 물을게.",m1q3gategua,,[지능 낮음],,,0,0
21050,PC,Player Character,Is there some way I could arrange to meet with Meldanen?,멜다넨을 만날 방법을 마련할 수 있을까?,m1q3gategua,,[지능 보통],,,0,0
21051,PC,Player Character,Maybe me could meets with Meldanen?,"나, 멜다넨 만날 수 있나?",m1q3gategua,,[지능 낮음],,,0,0
21052,PC,Player Character,Perhaps I could arrange a meeting with the owner?,혹시 주인과 만남을 잡을 수 있을까?,m1q3gategua,,[지능 보통],,,0,0
21053,PC,Player Character,Maybe me could meets with owner?,주인 만나게 해줄 수 있나?,m1q3gategua,,[지능 낮음],,,0,0
21054,PC,Player Character,Have you heard anything about strange creatures hereabouts?,이 근처에 이상한 생명체 소문 들은 거 있나?,m1q3gategua,,[지능 보통],,,0,0
