StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21117,PC,Player Character,I am a member of the city guard under Aribeth's command.,아리베스 경 휘하의 도시 경비대원이다.,m1q3gateguard,,[지능 보통],,,0,0
21118,PC,Player Character,Me is member of city guard.,나 도시 경비대.,m1q3gateguard,,[지능 낮음],,,0,0
21119,PC,Player Character,Goodbye.,그럼 이만.,m1q3gateguard,,,,,0,0
21120,PC,Player Character,Have you heard any rumors about where they might be?,그들이 어디 있을지에 대한 소문을 들은 적 있어?,m1q3gateguard,,[지능 보통],,,0,0
21121,PC,Player Character,Have you heard anything at all about the creatures?,그 생명체들에 대해 뭐라도 들은 게 있어?,m1q3gateguard,,[지능 보통],,,0,0
21122,PC,Player Character,Anything of interest I should know about in Blacklake?,검은호수에서 알아둘 만한 흥미로운 소식이 있나요?,m1q3gateguard,,[지능 보통],,,0,0
21123,PC,Player Character,Do you hear stuff about where monsters is? ,괴물 어디 있는지 얘기 들었나?,m1q3gateguard,,[지능 낮음],,,0,0
21124,PC,Player Character,"You hears anything about creatures, maybe?","괴물 얘기 들은 거 있나, 혹시?",m1q3gateguard,,[지능 낮음],,,0,0
21125,PC,Player Character,Something goin' on in Blacklake?,검은호수에 무슨 일 있나?,m1q3gateguard,,[지능 낮음],,,0,0
21126,PC,Player Character,"So, none of the nobles have reported seeing anything strange?","그럼, 아무 귀족도 이상한 걸 봤다고 신고하지 않았나요?",m1q3gateguard,,[지능 보통],,,0,0
21127,PC,Player Character,<StartCheck>[Insight]</Start> Maybe you have heard of someone who might know more? Someone who's acting strangely.,<StartCheck>[통찰]</Start> 더 잘 아는 사람 얘기를 들은 적은? 요즘 수상하게 구는 사람이라든가.,m1q3gateguard,,nw_d2_wis_intn,,,0,0
21128,PC,Player Character,"So, nobody see strange stuff? ","그럼, 아무도 이상한 거 못 봤나?",m1q3gateguard,,[지능 낮음],,,0,0
21129,PC,Player Character,Who is Meldanen?,멜다넨이 누구야?,m1q3gateguard,,[지능 보통],,,0,0
