StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
21631,PC,Player Character,You just stroll somewhere else.,다른 데로나 걸어가.,m1q4a02mugg01,,[지능 보통],,,0,0
21632,PC,Player Character,Do I look like a fool? I could see you casing me.,내가 바보로 보여? 나 노려보는 거 다 봤어.,m1q4a02mugg01,,[지능 보통],,,0,0
21633,PC,Player Character [M1Q4C],This for the auction at Seedy Tavern?,이거 허름한 주점 경매 건이야?,m1q4a02mugg01,,m1q4csintn_note,[M1Q4C],,0,0
21634,PC,Player Character,I don't like stalkers. You'd better start running.,미행은 질색이야. 어서 꺼져.,m1q4a02mugg01,,[지능 보통],,,0,0
21635,PC,Player Character,What can you tell me about the auction?,경매에 대해 뭘 알려줄 수 있지?,m1q4a02mugg01,,[지능 보통],,,0,0
21636,PC,Player Character,What do you need gold for?,금화가 왜 필요한데?,m1q4a02mugg01,,[지능 보통],,,0,0
21637,PC,Player Character,You'll stroll into a grave! Why are you following people!,무덤 구경하고 싶어? 왜 사람들 뒤쫓는 거야?!,m1q4a02mugg01,,[지능 보통],,,0,0
21638,PC,Player Character,Goodbye.,그럼 이만.,m1q4a02mugg01,,[지능 보통],,,0,0
21639,PC,Player Character,What's your name?,이름이 뭐지?,m1q4a02mugg01,,[지능 보통],,,0,0
21640,PC,Player Character,Know why thieves are so thick in this area?,왜 이 일대에 도둑이 들끓는지 아나?,m1q4a02mugg01,,[지능 보통],,,0,0
21641,PC,Player Character,Why thieves everywhere here?,왜 여기 도둑들 많아?,m1q4a02mugg01,,[지능 낮음],,,0,0
21642,PC,Player Character,What your name?,이름 뭐야?,m1q4a02mugg01,,[지능 낮음],,,0,0
21643,PC,Player Character,Bye.,나 간다.,m1q4a02mugg01,,[지능 낮음],,,0,0
21644,PC,Player Character,You stroll to grave! Why you follow people?,그러다 무덤 가! 왜 사람 따라와?,m1q4a02mugg01,,[지능 낮음],,,0,0
21645,PC,Player Character,Me no fool. Me see you watching to rob!,나 바보 아냐. 훔치려 노려보는 거 봤어!,m1q4a02mugg01,,[지능 낮음],,,0,0
21646,PC,Player Character,You stroll and walk somewheres else.,다른 데로나 걸어가.,m1q4a02mugg01,,[지능 낮음],,,0,0
21647,PC,Player Character,What you need gold for?,금화 왜 필요해?,m1q4a02mugg01,,[지능 낮음],,,0,0
21648,PC,Player Character [M1Q4C],This for Seedy Tavern auction? What you know?,이거 허름한 주점 경매야? 뭐 알아?,m1q4a02mugg01,,m1q4csintl_note,[M1Q4C],,0,0
21649,PC,Player Character,Me not like stalkers! You start running!,나 미행 싫어! 지금부터 뛰어!,m1q4a02mugg01,,[지능 낮음],,,0,0
21650,PC,Player Character,What you know about auction.,경매에 대해 뭐 알아.,m1q4a02mugg01,,[지능 낮음],,,0,0
21651,PC,Player Character [M1Q4A02],I've already warned you about following me.,따라오지 말라고 이미 경고했어.,m1q4a02mugg01,,m1q4a02muggslg51,[M1Q4A02],,0,0
21652,PC,Player Character [M1Q4A02],Me already warn you about following.,따라다니지 말라고 이미 경고했어.,m1q4a02mugg01,,m1q4a02muggclg52,[M1Q4A02],,0,0
21653,PC,Player Character,You stop following! Me not warn again!,따라오지 마! 다시는 경고 안 해!,m1q4a02mugg01,,[지능 낮음],,,0,0
21654,PC,Player Character,You will stop following me. I won't warn you again!,따라오지 마. 다시는 경고 안 해!,m1q4a02mugg01,,[지능 보통],,,0,0
21655,PC,Player Character,Tell me about Vengaul and the Bloodsailors.,벵골과 핏빛 항해자들에 대해 말해 봐.,m1q4a02mugg01,,[지능 보통],,,0,0
21656,PC,Player Character,You tells about Vengaul and Bloodsailors.,벵골이랑 핏빛 항해자 얘기해.,m1q4a02mugg01,,[지능 낮음],,,0,0
21657,PC,Player Character [M1Q4C],What do you know about the Seedy Tavern?,허름한 주점에 대해 뭘 알지?,m1q4a02mugg01,,m1q4csintn_note,[M1Q4C],,0,0
21658,PC,Player Character [M1Q4C],Whats you know about Seedy Tavern?,허름한 주점에 대해 뭐 알아?,m1q4a02mugg01,,m1q4csintl_note,[M1Q4C],,0,0
21659,PC,Player Character,Mostly? What do you mean by that?,"'대부분'이라니, 무슨 뜻이지?",m1q4a02mugg01,,[지능 보통],,,0,0
21660,PC,Player Character,"What you mean, mostly?",대부분이 뭐 뜻이야?,m1q4a02mugg01,,[지능 낮음],,,0,0
