StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
22372,PC,Player Character,Can I ask questions about who you are?,네가 누군지에 대해 물어봐도 될까?,m1q4d05sauna,,[지능 보통],,,0,0
22373,PC,Player Character,Me ask about who you am?,나 너 누군지 물어봐도 돼?,m1q4d05sauna,,[지능 낮음],,,0,0
22374,PC,Player Character,Could I ask you something about this tavern?,이 선술집에 대해 몇 가지 물어봐도 될까?,m1q4d05sauna,,[지능 보통],,,0,0
22375,PC,Player Character,Me ask something about this bar place?,나 여기 술집 뭐 좀 물어봐도 돼?,m1q4d05sauna,,[지능 낮음],,,0,0
22376,PC,Player Character,I'll be leaving.,이만 가볼게.,m1q4d05sauna,,[지능 보통],,,0,0
22377,PC,Player Character,Me go now.,나 이제 간다.,m1q4d05sauna,,[지능 낮음],,,0,0
22378,PC,Player Character,Who are you?,넌 누구지?,m1q4d05sauna,,[지능 보통],,,0,0
22379,PC,Player Character,Who is you?,너 누구야?,m1q4d05sauna,,[지능 낮음],,,0,0
22380,PC,Player Character,What are you doing here?,여기서 뭐 하고 있지?,m1q4d05sauna,,[지능 보통],,,0,0
22381,PC,Player Character,What you doing here?,너 여기서 뭐 해?,m1q4d05sauna,,[지능 낮음],,,0,0
22382,PC,Player Character,What was that about the Bloodsailors?,핏빛 항해자들 얘기는 뭐였지?,m1q4d05sauna,,[지능 보통],,,0,0
22383,PC,Player Character,What about Bloodsailors?,핏빛 항해자들 얘기 뭐?,m1q4d05sauna,,[지능 낮음],,,0,0
22384,PC,Player Character,Do you know what is planned for downstairs?,아래층에서 무슨 일이 예정돼 있는지 알아?,m1q4d05sauna,,[지능 보통],,,0,0
22385,PC,Player Character,What happening downstairs?,아래서 무슨 일 나?,m1q4d05sauna,,[지능 낮음],,,0,0
22386,PC,Player Character,Have you noticed anything odd around here?,이 근처에서 이상한 걸 본 적 있어?,m1q4d05sauna,,[지능 보통],,,0,0
22387,PC,Player Character,You seen strange stuff around here?,여기서 이상한 거 봤어?,m1q4d05sauna,,[지능 낮음],,,0,0
22388,PC,Player Character,Back to the inn... anything strange?,여관 얘기로 돌아가서... 이상한 거 있나?,m1q4d05sauna,,[지능 보통],,,0,0
22389,PC,Player Character,Back to inn stuff. Anything strange here?,여관 얘기로 다시. 여기 이상한 거 있어?,m1q4d05sauna,,[지능 낮음],,,0,0
22390,PC,Player Character,Why is that so bad? What's in Scurrd?,그게 왜 그렇게 나빠? 스커드에 뭐가 들어가 있는데?,m1q4d05sauna,,[지능 보통],,,0,0
22391,PC,Player Character,Why that bad? What in Scurrd stuff?,왜 그거 나빠? 스커드에 뭐 있어?,m1q4d05sauna,,[지능 낮음],,,0,0
22392,PC,Player Character,Why not?,왜 안 되지?,m1q4d05sauna,,[지능 보통],,,0,0
22393,PC,Player Character,What not make sense?,뭐가 말 안 돼?,m1q4d05sauna,,[지능 낮음],,,0,0
22394,PC,Player Character,The auction won't go ahead?,경매는 열리지 않는 건가?,m1q4d05sauna,,[지능 보통],,,0,0
22395,PC,Player Character,Auction not happening?,경매 안 열려?,m1q4d05sauna,,[지능 낮음],,,0,0
22396,PC,Player Character,How do I get down there?,거긴 어떻게 내려가?,m1q4d05sauna,,[지능 보통],,,0,0
22397,PC,Player Character,How me get down there?,나 거기 어떻게 내려가?,m1q4d05sauna,,[지능 낮음],,,0,0
22398,PC,Player Character,"Thanks. Er, how did you know all of this?","고마워. 음, 이걸 어떻게 다 안 거지?",m1q4d05sauna,,[지능 보통],,,0,0
22399,PC,Player Character,"Thanks and stuff. Hey, how you know this, anyway?","고마워, 뭐 그런 거. 근데 이거 어떻게 아는 거야?",m1q4d05sauna,,[지능 낮음],,,0,0
