StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
22981,PC,Player Character,Can't help you. Goodbye.,도와줄 수 없어. 그럼 이만.,m1q5a07hect,,[지능 보통],,,0,0
22982,PC,Player Character,"Sorry, I don't have any wagon parts.",미안하지만 수레 부품은 없어.,m1q5a07hect,,[지능 보통],,,0,0
22983,PC,Player Character [M1Q5H],"You can tag along, but don't get in the way!","따라와도 돼, 근데 방해하지 마!",m1q5a07hect,,m1q5hectdeadn,[M1Q5H],,0,0
22984,PC,Player Character [M1Q5H],"I'll take you, sure. Where is he?",데려다줄게. 그가 어디 있어?,m1q5a07hect,,m1q5hectdeadn,[M1Q5H],,0,0
22985,PC,Player Character,Not my concern.,상관할 바 아니야.,m1q5a07hect,,[지능 보통],,,0,0
22986,PC,Player Character [M1Q5A07],I saw him. He's looking for you.,봤어. 너 찾고 있더라.,m1q5a07hect,,m1q5a07hectclg,[M1Q5A07],,0,0
22987,PC,Player Character [M1Q5A07],Me saw him. He look for yous.,나 봤어. 그 너 찾아.,m1q5a07hect,,m1q5a07hectclg2,[M1Q5A07],,0,0
22988,PC,Player Character,Me not have any parts.,나 부품 없어.,m1q5a07hect,,[지능 낮음],,,0,0
22989,PC,Player Character,I no help. Bye bye.,나 못 도와. 안녕.,m1q5a07hect,,[지능 낮음],,,0,0
22990,PC,Player Character,This not my problem.,이건 내 문제가 아니야.,m1q5a07hect,,[지능 낮음],,,0,0
22991,PC,Player Character [M1Q5H],I take you to him maybe? Where he be?,데려다줄까? 어디 있어?,m1q5a07hect,,m1q5hectdeadl,[M1Q5H],,0,0
22992,PC,Player Character [M1Q5H],"Ugh! Okay, Me lead you, but yous don't get in way!","으! 좋아, 내가 안내할게, 근데 방해하지 마!",m1q5a07hect,,m1q5hectdeadl,[M1Q5H],,0,0
22993,PC,Player Character,Who are you?,넌 누구야?,m1q5a07hect,,[지능 보통],,,0,0
22994,PC,Player Character,Who you?,너 누구야?,m1q5a07hect,,[지능 낮음],,,0,0
22995,PC,Player Character,Hector punch? Are you an imbecile?,헥터 펀치? 너 멍청이야?,m1q5a07hect,,[지능 보통],,,0,0
22996,PC,Player Character,You sound stupids.,너 말 바보 같아.,m1q5a07hect,,[지능 낮음],,,0,0
22997,PC,Player Character,Aren't you worried about zombies or plague?,좀비나 역병이 걱정되지 않나?,m1q5a07hect,,[지능 보통],,,0,0
22998,PC,Player Character,You not scared of walking dead or plague-sick?,"걷는 죽은 놈이나 역병, 안 무서워?",m1q5a07hect,,[지능 낮음],,,0,0
22999,PC,Player Character,"You stay here for a bit, all right?","여기서 잠깐만 기다려, 알겠지?",m1q5a07hect,,[지능 보통],,,0,0
23000,PC,Player Character,"Yous wait here, okay?","너 여기서 기다려, 알지?",m1q5a07hect,,[지능 낮음],,,0,0
23001,PC,Player Character,We'll find him. Come on.,우리가 찾아줄게. 가자.,m1q5a07hect,,[지능 보통],,,0,0
23002,PC,Player Character,We find him soon. You keep following.,곧 찾을 거야. 계속 따라와.,m1q5a07hect,,[지능 낮음],,,0,0
23003,PC,Player Character,Perhaps you are too stupid to be scared.,너는 겁을 낼 줄도 모를 만큼 멍청한가 보군.,m1q5a07hect,,[지능 보통],,,0,0
23004,PC,Player Character,Maybe you too stupid to scare.,너 너무 멍청해서 무서움 몰라.,m1q5a07hect,,[지능 낮음],,,0,0
68052,PC,Player Character [M1Q5A],What should yous do if he dead? Where you go?,그가 죽었으면 어떡할래? 어디 갈래?,m1q5a07hect,,m1q5ahectclg02,[M1Q5A],,0,0
68053,PC,Player Character [M1Q5A],What should you do if he's dead? Where should you go?,그가 죽었으면 어떻게 할 거야? 어디로 가야 하지?,m1q5a07hect,,m1q5ahectclg01,[M1Q5A],,0,0
