StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
26132,PC,Player Character,Could I ask you some questions?,몇 가지 물어봐도 될까?,m1q6_farmer,,[지능 보통],,,0,0
26133,PC,Player Character,"Me have questions, yuh?","나 질문 있어, 응?",m1q6_farmer,,[지능 낮음],,,0,0
26134,PC,Player Character,Goodbye.,그럼 이만.,m1q6_farmer,,,,,0,0
26135,PC,Player Character,Shieldmeet. What's that?,방패회합? 그게 뭐지?,m1q6_farmer,,[지능 보통],,,0,0
26136,PC,Player Character,"Why do you think the place ""shut down?""","왜 그곳이 ""문을 닫았다""고 생각해?",m1q6_farmer,,[매력 중간/지능 중간],,,0,0
26137,PC,Player Character,You're sure Desther's back?,정말 데스터가 돌아왔다고 확신해?,m1q6_farmer,,[매력 높음/지능 중간],,,0,0
26138,PC,Player Character,What is this place?,여긴 어떤 곳이지?,m1q6_farmer,,[지능 보통],,,0,0
26139,PC,Player Character,Shield-meat. What that be?,쉴드-미트. 그게 뭐야?,m1q6_farmer,,[지능 낮음],,,0,0
26140,PC,Player Character,"Why you think this place ""shut down?""",왜 여기 '문 닫았다'고 생각해?,m1q6_farmer,,[매력 중간/지능 낮음],,,0,0
26141,PC,Player Character,"Des-ter back for sure, then, yuh?","데-스터 진짜 돌아왔지, 응?",m1q6_farmer,,[매력 높음/지능 낮음],,,0,0
26142,PC,Player Character,Uh... What this place called?,으... 여기 이름 뭐야?,m1q6_farmer,,[지능 낮음],,,0,0
26143,PC,Player Character,Anything strike you as odd this Shieldmeet?,이번 방패회합에 이상한 일이라도 있었어?,m1q6_farmer,,[지능 보통],,,0,0
26144,PC,Player Character,Shield-meat strike you funny this year?,방패고기가 올해 이상해 보이지 않아?,m1q6_farmer,,[지능 낮음],,,0,0
26145,PC,Player Character,Which way did he go?,그는 어느 쪽으로 갔지?,m1q6_farmer,,[지능 보통],,,0,0
26146,PC,Player Character,Which way he go?,그 어느 쪽으로 갔어?,m1q6_farmer,,[지능 낮음],,,0,0
26147,PC,Player Character,"<StartCheck>[Persuade]</Start> ""Good man"" Desther's a traitor. Lord Nasher sent me to hunt him down.",<StartCheck>[설득]</Start> '좋은 사람'이라는 데스터는 배신자야. 나셰르 영주님이 그를 추적하라고 날 보냈어.,m1q6_farmer,,[지능 보통],,,0,0
26148,PC,Player Character,<StartCheck>[Persuade]</Start> That Des-ter guy be evil. Mister Nasher send me to hunt 'im down.,<StartCheck>[설득]</Start> 그 데-스터 나쁜 놈이야. 나셰르 아저씨가 나 보고 잡으라 했어.,m1q6_farmer,,[지능 낮음],,,0,0
26149,PC,Player Character,"So you know Desther, do you?",그럼 데스터를 아는 거야?,m1q6_farmer,,[지능 보통],,,0,0
26150,PC,Player Character,"So you know this Des-ter guy, yuh?","그 데-스터란 사람 아는 거지, 응?",m1q6_farmer,,[지능 낮음],,,0,0
26151,PC,Player Character,How do you know they're not all dead?,어떻게 그들이 다 죽지 않았다고 아는 거지?,m1q6_farmer,,[지능 보통],,,0,0
26152,PC,Player Character,How you know they not dead?,어떻게 그들이 안 죽었다고 알아?,m1q6_farmer,,[지능 낮음],,,0,0
