StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
25411,PC,Player Character,People will think he did. He supported Desther.,사람들은 그가 한 일이라고 생각할 거예요. 그는 데스터를 지지했으니까요.,m1q6a01aribeth,,[지능 보통],,,0,0
25412,PC,Player Character,Fenthick has followed Desther? Let's hope he went to stop him.,펜딕이 데스터를 뒤따라갔다고요? 그를 막으러 간 거였길 바랄게요.,m1q6a01aribeth,,[지능 보통],,,0,0
25413,PC,Player Character,What will happen to Fenthick?,펜딕은 어떻게 될까요?,m1q6a01aribeth,,[지능 보통],,,0,0
25414,PC,Player Character,What are you going to do?,이제 어떻게 하실 건가요?,m1q6a01aribeth,,[지능 보통],,,0,0
25415,PC,Player Character,I'll go as quick as I can. Maybe I can catch up.,최대한 빨리 가볼게요. 어쩌면 따라잡을 수 있겠어요.,m1q6a01aribeth,,[지능 보통],,,0,0
25416,PC,Player Character,Where does this portal go?,이 차원문은 어디로 이어지나요?,m1q6a01aribeth,,[지능 보통],,,0,0
25417,PC,Player Character,People maybe think he did. He always supported Desther.,사람들 그가 했다고 생각할 거야. 그는 늘 데스터 편이었어.,m1q6a01aribeth,,[지능 낮음],,,0,0
25418,PC,Player Character,Fenthick followed Desther? Maybe he go to stop him?,펜딕 데스터 따라갔어? 아마 막으러 간 거야?,m1q6a01aribeth,,[지능 낮음],,,0,0
25419,PC,Player Character,What gonna happen to Fenthick?,펜딕 어떻게 되는 거야?,m1q6a01aribeth,,[지능 낮음],,,0,0
25420,PC,Player Character,What you gonna do?,너 뭐 할 거야?,m1q6a01aribeth,,[지능 낮음],,,0,0
25421,PC,Player Character,Where this magic door portal thingy go?,"이 마법 문 차원문 뭐시기, 어디로 가?",m1q6a01aribeth,,[지능 낮음],,,0,0
25422,PC,Player Character,Me go fast and maybe catch Desther!,나 빨리 가서 데스터 잡을지도!,m1q6a01aribeth,,[지능 낮음],,,0,0
25423,PC,Player Character,Goodbye.,그럼 이만 가볼게요.,m1q6a01aribeth,,,,,0,0
25424,PC,Player Character,What is involved in the ritual?,그 의식에는 무엇이 필요한가요?,m1q6a01aribeth,,[지능 보통],,,0,0
25425,PC,Player Character,Will things be getting back to normal now?,이제 모든 게 정상으로 돌아가게 되나요?,m1q6a01aribeth,,[지능 보통],,,0,0
25426,PC,Player Character,I have questions about your fellows.,동료분들에 대해 몇 가지 물어보고 싶어요.,m1q6a01aribeth,,[지능 보통],,,0,0
25427,PC,Player Character,What the spell like? What will happen?,그 주문 어떤 거야? 무슨 일 일어나?,m1q6a01aribeth,,[지능 낮음],,,0,0
25428,PC,Player Character,Maybe stuff get normal when this spell get done?,이 주문 끝나면 다 정상으로 되는 거야?,m1q6a01aribeth,,[지능 낮음],,,0,0
25429,PC,Player Character,Me gots questions about other peoples here.,여기 다른 사람들에 대해 물어볼 거 있어.,m1q6a01aribeth,,[지능 낮음],,,0,0
25430,PC,Player Character,<StartCheck>[Insight]</Start> I imagine he's more used to a stand-up fight.,<StartCheck>[통찰]</Start> 그는 정면승부에 더 익숙할 거라고 생각해요.,m1q6a01aribeth,,nw_d2_wis_intn,,,0,0
