StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
58596,PC,Player Character,You gots to explain yourself.,너 설명해야 해.,m1q6f11desther,,[지능 낮음],,,0,0
58597,PC,Player Character,"You will have to explain yourself, Desther.","데스터, 설명해야 할 거야.",m1q6f11desther,,[지능 보통],,,0,0
58598,PC,Player Character,"What about Fenthick? Yous evil stuff may gets him doomed, too.",펜딕은 어떻게 되고? 너 나쁜 짓 때문에 그 사람도 망할 수 있어.,m1q6f11desther,,[지능 낮음],,,0,0
58599,PC,Player Character,"What about Fenthick? Your trickery may damn him, too.",펜딕은 어떻게 되지? 네 속임수로 그도 파멸할 수 있어.,m1q6f11desther,,[지능 보통],,,0,0
58600,PC,Player Character,"That enough, me take yous back to Neverwinter right nows!","이제 됐어, 나 너 지금 당장 네버윈터로 데려가!",m1q6f11desther,,[지능 낮음],,,0,0
58601,PC,Player Character,Enough! I'm taking you back to Neverwinter right now!,됐어! 지금 당장 네버윈터로 데려가겠어!,m1q6f11desther,,[지능 보통],,,0,0
58602,PC,Player Character,You shut up. Me gonna look around here before taking yous back.,입 닥쳐. 나 너 데려가기 전에 여기 좀 둘러볼 거야.,m1q6f11desther,,[지능 낮음],,,0,0
58603,PC,Player Character,Shut up. I'm going to look around this place before I take you back.,입 닥쳐. 너를 데려가기 전에 이곳을 좀 둘러볼 거야.,m1q6f11desther,,[지능 보통],,,0,0
58604,PC,Player Character,"Me gots other questions, now.",나 지금 다른 질문 있어.,m1q6f11desther,,[지능 낮음],,,0,0
58605,PC,Player Character,I have other questions I need to ask.,물어볼 게 좀 더 있어.,m1q6f11desther,,[지능 보통],,,0,0
58606,PC,Player Character,Why Neverwinter attacked? Why you spread plague?,왜 네버윈터 공격당했어? 왜 너 역병 퍼뜨렸어?,m1q6f11desther,,[지능 낮음],,,0,0
58607,PC,Player Character,Why was Neverwinter attacked? Why did you spread the plague?,왜 네버윈터가 공격당한 거지? 왜 역병을 퍼뜨린 거야?,m1q6f11desther,,[지능 보통],,,0,0
58608,PC,Player Character,Yous explain! What the plague do?,너 설명해! 역병이 뭐 했어?,m1q6f11desther,,[지능 낮음],,,0,0
58609,PC,Player Character,Explain what you mean! What did the plague do?,설명해 봐! 역병이 뭘 한 거야?,m1q6f11desther,,[지능 보통],,,0,0
58610,PC,Player Character,"If yous not start plague, who did?","너 역병 시작 안 했으면, 누가 했어?",m1q6f11desther,,[지능 낮음],,,0,0
58611,PC,Player Character,"If you did not start the plague, who did?","네가 역병을 시작하지 않았다면, 누가 한 거지?",m1q6f11desther,,[지능 보통],,,0,0
58612,PC,Player Character,Who you follow?,너 누구 따라?,m1q6f11desther,,[지능 낮음],,,0,0
58613,PC,Player Character,Who are your masters?,네 주인은 누구지?,m1q6f11desther,,[지능 보통],,,0,0
58614,PC,Player Character,"How many of yous is there? How many ""Eye People"" you got?","너희 몇 명이야? ""눈동자 교단"" 몇 명 있어?",m1q6f11desther,,[지능 낮음],,,0,0
58615,PC,Player Character,"How big is your group? How many ""People of the Eye"" are there?","조직이 얼마나 커? ""눈동자 교단""이 몇 명이나 되지?",m1q6f11desther,,[지능 보통],,,0,0
58616,PC,Player Character,You tells what Old Ones is! You tell now!,너 태고의 존재들이 뭔지 말해! 지금 말해!,m1q6f11desther,,[지능 낮음],,,0,0
58617,PC,Player Character,What are the Old Ones! Tell me!,태고의 존재들이 뭐야! 말해 봐!,m1q6f11desther,,[지능 보통],,,0,0
58618,PC,Player Character,Where the cure?,치료법 어디 있어?,m1q6f11desther,,[지능 낮음],,,0,0
58619,PC,Player Character,Where is the cure?,치료법은 어디 있지?,m1q6f11desther,,[지능 보통],,,0,0
58620,PC,Player Character,Me should just kills you right now.,나 지금 당장 너 죽여야 해.,m1q6f11desther,,[지능 낮음],,,0,0
58621,PC,Player Character,I should end your life right now.,지금 당장 네 목숨을 끝내야겠어.,m1q6f11desther,,[지능 보통],,,0,0
58622,PC,Player Character,Yous gonna be taken to get judged.,너 심판받으러 갈 거야.,m1q6f11desther,,[지능 낮음],,,0,0
58623,PC,Player Character,You will be taken back to face judgment.,심판을 받으러 돌아가게 될 거야.,m1q6f11desther,,[지능 보통],,,0,0
