StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
32863,PC,Player Character [M2Q2S],You're Revat's Momma right? I am here to rescue you.,레바트 엄마 맞지? 구하러 왔어.,m2q2ajanis,,m2q2scjanis3,[M2Q2S],,0,0
32864,PC,Player Character [M2Q2S],You can stop worrying. I'm here to rescue you.,걱정 마. 구하러 왔으니까.,m2q2ajanis,,m2q2scjanis3,[M2Q2S],,0,0
32865,PC,Player Character [M2Q2S],"You are free to go, but not with me. You can leave on your own.",이제 가도 돼. 근데 나랑은 못 가. 혼자 나가.,m2q2ajanis,,m2q2scjanis3,[M2Q2S],,0,0
32866,PC,Player Character,Just stay right there and don't move. I'll be back.,거기 가만히 있어. 돌아올게.,m2q2ajanis,,[지능 보통],,,0,0
32867,PC,Player Character [M2Q2S],You Revat's Momma? Me here save you.,레바트 엄마? 나 구하러 왔어.,m2q2ajanis,,m2q2scjanis4,[M2Q2S],,0,0
32868,PC,Player Character [M2Q2S],You be happy. Me free you.,기뻐해. 나 너 풀어줄 거야.,m2q2ajanis,,m2q2scjanis4,[M2Q2S],,0,0
32869,PC,Player Character [M2Q2S],"You be free, but no follow me.",너 자유야. 근데 나 따라오지 마.,m2q2ajanis,,m2q2scjanis4,[M2Q2S],,0,0
32870,PC,Player Character,You don't move. I'll be back.,움직이지 마. 나 돌아올 거야.,m2q2ajanis,,[지능 낮음],,,0,0
32871,PC,Player Character,"Sorry, he never said your name.","미안, 그 사람이 이름은 안 알려줬거든.",m2q2ajanis,,[지능 보통],,,0,0
32872,PC,Player Character,"Since I am here to rescue you, you might want to be more polite.",구하러 온 건데 좀 예의 있게 굴지 그래.,m2q2ajanis,,[지능 보통],,,0,0
32873,PC,Player Character,Him never tell me you name.,그 사람 나한테 이름 안 알려줬어.,m2q2ajanis,,[지능 낮음],,,0,0
32874,PC,Player Character,"You be nice, since me free you.",나 너 풀어줄 거야. 착하게 해.,m2q2ajanis,,[지능 낮음],,,0,0
32875,PC,Player Character,So how am I supposed to help you?,그래서 어떻게 도와주면 돼?,m2q2ajanis,,[지능 보통],,,0,0
32876,PC,Player Character,What do you expect me to do about it?,그래서 내가 뭘 어떻게 하라고?,m2q2ajanis,,[지능 보통],,,0,0
32877,PC,Player Character,So what me do to help?,그래서 나 뭐 해야 돼?,m2q2ajanis,,[지능 낮음],,,0,0
32878,PC,Player Character,What you think me can do to fix you mistake?,나보고 어떻게 하라고?,m2q2ajanis,,[지능 낮음],,,0,0
32879,PC,Player Character,Are you always this miserable?,원래 이렇게 투덜거려?,m2q2ajanis,,[지능 보통],,,0,0
32880,PC,Player Character,"So why didn't they kill you, or eat you?",근데 왜 죽이거나 잡아먹지 않은 거야?,m2q2ajanis,,[지능 보통],,,0,0
32881,PC,Player Character,Why they not kill and eat you?,왜 안 죽이고 안 먹었어?,m2q2ajanis,,[지능 낮음],,,0,0
32882,PC,Player Character,You always so grumpy?,맨날 이래?,m2q2ajanis,,[지능 낮음],,,0,0
32883,PC,Player Character,"The others were attacked by the trolls and ogres, right?",다른 사람들은 트롤이랑 오우거한테 습격당한 거지?,m2q2ajanis,,[지능 보통],,,0,0
32884,PC,Player Character,So what did you do?,그래서 뭘 했는데?,m2q2ajanis,,[지능 보통],,,0,0
32885,PC,Player Character,Them attacked by trolls 'n' ogres?,다른 사람들 트롤이랑 오우거한테 당했어?,m2q2ajanis,,[지능 낮음],,,0,0
32886,PC,Player Character,What you do then?,그래서 뭐 했어?,m2q2ajanis,,[지능 낮음],,,0,0
32887,PC,Player Character,Could you explain what happened to you again?,다시 한번 설명해 줄래?,m2q2ajanis,,[지능 보통],,,0,0
32888,PC,Player Character,You can come with me now.,이제 나랑 같이 가도 돼.,m2q2ajanis,,[지능 보통],,,0,0
32889,PC,Player Character,You're just not worth rescuing. Goodbye.,구해줄 맛이 안 나네. 잘 있어.,m2q2ajanis,,[지능 보통],,,0,0
32890,PC,Player Character,How you get here again?,어떻게 여기 왔다고?,m2q2ajanis,,[지능 낮음],,,0,0
32891,PC,Player Character,"Me go now, you follow.",나 이제 가. 너 따라와.,m2q2ajanis,,[지능 낮음],,,0,0
32892,PC,Player Character,Me not want to rescue you. Bye.,너 구하기 싫어. 안녕.,m2q2ajanis,,[지능 낮음],,,0,0
32893,PC,Player Character [M2Q2S],I am clearing the trolls and ogres out of these caves. Who are you and why are you here?,이 동굴에서 트롤이랑 오우거를 소탕하고 있어. 넌 누구고 왜 여기 있는 거야?,m2q2ajanis,,m2q2scjanis5,[M2Q2S],,0,0
32894,PC,Player Character [M2Q2S],Me kill bad trolls 'n' ugly ogres. Who you and why you here?,나 나쁜 트롤이랑 못생긴 오우거 죽여. 너 누구고 왜 여기 있어?,m2q2ajanis,,m2q2scjanis7,[M2Q2S],,0,0
32895,PC,Player Character,So what happened?,그래서 무슨 일이 있었는데?,m2q2ajanis,,[지능 보통],,,0,0
32896,PC,Player Character,Is this story going to take much longer?,얘기 아직 많이 남았어?,m2q2ajanis,,[지능 보통],,,0,0
32897,PC,Player Character,That bad. What next?,안됐다. 그다음은?,m2q2ajanis,,[지능 낮음],,,0,0
32898,PC,Player Character,You get to point soon.,빨리 말해.,m2q2ajanis,,[지능 낮음],,,0,0
32899,PC,Player Character,A goddess? Why do you think that?,여신이라고? 왜?,m2q2ajanis,,[지능 보통],,,0,0
32900,PC,Player Character,"Somebody's going senile, I think.",누가 머리가 좀 이상해진 것 같은데.,m2q2ajanis,,[지능 보통],,,0,0
32901,PC,Player Character,Why them think you goddess?,왜 걔들 너 여신이라고 해?,m2q2ajanis,,[지능 낮음],,,0,0
32902,PC,Player Character,"You go crazy, maybe?",너 미쳤어?,m2q2ajanis,,[지능 낮음],,,0,0
32903,PC,Player Character,Where would I find your son?,아들은 어디 있어?,m2q2ajanis,,[지능 보통],,,0,0
