StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
34284,PC,Player Character,I am <FirstName>. You seem very friendly.,저는 <FirstName>입니다. 매우 친근해 보이시네요.,m2q2ewelcar,,[지능 보통],,,0,0
34285,PC,Player Character,My name is <FullName>. It is a pleasure to meet you.,제 이름은 <FullName>입니다. 만나서 반갑습니다.,m2q2ewelcar,,[지능 보통],,,0,0
34286,PC,Player Character,None of your business. How about you answer some questions?,상관없어요. 질문 좀 답해 줄래요?,m2q2ewelcar,,[지능 보통],,,0,0
34287,PC,Player Character,Me be <FirstName>. You be friendly.,나 <FirstName>이야. 너 친근해 보여.,m2q2ewelcar,,[지능 낮음],,,0,0
34288,PC,Player Character,Me name be <FullName>. It be nice to meet you.,나 이름 <FullName>이야. 너 만나서 좋아.,m2q2ewelcar,,[지능 낮음],,,0,0
34289,PC,Player Character,You no ask questions. Me ask questions.,너 질문 하지 마. 나 질문할 거야.,m2q2ewelcar,,[지능 낮음],,,0,0
34290,PC,Player Character,What challenge was this?,무슨 도전이었어요?,m2q2ewelcar,,[지능 보통],,,0,0
34291,PC,Player Character,Who cares. I just want you to answer some questions.,관심 없어요. 그냥 질문에 답해 주세요.,m2q2ewelcar,,[지능 보통],,,0,0
34292,PC,Player Character,Congratulations. How would you like to answer some questions?,축하해요. 질문 좀 답해 주실래요?,m2q2ewelcar,,[지능 보통],,,0,0
34293,PC,Player Character,What be this challenge?,무슨 도전이야?,m2q2ewelcar,,[지능 낮음],,,0,0
34294,PC,Player Character,Me not care. You answer me questions now.,나 신경 안 써. 너 지금 내 질문 답해.,m2q2ewelcar,,[지능 낮음],,,0,0
34295,PC,Player Character,Good job! Now you answer me questions.,잘했어! 이제 너 내 질문 답해.,m2q2ewelcar,,[지능 낮음],,,0,0
34296,PC,Player Character,"Okay, and what did she say?","알겠어요, 그래서 뭐라고 했어요?",m2q2ewelcar,,[지능 보통],,,0,0
