StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
35080,PC,Player Character,What are you talking about? And why did you attack me?,무슨 소리야? 그리고 왜 날 공격한 거야?,m2q2hslave1,,[지능 보통],,,0,0
35081,PC,Player Character,Who are you?,너 누구야?,m2q2hslave1,,[지능 보통],,,0,0
35082,PC,Player Character,What you be talking 'bout? Why you attack me?,무슨 소리 하는 거야? 왜 나 공격했어?,m2q2hslave1,,[지능 낮음],,,0,0
35083,PC,Player Character,Who you be?,너 누구야?,m2q2hslave1,,[지능 낮음],,,0,0
35084,PC,Player Character,"Yes, this is the Wood. Why did you just attack me?","그래, 여긴 숲이야. 왜 날 공격한 거야?",m2q2hslave1,,[지능 보통],,,0,0
35085,PC,Player Character,I am asking the questions here. You should have known better than to attack me.,질문하는 건 나야. 날 공격한 건 잘못된 선택이었어.,m2q2hslave1,,[지능 보통],,,0,0
35086,PC,Player Character,"Yes, this be the Wood. Why you attack me?","응, 여기 숲이야. 왜 나 공격했어?",m2q2hslave1,,[지능 낮음],,,0,0
35087,PC,Player Character,You no ask questions. You be dumb to attack me.,너 질문 안 해. 나 공격한 건 멍청한 짓이었어.,m2q2hslave1,,[지능 낮음],,,0,0
35088,PC,Player Character,Don't you remember anything about your captivity?,포로였던 것에 대해 아무것도 기억 안 나?,m2q2hslave1,,[지능 보통],,,0,0
35089,PC,Player Character,"All right, you should get out of here now.","알았어, 이제 여기서 나가.",m2q2hslave1,,[지능 보통],,,0,0
35090,PC,Player Character,You no remember being held?,너 잡혀 있었던 거 기억 안 나?,m2q2hslave1,,[지능 낮음],,,0,0
35091,PC,Player Character,Okay. You better go now.,알았어. 이제 가는 게 좋아.,m2q2hslave1,,[지능 낮음],,,0,0
35092,PC,Player Character,I think you are trying to trick me. Die foolish man!,"날 속이려는 것 같은데. 죽어라, 멍청한 놈!",m2q2hslave1,nw_d1_small_evil,[지능 보통],,,0,0
35093,PC,Player Character,"You be sneaky. You try to trick me, but now me kill you!",너 교활해. 나 속이려 하지만 이제 나 너 죽여!,m2q2hslave1,nw_d1_small_evil,[지능 낮음],,,0,0
35094,PC,Player Character,Let me ask you some questions about what you knew before you were captured.,잡히기 전에 알았던 것에 대해 질문 좀 할게.,m2q2hslave1,,[지능 보통],,,0,0
35095,PC,Player Character,Me want know what you learn before you forgot stuff. You answer me questions.,나 네가 기억 잃기 전에 알았던 거 알고 싶어. 너 내 질문 답해.,m2q2hslave1,,[지능 낮음],,,0,0
35096,PC,Player Character,What did you discover about what is happening to the animals in the Wood?,숲의 동물들에게 무슨 일이 일어나고 있는지 뭘 발견했어?,m2q2hslave1,,[지능 보통],,,0,0
35097,PC,Player Character,There are some druids missing. Do you know what happened to them?,실종된 드루이드들이 있어. 그들에게 무슨 일이 있었는지 알아?,m2q2hslave1,,[지능 보통],,,0,0
35098,PC,Player Character [M2Q2H],I heard about a witch named Setara. What do you know about her?,세타라라는 마녀에 대해 들었어. 그녀에 대해 뭘 알아?,m2q2hslave1,,m2q2hscslave2,[M2Q2H],,0,0
35099,PC,Player Character,What you find 'bout animals attacking?,동물들 공격하는 거에 대해 뭘 알아냈어?,m2q2hslave1,,[지능 낮음],,,0,0
35100,PC,Player Character,There be druids missing. You know 'bout that?,드루이드들 실종됐어. 너 그거 알아?,m2q2hslave1,,[지능 낮음],,,0,0
35101,PC,Player Character [M2Q2H],Setara be the witch of the Wood. You know 'bout her?,세타라가 숲의 마녀야. 그녀에 대해 알아?,m2q2hslave1,,m2q2hscslave1,[M2Q2H],,0,0
