StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
35117,PC,Player Character,"No, I'm not. I have control of my own mind. Who are you?","아니, 그렇지 않아. 내 정신은 내가 통제해. 당신은 누구지?",m2q2hterari,,[지능 보통],,,0,0
35118,PC,Player Character,"I am not so foolish as to be captured by a nymph. You may leave now, thanks to me.",님프 따위에게 잡힐 만큼 어리석진 않아. 내 덕분에 이제 갈 수 있어.,m2q2hterari,,[지능 보통],,,0,0
35119,PC,Player Character,You just wait here. I'll be back.,여기서 기다려. 다시 올게.,m2q2hterari,,[지능 보통],,,0,0
35120,PC,Player Character,I not be fooled by nymph. Me smart. Who you?,나... 님프한테 안 속아. 나 똑똑해. 너 누구?,m2q2hterari,,[지능 낮음],,,0,0
35121,PC,Player Character,Me not get caught by little nymph like you. You go away now.,나 너 같은 작은 님프한테 안 잡혀. 너 이제 가.,m2q2hterari,,[지능 낮음],,,0,0
35122,PC,Player Character,You no move. Me be back.,너 움직이지 마. 나 돌아올 거야.,m2q2hterari,,[지능 낮음],,,0,0
35123,PC,Player Character [M2Q2H],THIS LINE NEVER APPEARS IN CONVERSATION (though there are links to what's below).,이 대사는 대화에서 나타나지 않습니다 (아래 링크만 있음).,m2q2hterari,,m2q2hscter99,[M2Q2H],,0,0
35124,PC,Player Character [M2Q2H],THIS LINE NEVER APPEARS IN CONVERSATION (though there are links to what's below).,이 대사는 대화에서 나타나지 않습니다 (아래 링크만 있음).,m2q2hterari,,m2q2hscter99,[M2Q2H],,0,0
35125,PC,Player Character,My name is <FirstName>. Aawill sent me to find you.,내 이름은 <FirstName>. 아윌이 당신을 찾으라고 보냈어.,m2q2hterari,,[지능 보통],,,0,0
35126,PC,Player Character [M2Q2H],THIS LINE NEVER APPEARS IN CONVERSATION (though there are links to what's below).,이 대사는 대화에서 나타나지 않습니다 (아래 링크만 있음).,m2q2hterari,,m2q2hscter99,[M2Q2H],,0,0
35127,PC,Player Character,Me name be <FirstName>. Me work for Aawill. Now me find you.,나 이름 <FirstName>. 나 아윌 위해 일해. 이제 너 찾았어.,m2q2hterari,,[지능 낮음],,,0,0
35128,PC,Player Character [M2Q2H],THIS LINE NEVER APPEARS IN CONVERSATION (though there are links to what's below).,이 대사는 대화에서 나타나지 않습니다 (아래 링크만 있음).,m2q2hterari,,m2q2hscter99,[M2Q2H],,0,0
35129,PC,Player Character,How far did you get?,어디까지 알아냈어?,m2q2hterari,,[지능 보통],,,0,0
35130,PC,Player Character,How did you end up in here?,여기엔 어떻게 갇히게 된 거야?,m2q2hterari,,[지능 보통],,,0,0
35131,PC,Player Character,How much you learn?,너 얼마나 알아냈어?,m2q2hterari,,[지능 낮음],,,0,0
