StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
35230,PC,Player Character,I am glad I was able to find you down here. Who are you?,여기서 찾아서 다행이야. 당신은 누구지?,m2q2iorlane,,[지능 보통],,,0,0
35231,PC,Player Character,It's too dangerous in here for me to worry about you. You had better get out on your own.,여긴 너무 위험해서 당신까지 신경 쓸 수 없어. 혼자 나가는 게 좋겠어.,m2q2iorlane,,[지능 보통],,,0,0
35232,PC,Player Character,You just wait here. I'll be back.,여기서 기다려. 금방 돌아올게.,m2q2iorlane,,[지능 보통],,,0,0
35233,PC,Player Character,Me happy me find you in big messy webs. Who you be?,나 기뻐 너 찾아서 거미줄 엉켜 있는 데서. 너 누구야?,m2q2iorlane,,[지능 낮음],,,0,0
35234,PC,Player Character,Me not want protect you. You get out alone.,나 너 지켜주기 싫어. 너 혼자 나가.,m2q2iorlane,,[지능 낮음],,,0,0
35235,PC,Player Character,"You no move. You wait, me be back.",너 움직이지 마. 기다려 나 돌아올게.,m2q2iorlane,,[지능 낮음],,,0,0
35236,PC,Player Character [M2Q2I],"No, but I'm working on it. What can you tell me about the situation?",아직 아니야. 근데 알아보는 중이야. 상황에 대해 뭘 알려줄 수 있어?,m2q2iorlane,,m2q2iscorl99,[M2Q2I],,0,0
35237,PC,Player Character [M2Q2I],No. Some of the other druids have gone missing too. Do you know where they might be?,아니. 다른 드루이드들도 실종됐어. 어디 있는지 알아?,m2q2iorlane,,m2q2iscorl99,[M2Q2I],,0,0
35238,PC,Player Character,I have met Aawill. My name is <FirstName> and I was sent to rescue you.,아윌을 만났어. 내 이름은 <FirstName>이고 당신을 구하러 왔어.,m2q2iorlane,,[지능 보통],,,0,0
35239,PC,Player Character [M2Q2I],"No, but me do it soon. You know stuff 'bout it?",아니 근데 나 곧 해. 너 그거 알아?,m2q2iorlane,,m2q2iscorl99,[M2Q2I],,0,0
35240,PC,Player Character,Me know Aawill. Him send me find you. Now you be found.,나 아윌 알아. 그가 나 보내서 너 찾아. 이제 너 찾았어.,m2q2iorlane,,[지능 낮음],,,0,0
35241,PC,Player Character [M2Q2I],No. Some other druids gone too. You know 'bout them?,아니. 다른 드루이드들도 사라졌어. 너 그거 알아?,m2q2iorlane,,m2q2iscorl99,[M2Q2I],,0,0
35242,PC,Player Character,You were attacked by a deer? I've never heard of such a thing.,사슴한테 공격당했다고? 그런 일은 처음 들어.,m2q2iorlane,,[지능 보통],,,0,0
35243,PC,Player Character,Ha! You got your butt kicked by a deer?,하! 사슴한테 두들겨 맞은 거야?,m2q2iorlane,,[지능 보통],,,0,0
35244,PC,Player Character,Deer attack you? That odd.,사슴이 공격해? 이상해.,m2q2iorlane,,[지능 낮음],,,0,0
35245,PC,Player Character,Ha! You get butt kicked by deer?,하! 사슴한테 맞은 거야?,m2q2iorlane,,[지능 낮음],,,0,0
35246,PC,Player Character,The spiders attacked you on the surface?,거미들이 지상에서 공격한 거야?,m2q2iorlane,,[지능 보통],,,0,0
35247,PC,Player Character,"Surprised twice? You were really alert for danger, weren't you?",두 번이나 당했어? 위험에 정말 주의 깊었네?,m2q2iorlane,,[지능 보통],,,0,0
35248,PC,Player Character,Spiders come out of cave to get you?,거미들 동굴에서 나와서 널 잡았어?,m2q2iorlane,,[지능 낮음],,,0,0
35249,PC,Player Character,You not very bright if surprised twice.,두 번 당하면 너 별로 똑똑 안 해.,m2q2iorlane,,[지능 낮음],,,0,0
35250,PC,Player Character,Tell me what you've learned about the Spirit of the Wood.,숲의 정령에 대해 알아낸 걸 말해줘.,m2q2iorlane,,[지능 보통],,,0,0
35251,PC,Player Character [M2Q2I],Do you know what happened to the other druids who were searching for answers?,답을 찾고 있던 다른 드루이드들에게 무슨 일이 있었는지 알아?,m2q2iorlane,,m2q2iorldru1,[M2Q2I],,0,0
35252,PC,Player Character,I hope you are feeling better now. You should get going.,이제 좀 나은 것 같네. 가는 게 좋겠어.,m2q2iorlane,,[지능 보통],,,0,0
35253,PC,Player Character,What you learn 'bout Spirit of Wood?,숲의 정령 뭐 알아?,m2q2iorlane,,[지능 낮음],,,0,0
35254,PC,Player Character [M2Q2I],Where other druids go?,다른 드루이드들 어디 갔어?,m2q2iorlane,,m2q2iorldru2,[M2Q2I],,0,0
35255,PC,Player Character,You go now. You be safe.,이제 가. 안전해.,m2q2iorlane,,[지능 낮음],,,0,0
35256,PC,Player Character,Tell me more about this pool.,이 웅덩이에 대해 더 말해줘.,m2q2iorlane,,[지능 보통],,,0,0
35257,PC,Player Character,You mean there's a cave under the pool?,웅덩이 밑에 동굴이 있다는 거야?,m2q2iorlane,,[지능 보통],,,0,0
35258,PC,Player Character,Tell me 'bout pool.,웅덩이 말해줘.,m2q2iorlane,,[지능 낮음],,,0,0
35259,PC,Player Character,It live in the pool?,거기 살아?,m2q2iorlane,,[지능 낮음],,,0,0
35260,PC,Player Character,Why didn't you go into it?,왜 안 들어갔어?,m2q2iorlane,,[지능 보통],,,0,0
35261,PC,Player Character,What do you mean another realm?,다른 영역이라니 무슨 말이야?,m2q2iorlane,,[지능 보통],,,0,0
35262,PC,Player Character,You no go into pool?,웅덩이 안 들어갔어?,m2q2iorlane,,[지능 낮음],,,0,0
35263,PC,Player Character,What you mean other realm?,다른 영역 무슨 말이야?,m2q2iorlane,,[지능 낮음],,,0,0
35264,PC,Player Character,So now what am I supposed to do?,그래서 이제 내가 뭘 해야 해?,m2q2iorlane,,[지능 보통],,,0,0
35265,PC,Player Character,So how did you get down here?,그래서 어떻게 여기 내려온 거야?,m2q2iorlane,,[지능 보통],,,0,0
35266,PC,Player Character,Now what me do?,이제 나 뭐 해?,m2q2iorlane,,[지능 낮음],,,0,0
35267,PC,Player Character,How you get down here?,어떻게 여기 내려왔어?,m2q2iorlane,,[지능 낮음],,,0,0
35268,PC,Player Character,Why don't you tell me your story?,무슨 일이 있었는지 말해줘.,m2q2iorlane,,[지능 보통],,,0,0
35269,PC,Player Character,You tell me what happen to you.,너한테 무슨 일 있었는지 말해.,m2q2iorlane,,[지능 낮음],,,0,0
35270,PC,Player Character,So how did you get captured?,그래서 어떻게 붙잡힌 거야?,m2q2iorlane,,[지능 보통],,,0,0
35271,PC,Player Character,So you're one of the druids I was looking for. Glad I found you.,내가 찾던 드루이드 중 한 명이군. 찾아서 다행이야.,m2q2iorlane,,[지능 보통],,,0,0
35272,PC,Player Character,You be druid me look for. Me glad me find you.,너 내가 찾던 드루이드. 나 기뻐 찾아서.,m2q2iorlane,,[지능 낮음],,,0,0
35273,PC,Player Character,What were you doing down here?,여기서 뭘 하고 있었어?,m2q2iorlane,,[지능 보통],,,0,0
35274,PC,Player Character,How you get caught?,어떻게 잡혔어?,m2q2iorlane,,[지능 낮음],,,0,0
35275,PC,Player Character,What you do in caves here?,여기 동굴에서 뭐 했어?,m2q2iorlane,,[지능 낮음],,,0,0
64689,PC,Player Character [M2Q2E],"Me cure Spirit, so you be safe now.",나 정령 고쳤어. 이제 너 안전해.,m2q2iorlane,,m2q2escaawill11,[M2Q2E],,0,0
64690,PC,Player Character [M2Q2E],I have cured the Spirit of the Wood. You may return to the other druids in peace.,숲의 정령을 치유했어. 이제 다른 드루이드들에게 무사히 돌아가도 돼.,m2q2iorlane,,m2q2escaawill10,[M2Q2E],,0,0
64691,PC,Player Character,Be safe.,안전해.,m2q2iorlane,,[지능 낮음],,,0,0
64692,PC,Player Character,Take care of yourself. ,몸조심해.,m2q2iorlane,,[지능 보통],,,0,0
64693,PC,Player Character [M2Q2E],Me kill Spirit. You not need worry no more.,나 정령 죽였어. 너 더 이상 걱정 안 해도 돼.,m2q2iorlane,,m2q2escaawill8,[M2Q2E],,0,0
64694,PC,Player Character [M2Q2E],"I had to kill the Spirit of the Wood, so the problem is resolved.",숲의 정령을 죽일 수밖에 없었어. 그래서 문제는 해결됐어.,m2q2iorlane,,m2q2escaawill9,[M2Q2E],,0,0
64695,PC,Player Character,You watch what say or maybe you not be rescued after all.,말 조심해 안 그러면 구출 안 할 수도 있어.,m2q2iorlane,,[지능 낮음],,,0,0
64696,PC,Player Character,Watch your insults. Nobody else knows I found you... if you take my meaning.,욕은 조심해. 내가 널 찾았다는 걸 아는 사람은 없어... 무슨 뜻인지 알겠지.,m2q2iorlane,,[지능 보통],,,0,0
64697,PC,Player Character,Me must go now. You fine on own?,나 이제 가야 해. 너 혼자 괜찮아?,m2q2iorlane,,,,,0,0
