StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
35438,PC,Player Character,The forest is destroying itself all around you and I am trying to find a way to save it.,숲이 사방에서 스스로를 파괴하고 있어서 구할 방법을 찾고 있어.,m2q2jsetara,,[지능 보통],,,0,0
35439,PC,Player Character,There are some missing druids that I am seeking and I hoped you might have seen one.,실종된 드루이드들을 찾고 있는데 혹시 봤을까 해서.,m2q2jsetara,,[지능 보통],,,0,0
35440,PC,Player Character,"Get out of my way you ugly hag, before I chop off your withered head!","비켜, 이 못생긴 마녀야! 쪼글쪼글한 머리통 날려버리기 전에!",m2q2jsetara,,[지능 보통],,,0,0
35441,PC,Player Character,"Me try to help forest, so it not kill people no more.",나 숲 도우려고. 숲이 사람 더 안 죽이게.,m2q2jsetara,,[지능 낮음],,,0,0
35442,PC,Player Character,Me just stop in for visit.,나 그냥 들른 거.,m2q2jsetara,,[지능 낮음],,,0,0
35443,PC,Player Character,You get out of way or me chop you ugly face off.,비켜 안 그러면 못생긴 얼굴 잘라버려.,m2q2jsetara,,[지능 낮음],,,0,0
35444,PC,Player Character,I was just looking around.,그냥 둘러보고 있었어.,m2q2jsetara,,[지능 보통],,,0,0
35445,PC,Player Character,Me need find missing druids to help. You see druid anywhere?,나 실종된 드루이드 찾아야 해. 드루이드 어디서 봤어?,m2q2jsetara,,[지능 낮음],,,0,0
35446,PC,Player Character [M2Q2J],I heard that you were a friend to forest creatures and thought you might know something that could assist me.,숲 생명체들의 친구라고 들어서 도움 될 만한 걸 알지 않을까 싶었어.,m2q2jsetara,,m2q2jscset1,[M2Q2J],,0,0
35447,PC,Player Character,I'm just desperate to find some information or anything that could help.,도움이 될 정보라면 뭐든 필사적으로 찾고 있어.,m2q2jsetara,,[지능 보통],,,0,0
35448,PC,Player Character [M2Q2J],"Me thought you friend of animals. Me thought you help, maybe?",너 동물 친구라 들었어. 너 도와줄 수 있어?,m2q2jsetara,,m2q2jscset2,[M2Q2J],,0,0
35449,PC,Player Character,Me need help bad. Me take any me can get.,나 도움 많이 필요해. 뭐든 받을게.,m2q2jsetara,,[지능 낮음],,,0,0
35450,PC,Player Character,I've heard enough. I'll leave now.,충분히 들었어. 이만 갈게.,m2q2jsetara,,[지능 보통],,,0,0
35451,PC,Player Character,Me heard 'nuff. Me go.,나 다 들었어. 나 간다.,m2q2jsetara,,[지능 낮음],,,0,0
35452,PC,Player Character,I didn't come to gawk. What happened to you?,구경하러 온 게 아냐. 무슨 일이 있었던 거야?,m2q2jsetara,,[지능 보통],,,0,0
35453,PC,Player Character,"You would certainly fit into the freak show at a circus, but I'm here to find something specific, not to stare.",서커스 괴물쇼에 딱 맞겠지만 난 구경하러 온 게 아니라 뭔가를 찾으러 왔어.,m2q2jsetara,,[지능 보통],,,0,0
35454,PC,Player Character,I guess I'll put you out of your misery then hag!,고통에서 벗어나게 해줄게 마녀야!,m2q2jsetara,,[지능 보통],,,0,0
35455,PC,Player Character,Me not here to stare. What make you ugly?,나 구경하러 온 거 아냐. 왜 못생겨진 거야?,m2q2jsetara,,[지능 낮음],,,0,0
35456,PC,Player Character,"You would win prize for ugliest person, but me look for something, not here for show.",너 제일 못생긴 사람 상 받겠다. 근데 나 뭐 찾으러 왔어. 구경 아니야.,m2q2jsetara,,[지능 낮음],,,0,0
35457,PC,Player Character,"You too ugly to live, so me kill you.",너무 못생겨서 살면 안 돼. 나 죽일게.,m2q2jsetara,,[지능 낮음],,,0,0
35458,PC,Player Character,What can I do to help you?,어떻게 도와주면 돼?,m2q2jsetara,,[지능 보통],,,0,0
35459,PC,Player Character,What are you willing to give me if I help you?,도와주면 뭘 줄 건데?,m2q2jsetara,,[지능 보통],,,0,0
35460,PC,Player Character,I don't trust you. I think I'll kill you instead.,널 믿을 수 없어. 그냥 죽여버리는 게 낫겠어.,m2q2jsetara,,[지능 보통],,,0,0
35461,PC,Player Character,What me do to help?,나 뭐 도와줘?,m2q2jsetara,,[지능 낮음],,,0,0
35462,PC,Player Character,What you give me if me help you?,나 도와주면 뭐 줄 거야?,m2q2jsetara,,[지능 낮음],,,0,0
35463,PC,Player Character,"Me no trust you, so me kill you.",너 못 믿어. 그래서 죽일 거야.,m2q2jsetara,,[지능 낮음],,,0,0
35464,PC,Player Character,"All right, what do you want me to do?","좋아, 뭘 하면 돼?",m2q2jsetara,,[지능 보통],,,0,0
35465,PC,Player Character,That's not enough. I want gold.,그것만으론 부족해. 금화를 원해.,m2q2jsetara,,[지능 보통],,,0,0
35466,PC,Player Character,What you want me to do?,뭐 하면 돼?,m2q2jsetara,,[지능 낮음],,,0,0
35467,PC,Player Character,Not 'nuff. Me want gold.,부족해. 금화 줘.,m2q2jsetara,,[지능 낮음],,,0,0
35468,PC,Player Character,"Okay, I will get this mirror for you.","좋아, 거울 가져다줄게.",m2q2jsetara,,[지능 보통],,,0,0
35469,PC,Player Character,What will you give me to get this mirror for you?,거울 가져다주면 뭘 줄 건데?,m2q2jsetara,,[지능 보통],,,0,0
35470,PC,Player Character,"Okay, me get you mirror.","알았어, 거울 가져올게.",m2q2jsetara,,[지능 낮음],,,0,0
35471,PC,Player Character,What you give me if me get you mirror?,거울 가져오면 뭐 줘?,m2q2jsetara,,[지능 낮음],,,0,0
35472,PC,Player Character,"<StartCheck>[Persuade]</Start> If you really want my help, you should show some trust by telling me what happened to you.","<StartCheck>[설득]</Start> 정말 도움을 원한다면, 무슨 일이 있었는지 말해서 신뢰를 보여줘.",m2q2jsetara,,[지능 보통],,,0,0
35473,PC,Player Character,"<StartCheck>[Persuade]</Start> You want help, you tell me what happen to you first.","<StartCheck>[설득]</Start> 도움 원하면, 먼저 무슨 일 있었는지 말해.",m2q2jsetara,,[지능 낮음],,,0,0
35474,PC,Player Character,Nothing. Nevermind.,아무것도. 됐어.,m2q2jsetara,,,,,0,0
35475,PC,Player Character,Where did you say the nymph lives again?,님프가 어디 산다고 했지?,m2q2jsetara,,[지능 보통],,,0,0
35476,PC,Player Character,I have the mirror right here.,거울 여기 있어.,m2q2jsetara,,nw_d2_j_fetch09,,,0,0
35477,PC,Player Character,Where you say nymph live?,님프 어디 산다고 했어?,m2q2jsetara,,[지능 낮음],,,0,0
35478,PC,Player Character,Me have you mirror here.,거울 여기 있어.,m2q2jsetara,,nw_d2_j_fetch10,,,0,0
35479,PC,Player Character,Goodbye.,안녕.,m2q2jsetara,,,,,0,0
35480,PC,Player Character,I want the gem and the information though.,보석이랑 정보 둘 다 원해.,m2q2jsetara,,[지능 보통],,,0,0
35481,PC,Player Character,Me want gem and information too.,나 보석이랑 정보 둘 다 원해.,m2q2jsetara,,[지능 낮음],,,0,0
35482,PC,Player Character,Uh... you're right. You are definitely striking to look at.,"어... 네 말이 맞아. 확실히 눈에 띄는 외모야.",m2q2jsetara,,[지능 보통],,,0,0
35483,PC,Player Character,But you don't look any different.,근데 달라진 게 없는데.,m2q2jsetara,,[지능 보통],,,0,0
35484,PC,Player Character,Uh... you right. Me no think you would look so... lovely.,"어... 네 말 맞아. 이렇게... 예쁠 줄 몰랐어.",m2q2jsetara,,[지능 낮음],,,0,0
35485,PC,Player Character,But you no look no different.,근데 똑같아 보이는데.,m2q2jsetara,,[지능 낮음],,,0,0
35486,PC,Player Character,How do I know that you really have any information about them?,드루이드들에 대해 정말 뭘 알고 있는지 어떻게 믿어?,m2q2jsetara,,[지능 보통],,,0,0
35487,PC,Player Character,I guess I need any information I can get. What do you need help with?,정보라면 뭐든 필요해. 뭘 도와주면 돼?,m2q2jsetara,,[지능 보통],,,0,0
35488,PC,Player Character,How me know you know stuff 'bout druids?,너 드루이드 진짜 아는 거 어떻게 믿어?,m2q2jsetara,,[지능 낮음],,,0,0
35489,PC,Player Character,Me need help to find them. What me help you with?,나 그들 찾는 데 도움 필요해. 뭐 도와줘?,m2q2jsetara,,[지능 낮음],,,0,0
35490,PC,Player Character,Why is the druid locked up in your house?,왜 드루이드가 네 집에 갇혀 있어?,m2q2jsetara,,[지능 보통],,,0,0
35491,PC,Player Character,Why druid be locked in you house?,왜 드루이드 네 집에 갇혀 있어?,m2q2jsetara,,[지능 낮음],,,0,0
64728,PC,Player Character [M2Q2J],Me look for gem you gots.,나 네가 가진 보석 찾아.,m2q2jsetara,,m2q2jsetarasc2,[M2Q2J],,0,0
64729,PC,Player Character [M2Q2J],I was sent here to collect a gem you have.,네가 가진 보석을 받으러 왔어.,m2q2jsetara,,m2q2jsetarasc1,[M2Q2J],,0,0
64730,PC,Player Character,If me has to. ,해야 하면.,m2q2jsetara,,[지능 낮음],,,0,0
64731,PC,Player Character,That's a distinct possibility.,충분히 그럴 수도 있지.,m2q2jsetara,,[지능 보통],,,0,0
64732,PC,Player Character,"No, me want you let me have it. ","아니, 나 그냥 줬으면 해.",m2q2jsetara,,[지능 낮음],,,0,0
64733,PC,Player Character,"No, I was just hoping to convince you to let me have it.","아니, 그냥 줬으면 하고 설득하려던 거야.",m2q2jsetara,,[지능 보통],,,0,0
64734,PC,Player Character,What me do to help?,나 뭐 도와줘?,m2q2jsetara,,[지능 낮음],,,0,0
64735,PC,Player Character,What can I do to help you?,어떻게 도와주면 돼?,m2q2jsetara,,[지능 보통],,,0,0
64736,PC,Player Character,What you give me if me help you? ,나 도와주면 뭐 줄 거야?,m2q2jsetara,,[지능 낮음],,,0,0
64737,PC,Player Character,What will you give me to get this mirror for you? ,거울 가져다주면 뭘 줄 건데?,m2q2jsetara,,[지능 보통],,,0,0
64738,PC,Player Character,"You keep yell at me, me bash you like servants. ",계속 나한테 소리 지르면 하인들처럼 때려.,m2q2jsetara,,[지능 낮음],,,0,0
64739,PC,Player Character,"If you keep yelling at me like that, I'll show you exactly what I did to your servants.","계속 그렇게 소리 지르면 네 하인들한테 한 짓 그대로 보여줄게.",m2q2jsetara,,[지능 보통],,,0,0
64740,PC,Player Character,"Me sorry, but you monsters... er, servants, them attack me first. ","미안한데, 네 괴물들... 아, 하인들이 먼저 공격했어.",m2q2jsetara,,[지능 낮음],,,0,0
64741,PC,Player Character,"I'm sorry, but your creatures, or servants as you call them, attacked me first.","미안하지만, 네가 하인이라 부르는 그 생명체들이 먼저 공격했어.",m2q2jsetara,,[지능 보통],,,0,0
