StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37024,PC,Player Character,Why do you call me Judge?,왜 저를 판사라고 부르시나요?,m2q3h_guardian,,[지능 보통],,,0,0
37025,PC,Player Character,<StartCheck>[Insight]</Start> Did you write the notes in those chests?,<StartCheck>[통찰]</Start> 그 상자 안에 있는 쪽지들을 당신이 쓴 건가요?,m2q3h_guardian,,[지능 보통],,,0,0
37026,PC,Player Character,Who are you?,당신은 누구신가요?,m2q3h_guardian,,[지능 보통],,,0,0
37027,PC,Player Character,What is this place? Who is Lord over this castle?,여기가 어디죠? 이 성의 주인은 누구입니까?,m2q3h_guardian,,[지능 보통],,,0,0
37028,PC,Player Character,"Why do you haunt this place, Spirit?","영령이시여, 왜 이곳에 머물고 계시나요?",m2q3h_guardian,,[지능 보통],,,0,0
37029,PC,Player Character,Why you call me Judge?,너 왜 나 판사 불러?,m2q3h_guardian,,[지능 낮음],,,0,0
37030,PC,Player Character,"Huh? What this place be? Who be Lord here?",어? 여기 뭐야? 영주 누구야?,m2q3h_guardian,,[지능 낮음],,,0,0
37031,PC,Player Character,"Why you haunt castle, ghostie?","왜 너 성에 붙어 있어, 유령아?",m2q3h_guardian,,[지능 낮음],,,0,0
37032,PC,Player Character,Hmph. Who you be?,흥. 너 누구야?,m2q3h_guardian,,[지능 낮음],,,0,0
37033,PC,Player Character,Tell me more... ,더 말씀해 주세요...,m2q3h_guardian,,[지능 보통],,,0,0
37034,PC,Player Character,"Get to the point, will you?",요점만 말씀해 주시겠어요?,m2q3h_guardian,,[지능 보통],,,0,0
37035,PC,Player Character,"Yuh? Ooh, you tell more... ","응? 오, 너 더 말해...",m2q3h_guardian,,[지능 낮음],,,0,0
37036,PC,Player Character,"Hmph. You have point, yuh? Get to it.","흥. 너 핵심 있어, 응? 빨리 말해.",m2q3h_guardian,,[지능 낮음],,,0,0
37037,PC,Player Character,Tell me more... ,더 말씀해 주세요...,m2q3h_guardian,,[지능 보통],,,0,0
37038,PC,Player Character,"Get to the point, will you?",요점만 말씀해 주시겠어요?,m2q3h_guardian,,[지능 보통],,,0,0
37039,PC,Player Character,"Yuh? Ooh, you tell more... ","응? 오, 너 더 말해...",m2q3h_guardian,,[지능 낮음],,,0,0
37040,PC,Player Character,"Hmph. You have point, yuh? Get to it.","흥. 너 핵심 있어, 응? 빨리 말해.",m2q3h_guardian,,[지능 낮음],,,0,0
37041,PC,Player Character,"I have some questions first, Spirit.","먼저 몇 가지 질문이 있습니다, 영령이시여.",m2q3h_guardian,,[지능 보통],,,0,0
37042,PC,Player Character,Very well. I shall return to you with the oaths.,알겠습니다. 서약을 가지고 돌아오겠습니다.,m2q3h_guardian,,[지능 보통],,,0,0
37043,PC,Player Character,"Uh, me have questions, yuh?","어, 나 질문 있어, 응?",m2q3h_guardian,,[지능 낮음],,,0,0
37044,PC,Player Character,"Yuh, okay. Me return with oaths.","응, 알았어. 나 서약 갖고 돌아올게.",m2q3h_guardian,,[지능 낮음],,,0,0
37045,PC,Player Character,I'm not your Judge and I'm *not* visiting your stupid towers!,난 당신의 판사가 아니고 그 어리석은 탑들에도 가지 않을 거예요!,m2q3h_guardian,,[지능 보통],,,0,0
37046,PC,Player Character,Hmph. This 'Judge' stuff is stupid. Me go now.,흥. 이 '판사' 소리 바보같아. 나 간다.,m2q3h_guardian,,[지능 낮음],,,0,0
37047,PC,Player Character,Quint's one of the accused? Didn't I see him earlier?,퀸트가 피고인 중 하나라고요? 제가 전에 그를 본 것 같은데요?,m2q3h_guardian,,[지능 보통],,,0,0
37048,PC,Player Character,What is this crime over which I stand in Judgment?,제가 심판해야 할 죄가 무엇입니까?,m2q3h_guardian,,[지능 보통],,,0,0
