StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37213,PC,Player Character,"Back to the grave, you undead beast!","무덤으로 돌아가라, 언데드 괴물아!",m2q3i_karlat,,[지능 보통],,,0,0
37214,PC,Player Character,Are you Karlat Jhareg?,당신이 칼랏 자렉인가요?,m2q3i_karlat,,[지능 보통],,,0,0
37215,PC,Player Character,Why is this tower so full of fire?,왜 이 탑은 불로 가득한 거죠?,m2q3i_karlat,,[지능 보통],,,0,0
37216,PC,Player Character,Why do you sound so confused?,왜 그렇게 혼란스러워 보이시죠?,m2q3i_karlat,,[지능 보통],,,0,0
37217,PC,Player Character,Be at peace. I am the Judge you seek.,안심하세요. 제가 당신이 찾는 심판관입니다.,m2q3i_karlat,,[지능 보통],,,0,0
37218,PC,Player Character,"You be Mister Karlat, yuh?","너 칼랏이야, 응?",m2q3i_karlat,,[지능 낮음],,,0,0
37219,PC,Player Character,Why you sound confused?,왜 혼란스러워?,m2q3i_karlat,,[지능 낮음],,,0,0
37220,PC,Player Character,"Yuh, me be da Judge-guy.","응, 나 심판관이야.",m2q3i_karlat,,[지능 낮음],,,0,0
37221,PC,Player Character,Why there so much fire here?,왜 여기 불 많아?,m2q3i_karlat,,[지능 낮음],,,0,0
37222,PC,Player Character,"Die, Mister Undead Beast! Die again!","죽어, 언데드! 다시 죽어!",m2q3i_karlat,,[지능 낮음],,,0,0
37223,PC,Player Character,Tell me more... ,더 말해주세요...,m2q3i_karlat,,[지능 보통],,,0,0
37224,PC,Player Character,Get to the point.,요점만 말하세요.,m2q3i_karlat,,[지능 보통],,,0,0
37225,PC,Player Character,"Yuh? Ooh, you keep talking... ","응? 오, 계속 말해...",m2q3i_karlat,,[지능 낮음],,,0,0
37226,PC,Player Character,You got point? Get to it.,요점 있어? 빨리 말해.,m2q3i_karlat,,[지능 낮음],,,0,0
37227,PC,Player Character,Tell me more... ,더 말해주세요...,m2q3i_karlat,,[지능 보통],,,0,0
37228,PC,Player Character,Get to the point.,요점만 말하세요.,m2q3i_karlat,,[지능 보통],,,0,0
37229,PC,Player Character,"Yuh? Ooh, you keep talking... ","응? 오, 계속 말해...",m2q3i_karlat,,[지능 낮음],,,0,0
37230,PC,Player Character,You got point? Get to it.,요점 있어? 빨리 말해.,m2q3i_karlat,,[지능 낮음],,,0,0
37231,PC,Player Character,Will you give that as a written oath?,그걸 서면 맹세로 해주시겠습니까?,m2q3i_karlat,,[지능 보통],,,0,0
37232,PC,Player Character [M2Q3C],I've spoken to Quint. He tells a different story.,퀸트와 얘기했습니다. 그는 다른 이야기를 하던데요.,m2q3i_karlat,,m2q3cs_karlat001,[M2Q3C],,0,0
37233,PC,Player Character [M2Q3I],This your journal?,이게 당신 일지인가요?,m2q3i_karlat,,m2q3i_karlatc2,[M2Q3I],,0,0
37234,PC,Player Character,I still have some questions.,아직 질문이 좀 있습니다.,m2q3i_karlat,,[지능 보통],,,0,0
37235,PC,Player Character,You gives that as written oath?,그거 서면 맹세로 해줘?,m2q3i_karlat,,[지능 낮음],,,0,0
