StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
38904,PC,Player Character,I'd rather kill you now!,차라리 지금 죽이겠어!,m2q5n17yunti,,[지능 보통],,,0,0
38905,PC,Player Character,"Ask me your riddle, then.",그럼 수수께끼를 내봐.,m2q5n17yunti,,[지능 보통],,,0,0
38906,PC,Player Character,"Nevermind, then. I'll go elsewhere.",신경 쓰지 마. 다른 곳으로 가겠어.,m2q5n17yunti,,[지능 보통],,,0,0
38907,PC,Player Character,Could you repeat that?,다시 말해줄 수 있어?,m2q5n17yunti,,[지능 보통],,,0,0
38908,PC,Player Character,Err... I'll get back to you on that.,어... 나중에 다시 올게.,m2q5n17yunti,,[지능 보통],,,0,0
38909,PC,Player Character,15,15,m2q5n17yunti,,,,,0,0
38910,PC,Player Character,30,30,m2q5n17yunti,,,,,0,0
38911,PC,Player Character,45,45,m2q5n17yunti,,,,,0,0
38912,PC,Player Character,20,20,m2q5n17yunti,,[지능 낮음],,,0,0
38913,PC,Player Character,40,40,m2q5n17yunti,,[지능 낮음],,,0,0
38914,PC,Player Character,Let's fight! I'm tired of riddles!,싸우자! 수수께끼는 지겨워!,m2q5n17yunti,,[지능 보통],,,0,0
38915,PC,Player Character,Ask me your riddle.,수수께끼를 내봐.,m2q5n17yunti,,[지능 보통],,,0,0
38916,PC,Player Character,Nevermind.,신경 쓰지 마.,m2q5n17yunti,,[지능 보통],,,0,0
38917,PC,Player Character,Whoa... say all of that again.,와... 전부 다시 말해봐.,m2q5n17yunti,,[지능 보통],,,0,0
38918,PC,Player Character,Err... nevermind.,어... 됐어.,m2q5n17yunti,,[지능 보통],,,0,0
38919,PC,Player Character,<StartCheck>[Persuade]</Start> Would you perhaps give me a hint?,<StartCheck>[설득]</Start> 혹시 힌트를 줄 수 있나?,m2q5n17yunti,,[지능 보통],,,0,0
38920,PC,Player Character,"12 trinkets, 5 girls.","장신구 12개, 소녀 5명.",m2q5n17yunti,,,,,0,0
38921,PC,Player Character,"10 trinkets, 6 girls.","장신구 10개, 소녀 6명.",m2q5n17yunti,,,,,0,0
38922,PC,Player Character,"14 trinkets, 5 girls.","장신구 14개, 소녀 5명.",m2q5n17yunti,,,,,0,0
38923,PC,Player Character,"9 trinkets, 4 girls.","장신구 9개, 소녀 4명.",m2q5n17yunti,,[지능 낮음],,,0,0
38924,PC,Player Character,"8 trinkets, 5 girls.","장신구 8개, 소녀 5명.",m2q5n17yunti,,[지능 낮음],,,0,0
38925,PC,Player Character,Me not like riddles. Me like fighting!,나 수수께끼 싫어. 나 싸우기 좋아!,m2q5n17yunti,,[지능 낮음],,,0,0
38926,PC,Player Character,Me wants to hear riddle.,나 수수께끼 듣고 싶어.,m2q5n17yunti,,[지능 낮음],,,0,0
38927,PC,Player Character,Um... me not care for prize.,음... 나 상품 필요 없어.,m2q5n17yunti,,[지능 낮음],,,0,0
38928,PC,Player Character,"Oh, was that riddle? Me not listening.","오, 그게 수수께끼였어? 나 안 들었어.",m2q5n17yunti,,[지능 낮음],,,0,0
38929,PC,Player Character,<StartCheck>[Persuade]</Start> Me almost get it but me need hint.,<StartCheck>[설득]</Start> 나 거의 알겠는데 힌트 필요해.,m2q5n17yunti,,[지능 낮음],,,0,0
38930,PC,Player Character,Me head hurts! Me change mind! No riddles!,나 머리 아파! 나 생각 바꿨어! 수수께끼 싫어!,m2q5n17yunti,,[지능 낮음],,,0,0
38931,PC,Player Character,Let's fight! Haha!,싸우자! 하하!,m2q5n17yunti,,[지능 낮음],,,0,0
38932,PC,Player Character,Is riddle tough? You lets me hear it?,수수께끼 어려워? 들려줄래?,m2q5n17yunti,,[지능 낮음],,,0,0
38933,PC,Player Character,Me not like talking. Me go now.,나 말하기 싫어. 나 가.,m2q5n17yunti,,[지능 낮음],,,0,0
38934,PC,Player Character,Me not ready to start thinking yet. Say again?,나 아직 생각할 준비 안 됐어. 다시 말해줘?,m2q5n17yunti,,[지능 낮음],,,0,0
38935,PC,Player Character,"Me think for a while. Come back, answer later.",나 좀 생각할게. 나중에 와서 대답할게.,m2q5n17yunti,,[지능 낮음],,,0,0
