StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
60443,PC,Player Character,Me got to go now.,나 이제 가야 해.,m3q00sold,,[지능 낮음],,,0,0
60444,PC,Player Character,<StartCheck>[Lie]</Start> You room and board cost gone up. You got to give me 50 gold for pay for it.,<StartCheck>[거짓말]</Start> 너 숙식비 올랐어. 너 나한테 금화 50개 줘야 해.,m3q00sold,,[지능 낮음],,,0,0
60445,PC,Player Character,Me want ask you stuff.,나 너한테 물어볼 거 있어.,m3q00sold,,[지능 낮음],,,0,0
60446,PC,Player Character,Me on secret mission. Me can't talk 'bout it.,나 비밀 임무 중이야. 나 그거 얘기 못 해.,m3q00sold,,[지능 낮음],,,0,0
60447,PC,Player Character,Gend got me looking for Power Words.,겐드가 나한테 권능의 언령 찾으라고 했어.,m3q00sold,,[지능 낮음],,,0,0
60448,PC,Player Character,I have to go now.,이제 가야겠어.,m3q00sold,,[지능 보통],,,0,0
60449,PC,Player Character,<StartCheck>[Lie]</Start> Room and board costs for all the soldiers have gone up. I'm here to collect 50 gold pieces from you.,<StartCheck>[거짓말]</Start> 모든 병사의 숙식비가 올랐어. 당신한테서 금화 50개 받으러 왔어요.,m3q00sold,,[지능 보통],,,0,0
60450,PC,Player Character,It no joke. You give me 50 gold or me gonna get you demoted!,농담 아니야. 너 나한테 금화 50개 주든지 아니면 나 너 강등시킬 거야!,m3q00sold,,[지능 낮음],,,0,0
60451,PC,Player Character,"No joke. Give me 50 gold or I'll get you demoted. I can do it, you know.",농담 아니야. 금화 50개 주든지 아니면 강등시킬 거야. 내가 할 수 있어.,m3q00sold,,[지능 보통],,,0,0
60452,PC,Player Character,"Okay, me give you a break. You not have to give me gold.","좋아, 나 너 봐줄게. 너 금화 안 내도 돼.",m3q00sold,,[지능 낮음],,,0,0
60453,PC,Player Character,"Okay, I'll give you a break. You don't have to contribute.","좋아, 봐줄게. 안 내도 돼.",m3q00sold,,[지능 보통],,,0,0
60454,PC,Player Character,Everyone got do their part or Luskan is gonna win the war. Then what happen to your family?,"모두 자기 몫을 해야 해, 아니면 러스칸이 전쟁 이길 거야. 그럼 너 가족은 어떻게 돼?",m3q00sold,,[지능 낮음],,,0,0
60455,PC,Player Character,"Hey, everybody's got to do their part or Luskan will defeat us. Then what would happen to your family?","이봐요, 모두 자기 몫을 해야 해요, 아니면 러스칸이 우리를 무너뜨릴 거예요. 그럼 당신 가족은 어떻게 되겠어요?",m3q00sold,,[지능 보통],,,0,0
60456,PC,Player Character,I want to ask you some questions.,질문 좀 하고 싶어.,m3q00sold,,[지능 보통],,,0,0
60457,PC,Player Character,What you think about them Uggarts that help you 'gainst Luskan?,너 러스칸 상대로 도와주는 우스가르트 어떻게 생각해?,m3q00sold,,[지능 낮음],,,0,0
60458,PC,Player Character,You know anything 'bout the places 'round here.,너 여기 주변 장소에 대해 뭐 알아?,m3q00sold,,[지능 낮음],,,0,0
60459,PC,Player Character,Me need buy stuff.,나 물건 사야 해.,m3q00sold,,[지능 낮음],,,0,0
60460,PC,Player Character,What do you think of our Uthgardt allies?,우리 우스가르트 동맹에 대해 어떻게 생각해?,m3q00sold,,[지능 보통],,,0,0
60461,PC,Player Character,Do you know anything about the surrounding area?,주변 지역에 대해 뭘 알아?,m3q00sold,,[지능 보통],,,0,0
60462,PC,Player Character,Where can I buy some equipment?,장비를 어디서 살 수 있어?,m3q00sold,,[지능 보통],,,0,0
60463,PC,Player Character,I can't talk about the mission I'm on.,내가 맡은 임무에 대해서는 말할 수 없어.,m3q00sold,,[지능 보통],,,0,0
60464,PC,Player Character,Aarin Gend has me searching for the Words of Power.,아린 겐드가 권능의 언령을 찾으라고 보냈어.,m3q00sold,,[지능 보통],,,0,0
