StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
45134,PC,Player Character,Who are you?,당신은 누구죠?,m3q02g08loka,,[지능 보통],,,0,0
45135,PC,Player Character,Who you be?,너 누구야?,m3q02g08loka,,[지능 낮음],,,0,0
45136,PC,Player Character,I want to ask you some questions.,질문 좀 하고 싶은데요.,m3q02g08loka,,[지능 보통],,,0,0
45137,PC,Player Character,Me want ask question.,나 질문 하고 싶어.,m3q02g08loka,,[지능 낮음],,,0,0
45138,PC,Player Character,Why are you helping me?,왜 저를 도와주시는 거죠?,m3q02g08loka,,[지능 보통],,,0,0
45139,PC,Player Character,Why you help me?,너 왜 나 도와줘?,m3q02g08loka,,[지능 낮음],,,0,0
45140,PC,Player Character,I'll be going now.,이제 가볼게요.,m3q02g08loka,,[지능 보통],,,0,0
45141,PC,Player Character,Me go now.,나 가.,m3q02g08loka,,[지능 낮음],,,0,0
45142,PC,Player Character,"I'm sorry, I don't understand you.",죄송하지만 무슨 말씀이신지 모르겠어요.,m3q02g08loka,,[지능 보통],,,0,0
45143,PC,Player Character,Me no understand.,나 이해 못 해.,m3q02g08loka,,[지능 낮음],,,0,0
45144,PC,Player Character,What are you trying to say?,무슨 말씀을 하려는 건가요?,m3q02g08loka,,[지능 보통],,,0,0
45145,PC,Player Character,Huh?,응?,m3q02g08loka,,[지능 낮음],,,0,0
45146,PC,Player Character,I'll be going now.,이제 가볼게요.,m3q02g08loka,,[지능 보통],,,0,0
45147,PC,Player Character,Me go now.,나 가.,m3q02g08loka,,[지능 낮음],,,0,0
45148,PC,Player Character,I am no escaped slave! I am a visitor from the distant future.,저는 탈출한 노예가 아닙니다! 저는 먼 미래에서 온 방문자예요.,m3q02g08loka,,[지능 보통],,,0,0
45149,PC,Player Character,Me not slave. Me come time travel from future!,나 노예 아니야! 나 미래에서 시간 여행 왔어!,m3q02g08loka,,[지능 낮음],,,0,0
45150,PC,Player Character,Me not crazy! Me am from future!,나 미친 거 아니야! 나 미래에서 왔어!,m3q02g08loka,,[지능 낮음],,,0,0
45151,PC,Player Character,I'm not crazy! I really am from the future.,저는 미치지 않았어요! 정말 미래에서 왔습니다.,m3q02g08loka,,[지능 보통],,,0,0
45152,PC,Player Character,What can you tell me about the Creator Race?,창조자 종족에 대해 뭘 말해주실 수 있나요?,m3q02g08loka,,[지능 보통],,,0,0
45153,PC,Player Character,What you know 'bout Creator Race?,창조자 종족 뭐 알아?,m3q02g08loka,,[지능 낮음],,,0,0
45154,PC,Player Character,What is this place you are building?,여기 무엇을 짓고 있는 건가요?,m3q02g08loka,,[지능 보통],,,0,0
45155,PC,Player Character,What you build here?,너 여기 뭐 만들어?,m3q02g08loka,,[지능 낮음],,,0,0
45156,PC,Player Character,I am searching for one of the Words of Power.,저는 권능의 언령 중 하나를 찾고 있습니다.,m3q02g08loka,,[지능 보통],,,0,0
45157,PC,Player Character,Me look for Power Word.,나 권능의 언령 찾고 있어.,m3q02g08loka,,[지능 낮음],,,0,0
45158,PC,Player Character,Can you tell me anything else about this vault?,이 금고에 대해 더 말해주실 수 있나요?,m3q02g08loka,,[지능 보통],,,0,0
45159,PC,Player Character,You know more 'bout vault?,금고 더 알아?,m3q02g08loka,,[지능 낮음],,,0,0
45160,PC,Player Character,What was that you said about magical wards?,마법 방호에 대해 뭐라고 하셨죠?,m3q02g08loka,,[지능 보통],,,0,0
45161,PC,Player Character,What you say 'bout magic wards?,마법 방호 뭐라고 했어?,m3q02g08loka,,[지능 낮음],,,0,0
45162,PC,Player Character,Do you know some way I can get into the vault?,금고 안으로 들어갈 방법을 아시나요?,m3q02g08loka,,[지능 보통],,,0,0
45163,PC,Player Character,You know how me get into vault?,금고 안으로 어떻게 들어가는지 알아?,m3q02g08loka,,[지능 낮음],,,0,0
45164,PC,Player Character,Thank you for your help. I will be going now.,도움 감사합니다. 이제 가볼게요.,m3q02g08loka,,[지능 보통],,,0,0
45165,PC,Player Character,Me thank you for help. Me go now.,도와줘서 고마워. 나 가.,m3q02g08loka,,[지능 낮음],,,0,0
