StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
47790,PC,Player Character,So you think if Morag awakes she'll turn the North into a tropical jungle?,그러니까 모라그가 깨어나면 북부를 열대 정글로 바꿀 거라고?,m4q01a04haed,,[지능 보통],,,0,0
47791,PC,Player Character,Morag make winter go away? She got big magic!,모라그가 겨울 없애? 큰 마법 가졌어!,m4q01a04haed,,[지능 낮음],,,0,0
47792,PC,Player Character,Morag was foolish to trust her fate to a group of slaves.,모라그도 자기 운명을 노예 무리에게 맡기다니 어리석었군.,m4q01a04haed,,[지능 보통],,,0,0
47793,PC,Player Character,"Morag be stupid, hoping slaves wake her up!","모라그 바보야, 노예들이 깨워줄 거라고 생각하다니!",m4q01a04haed,,[지능 낮음],,,0,0
47794,PC,Player Character,How did Maugrim become involved in all this?,모그림은 어떻게 이 일에 관여하게 됐지?,m4q01a04haed,,[지능 보통],,,0,0
47795,PC,Player Character,How Maugrim get in this stuff?,모그림 어떻게 이 일에 끼어들었어?,m4q01a04haed,,[지능 낮음],,,0,0
47796,PC,Player Character,Why would she imprison herself inside this Source Stone?,왜 자기 자신을 이 근원석 안에 가둔 거지?,m4q01a04haed,,[지능 보통],,,0,0
47797,PC,Player Character,Why Morag go inside stone?,모라그 왜 돌 안에 들어가?,m4q01a04haed,,[지능 낮음],,,0,0
47798,PC,Player Character,But the Words of Power are safe here in Castle Never!,하지만 권능의 언령은 네버 성에서 안전하잖아!,m4q01a04haed,,[지능 보통],,,0,0
47799,PC,Player Character,What are you doing in this prison?,이 감옥에서 뭘 하고 있는 거야?,m4q01a04haed,,[지능 보통],,,0,0
47800,PC,Player Character,Who are you again?,다시 말해봐. 넌 누구야?,m4q01a04haed,,[지능 보통],,,0,0
47801,PC,Player Character,Morag? Source Stone? Old Ones? I'm lost.,모라그? 근원석? 태고의 존재? 무슨 말인지 모르겠어.,m4q01a04haed,,[지능 보통],,,0,0
