StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
48545,PC,Player Character,"Neverwinter shall not fall to your army, Aribeth!","네버윈터는 네 군대에게 무너지지 않아, 아리베스!",m4q01b25arib,,[지능 보통],,,0,0
48546,PC,Player Character,If you surrender I will let you live.,항복하면 살려주지.,m4q01b25arib,,[지능 보통],,,0,0
48547,PC,Player Character,"The time for words is past, Aribeth. Defend yourself!","말로 할 때는 지났어, 아리베스. 어디 한번 해봐!",m4q01b25arib,,[지능 보통],,,0,0
48548,PC,Player Character,"Time to die, traitor!","죽을 시간이야, 배신자!",m4q01b25arib,,[지능 보통],,,0,0
48549,PC,Player Character,Neverwinter not give up! You army not going to win!,네버윈터 안 져! 너 군대 못 이겨!,m4q01b25arib,,[지능 낮음],,,0,0
48550,PC,Player Character,"If you give up now, me let you live.","네가 지금 포기하면, 나 살려줄게.",m4q01b25arib,,[지능 낮음],,,0,0
48551,PC,Player Character,Me not got time for you words. Me want fight!,나 너 말 들을 시간 없어. 나 싸우고 싶어!,m4q01b25arib,,[지능 낮음],,,0,0
48552,PC,Player Character,You traitor! You die now!,너 배신자! 너 지금 죽어!,m4q01b25arib,,[지능 낮음],,,0,0
48553,PC,Player Character,Is that why you kill the innocent of Neverwinter?,그게 네가 네버윈터의 무고한 사람들을 죽인 이유야?,m4q01b25arib,,[지능 보통],,,0,0
48554,PC,Player Character,That be why you kill innocent mans and womans of Neverwinter?,그래서 너 네버윈터 무고한 사람들 죽인 거야?,m4q01b25arib,,[지능 낮음],,,0,0
48555,PC,Player Character,Is that why you destroyed Neverwinter? Out of a perverted sense of justice?,그게 네가 네버윈터를 파괴한 이유야? 왜곡된 정의감 때문에?,m4q01b25arib,,[지능 보통],,,0,0
48556,PC,Player Character,That be why you destroy Neverwinter? You think you bring justice?,그래서 너 네버윈터 파괴했어? 너 정의 가져온다고 생각해?,m4q01b25arib,,[지능 낮음],,,0,0
48557,PC,Player Character,"Morag is just using you, Aribeth! She'll kill you as soon as you've served her purpose.","모라그는 널 이용만 하고 있어, 아리베스! 네 쓸모가 다하는 순간 죽일 거야.",m4q01b25arib,,[지능 보통],,,0,0
48558,PC,Player Character,"Morag just use you, Aribeth! She kill you when she done with you.","모라그 그냥 너 이용해, 아리베스! 너 다 쓰면 죽여.",m4q01b25arib,,[지능 낮음],,,0,0
48559,PC,Player Character,I would never bow down to the Queen of the Old Ones!,나는 절대 태고의 존재들의 여왕에게 무릎 꿇지 않아!,m4q01b25arib,,[지능 보통],,,0,0
48560,PC,Player Character,If she had I wouldn't quit in the middle of a fight!,그녀가 날 선택했다 해도 난 싸움 도중에 포기하지 않았을 거야!,m4q01b25arib,,[지능 보통],,,0,0
48561,PC,Player Character,Answer my questions and I might let you live!,내 질문에 답하면 살려줄지도 몰라!,m4q01b25arib,,[지능 보통],,,0,0
48562,PC,Player Character,Put up your sword and die with honor!,검을 들고 명예롭게 죽어!,m4q01b25arib,,[지능 보통],,,0,0
48563,PC,Player Character,"Die, traitor! Die!","죽어, 배신자! 죽어!",m4q01b25arib,,,,,0,0
48564,PC,Player Character,Me never bow down to lizard girly Queen!,나 도마뱀 여자 여왕한테 절대 안 무릎 꿇어!,m4q01b25arib,,[지능 낮음],,,0,0
48565,PC,Player Character,"If she pick me, at least me not quit in middle of fight!","그녀가 나 골랐어도, 적어도 나 싸움 중간에 안 그만뒀어!",m4q01b25arib,,[지능 낮음],,,0,0
48566,PC,Player Character,You keep fighting! Die with honor!,너 계속 싸워! 명예롭게 죽어!,m4q01b25arib,,[지능 낮음],,,0,0
48567,PC,Player Character,Answer me question and me let you live.,나 질문 답하면 나 너 살려줘.,m4q01b25arib,,[지능 낮음],,,0,0
48568,PC,Player Character,I still believe Neverwinter can be saved.,아직도 네버윈터는 구할 수 있다고 믿어.,m4q01b25arib,,[지능 보통],,,0,0
48569,PC,Player Character,There is still hope.,아직 희망이 있어.,m4q01b25arib,,[지능 보통],,,0,0
48570,PC,Player Character,"I am the one who will ask the questions, Aribeth.","질문하는 건 나야, 아리베스.",m4q01b25arib,,[지능 보통],,,0,0
48571,PC,Player Character,Me still think Neverwinter can be saved.,나 아직도 네버윈터 구할 수 있다고 생각해.,m4q01b25arib,,[지능 낮음],,,0,0
48572,PC,Player Character,Me the one who ask questions here!,여기서 질문하는 거 나야!,m4q01b25arib,,[지능 낮음],,,0,0
48573,PC,Player Character,There still be hope.,아직 희망 있어.,m4q01b25arib,,[지능 낮음],,,0,0
48574,PC,Player Character,Where are Maugrim and the Word of Power?,모그림과 권능의 언령은 어디 있어?,m4q01b25arib,,[지능 보통],,,0,0
48575,PC,Player Character,Tell me about Morag.,모라그에 대해 말해줘.,m4q01b25arib,,[지능 보통],,,0,0
48576,PC,Player Character,"How did you come to this, Aribeth? Surely there is more to it than Fenthick's death.","어떻게 이렇게 됐어, 아리베스? 분명 펜딕의 죽음보다 더 큰 이유가 있겠지.",m4q01b25arib,,[지능 보통],,,0,0
48577,PC,Player Character,Where be Maugrim and Power Word?,모그림이랑 권능의 언령 어디 있어?,m4q01b25arib,,[지능 낮음],,,0,0
48578,PC,Player Character,Me want know more 'bout Morag!,나 모라그 더 알고 싶어!,m4q01b25arib,,[지능 낮음],,,0,0
48579,PC,Player Character,"How you get like this, Aribeth? It got be more than just 'cause of Fenthick.","어떻게 이렇게 됐어, 아리베스? 그냥 펜딕 때문만은 아닐 거야.",m4q01b25arib,,[지능 낮음],,,0,0
48580,PC,Player Character,I cannot let you live after what you have done.,네가 저지른 일 때문에 널 살려둘 순 없어.,m4q01b25arib,,[지능 보통],,,0,0
48581,PC,Player Character,Me cannot let you live after what you done.,나 너 한 짓 있어서 살려둘 수 없어.,m4q01b25arib,,[지능 낮음],,,0,0
48582,PC,Player Character,I want to ask you some questions.,몇 가지 물어보고 싶어.,m4q01b25arib,,[지능 보통],,,0,0
48583,PC,Player Character,Me want ask you stuff.,나 너한테 물어볼 거 있어.,m4q01b25arib,,[지능 낮음],,,0,0
48584,PC,Player Character,The only thing inevitable is your death!,피할 수 없는 건 네 죽음뿐이야!,m4q01b25arib,,[지능 보통],,,0,0
48585,PC,Player Character,Me sick of you words! Me kill you now!,나 너 말 지겨워! 나 지금 죽여!,m4q01b25arib,,[지능 낮음],,,0,0
48586,PC,Player Character,It sounds like you're trying to justify what you did.,네가 한 일을 정당화하려는 것처럼 들리는데.,m4q01b25arib,,[지능 보통],,,0,0
48587,PC,Player Character,You were angry and you sought revenge. You acted like a child!,넌 화가 나서 복수를 추구했어. 어린애처럼 굴었다고!,m4q01b25arib,,[지능 보통],,,0,0
48588,PC,Player Character,Sound like you try to make excuse for what you done. ,너 한 짓 변명하려는 것 같아.,m4q01b25arib,,[지능 낮음],,,0,0
48589,PC,Player Character,You mad and you want get even. You sound like spoiled child!,너 화나서 복수하고 싶었어. 너 버릇없는 애처럼 들려!,m4q01b25arib,,[지능 낮음],,,0,0
48590,PC,Player Character,You're right - Neverwinter brought this upon itself.,네 말이 맞아 - 네버윈터가 스스로 자초한 거야.,m4q01b25arib,,[지능 보통],,,0,0
48591,PC,Player Character,You right - Neverwinter bring this on itself.,너 맞아 - 네버윈터가 스스로 한 거야.,m4q01b25arib,,[지능 낮음],,,0,0
48592,PC,Player Character,"It is not too late, Aribeth. There is still a chance to make things right.","아직 늦지 않았어, 아리베스. 바로잡을 기회가 아직 있어.",m4q01b25arib,,[지능 보통],,,0,0
48593,PC,Player Character,"It not be too late yet, Aribeth. You still got chance for make stuff right.","아직 안 늦었어, 아리베스. 너 아직 바로잡을 기회 있어.",m4q01b25arib,,[지능 낮음],,,0,0
48594,PC,Player Character,"You can never make up for the evil you have done, Aribeth.","네가 저지른 악행은 결코 되돌릴 수 없어, 아리베스.",m4q01b25arib,,[지능 보통],,,0,0
48595,PC,Player Character,You bring lots of evil to Neverwinter. You never make up for that.,너 네버윈터에 많은 악 가져왔어. 너 절대 그거 못돌려.,m4q01b25arib,,[지능 낮음],,,0,0
48596,PC,Player Character,Your knowledge of the Luskan forces could save hundreds of lives.,러스칸 군대에 대한 네 정보로 수백 명의 목숨을 구할 수 있어.,m4q01b25arib,,[지능 보통],,,0,0
48597,PC,Player Character,You know stuff 'bout Luskan army. It could save lots of lives.,너 러스칸 군대 거 알아. 그거 많은 목숨 구할 수 있어.,m4q01b25arib,,[지능 낮음],,,0,0
48598,PC,Player Character,"It's too dangerous to let you live. You must die, Aribeth!","널 살려두는 건 너무 위험해. 넌 죽어야 해, 아리베스!",m4q01b25arib,,[지능 보통],,,0,0
