StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
91746,PC,Player Character,"""Am I supposed to know you?""","""내가 널 알아야 해?""",pre_deekin,q2a_deekin05,,,,0,0
91747,PC,Player Character,"""Nope, don't remember a thing.""","""아니, 기억 안 나는데.""",pre_deekin,,,,,0,0
91748,PC,Player Character,"""Aren't you supposed to be dead?""","""죽은 거 아니었어?""",pre_deekin,q2a_deekin04,,,,0,0
91749,PC,Player Character,"""Hoping, more like.""","""기대했다는 게 더 맞겠네.""",pre_deekin,q2a_deekin03,,,,0,0
91750,PC,Player Character,"""I do seem to recall you writing a book.""","""책을 쓴 건 기억나는 것 같아.""",pre_deekin,,,,,0,0
91751,PC,Player Character,"""Well, the last time I saw you you were dead.""","""음, 마지막으로 봤을 때 죽어 있었는데.""",pre_deekin,,,,,0,0
91752,PC,Player Character,"""Yes, but who raised you?""","""그래, 그런데 누가 되살렸어?""",pre_deekin,,,,,0,0
91753,PC,Player Character,"""No, I --- never mind.""","""아니, 난 --- 됐어.""",pre_deekin,,,,,0,0
91754,PC,Player Character,"""Not exactly, no.""","""정확히 그렇진 않은데.""",pre_deekin,q2a_deekin03,,,,0,0
91755,PC,Player Character,"""Of course I'm happy to see you!""","""당연히 만나서 반가워!""",pre_deekin,,,,,0,0
91756,PC,Player Character,"""To be honest, I barely remember you.""","""솔직히 말하면, 거의 기억이 안 나는데.""",pre_deekin,q2a_deekin02,,,,0,0
91757,PC,Player Character,"*groan* ""Not you again.""","*신음* ""너 또 왔구나.""",pre_deekin,q2a_deekin03,,,,0,0
91758,PC,Player Character,"""Deekin? As in that kobold bard from near Hilltop?""","""디킨? 힐탑 근처에 있던 그 코볼트 음유시인?""",pre_deekin,q2a_deekin02,,,,0,0
91759,PC,Player Character,"""I've been trying hard to forget.""","""열심히 잊으려고 했는데.""",pre_deekin,,,,,0,0
91760,PC,Player Character,"""Well, it *has* been quite a long time.""","""음, *정말* 오래되긴 했지.""",pre_deekin,,,,,0,0
91761,PC,Player Character,"""Deekin! I haven't seen you for ages!""","""디킨! 오랜만이야!""",pre_deekin,q2a_deekin01,,,,0,0
91762,PC,Player Character,"""A famous kobold bard? You're kidding, right?""","""유명한 코볼트 음유시인? 농담이지?""",pre_deekin,,q2a_deekin06,,,0,0
91763,PC,Player Character,"""I have a copy of that book, actually.""","""사실 그 책 한 권 있어.""",pre_deekin,,,,,0,0
91764,PC,Player Character,"""So has it been everything you hoped, Deekin?""","""기대했던 대로 됐어, 디킨?""",pre_deekin,,,,,0,0
91765,PC,Player Character,"""Congratulations, Deekin. I'm happy for you.""","""축하해, 디킨. 기뻐.""",pre_deekin,,,,,0,0
91766,PC,Player Character,"""I hated it! What gave you the right to publish anything about me?""","""싫었어! 무슨 권리로 나에 대한 걸 출판한 거야?""",pre_deekin,,,,,0,0
91767,PC,Player Character,"""I couldn't care less about your new book.""","""새 책에는 관심 없어.""",pre_deekin,q2a_deekin03,,,,0,0
91768,PC,Player Character,"""I should go.""","""이제 가봐야겠어.""",pre_deekin,,,,,0,0
91769,PC,Player Character,"""How about we join forces?""","""함께하는 건 어때?""",pre_deekin,,,,,0,0
91770,PC,Player Character,"""I don't think this is any place for a kobold.""","""여긴 코볼트가 있을 곳이 아닌 것 같은데.""",pre_deekin,,q2a_deekin06,,,0,0
91771,PC,Player Character,"""So you came here expecting to go into Undermountain? By yourself?""","""그래서 언더마운틴에 들어갈 생각으로 여기 온 거야? 혼자서?""",pre_deekin,,,,,0,0
91772,PC,Player Character,"""What do you know about the situation here, exactly?""","""정확히 여기 상황에 대해 뭘 알고 있어?""",pre_deekin,,,,,0,0
91773,PC,Player Character,"""You know things about Undermountain?""","""언더마운틴에 대해 아는 게 있어?""",pre_deekin,,,,,0,0
91774,PC,Player Character,"""That's pretty smart.""","""꽤 똑똑하네.""",pre_deekin,,,,,0,0
91775,PC,Player Character,"""Is that why you're here in Waterdeep?""","""그래서 워터딥에 온 거야?""",pre_deekin,,,,,0,0
91776,PC,Player Character,"""Is that one about me, as well?""","""그것도 나에 대한 거야?""",pre_deekin,,,,,0,0
91777,PC,Player Character,"""I'm sure it will be suitably epic.""","""분명 적절히 장대할 거야.""",pre_deekin,,,,,0,0
91778,PC,Player Character,"""It's about my first adventure. What's not to like?""","""내 첫 모험에 대한 건데. 싫을 게 뭐가 있겠어?""",pre_deekin,,,,,0,0
91779,PC,Player Character,"""It was better than this book I read about the plague in Neverwinter.""","""네버윈터의 역병에 대해 읽은 책보다는 나았어.""",pre_deekin,,,,,0,0
91780,PC,Player Character,"""It started off good but got rushed towards the end.""","""처음엔 좋았는데 끝으로 갈수록 급하게 쓴 것 같더라.""",pre_deekin,,,,,0,0
91781,PC,Player Character,"""It was a bit shorter than I expected.""","""예상했던 것보다 좀 짧더라.""",pre_deekin,,,,,0,0
91782,PC,Player Character,"""Forget it. I don't need your help.""","""됐어. 도움 필요 없어.""",pre_deekin,,,,,0,0
91783,PC,Player Character,"""Sure, I could use your help. Join up with me.""","""좋아, 도움이 필요하긴 해. 합류해.""",pre_deekin,,,,,0,0
91784,PC,Player Character,"""You can join me... but you do what I say, is that clear?""","""합류해도 되는데... 내 말을 들어야 해, 알겠지?""",pre_deekin,,,,,0,0
91785,PC,Player Character,"""How could you be of help, exactly?""","""정확히 어떻게 도움이 될 수 있어?""",pre_deekin,,,,,0,0
