StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
92632,PC,Player Character,"""Who are you?""","""넌 누구야?""",pre_tomi,,,,,0,0
92633,PC,Player Character,"""Durnan called for heroes. I'm here to do the right thing.""","""더난이 영웅을 불렀어. 올바른 일을 하러 왔지.""",pre_tomi,,nw_d2_notevil,,,0,0
92634,PC,Player Character,"""I'd like that.""","""그러면 좋겠네.""",pre_tomi,,,,,0,0
92635,PC,Player Character,"""I should go.""","""이제 가야겠어.""",pre_tomi,,,,,0,0
92636,PC,Player Character,"""Can I ask you some questions?""","""질문 좀 해도 될까?""",pre_tomi,,,,,0,0
92637,PC,Player Character,"""Where do I find Durnan?""","""더난은 어디서 찾을 수 있어?""",pre_tomi,,,,,0,0
92638,PC,Player Character,"""Do you know anything about what's going on in Waterdeep?""","""워터딥에서 무슨 일이 벌어지는지 아는 게 있어?""",pre_tomi,,,,,0,0
92639,PC,Player Character,"""Tell me about these friends of yours.""","""네 친구들에 대해 말해줘.""",pre_tomi,,,,,0,0
92640,PC,Player Character,"""Why don't you travel with me, instead?""","""대신 나와 함께 다니지 그래?""",pre_tomi,,,,,0,0
92641,PC,Player Character,"""Tell me about yourself.""","""네 자신에 대해 말해줘.""",pre_tomi,,,,,0,0
92642,PC,Player Character,"""What is this reward again?""","""보상이 뭐라고?""",pre_tomi,,,,,0,0
92643,PC,Player Character,"""What do you know about Undermountain?""","""언더마운틴에 대해 뭘 알아?""",pre_tomi,,,,,0,0
92644,PC,Player Character,"""I have my own companions to worry about.""","""내가 걱정할 동료들이 이미 있어.""",pre_tomi,,nw_d2_party2+,,,0,0
92645,PC,Player Character,"""Get lost. I don't need any hangers-on.""","""꺼져. 얹혀 가려는 녀석은 필요 없어.""",pre_tomi,,,,,0,0
92646,PC,Player Character,"""I work better on my own.""","""혼자 일하는 게 더 나아.""",pre_tomi,,,,,0,0
92647,PC,Player Character,"""If there's a chance to kill something, I'll always take it.""","""뭔가를 죽일 기회가 있다면 항상 잡지.""",pre_tomi,,nw_d2_notgood,,,0,0
92648,PC,Player Character,"""If it ever becomes your business, I'll let you know.""","""네 일이 되면 그때 알려줄게.""",pre_tomi,,,,,0,0
92649,PC,Player Character,"""To be honest, I don't really know why I'm here.""","""솔직히 말하면, 내가 왜 여기 있는지 잘 모르겠어.""",pre_tomi,,,,,0,0
92650,PC,Player Character,"""I care what happens to Waterdeep, even if you don't.""","""난 워터딥에 무슨 일이 일어나는지 신경 쓰여, 네가 안 그러더라도.""",pre_tomi,,,,,0,0
92651,PC,Player Character,"""I'm always looking for adventure, if the reward is right.""","""보상만 괜찮다면 언제든 모험을 찾아다니지.""",pre_tomi,,,,,0,0
