StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
69595,PC,Player Character,Not yet.,아직이에요.,q1bnora,,,,,0,0
69596,PC,Player Character,You weren't terribly attached to your family were you? ,가족에게 그렇게 애착이 없었나요?,q1bnora,x0_d1_didchaotny,con_q1hblake_5,,,0,0
69597,PC,Player Character,I have some terrible news for you.,끔찍한 소식이 있어요.,q1bnora,,con_q1hblake_5,,,0,0
69598,PC,Player Character,I have some good news and some bad news.,좋은 소식과 나쁜 소식이 있어요.,q1bnora,,con_q1bnora_4,,,0,0
69599,PC,Player Character,Let's just say you and your husband will have time to make a new kid. ,당신과 남편이 새 아이를 만들 시간은 있다고 해두죠.,q1bnora,x0_d1_didchaotny,con_q1bnora_6,,,0,0
69600,PC,Player Character,"I rescued your husband, but was too late to save your baby. ","남편은 구했지만, 아기를 구하기엔 너무 늦었어요.",q1bnora,,con_q1bnora_6,,,0,0
69601,PC,Player Character,"Adam lives, but your child was killed by a kobold.","아담은 살았지만, 아이는 코볼트에게 죽었어요.",q1bnora,,con_q1bnora_6,,,0,0
69602,PC,Player Character,I rescued your baby. ,아기를 구했어요.,q1bnora,,con_q1bnora_7,,,0,0
69603,PC,Player Character,"Your baby is fine, but Adam was killed.","아기는 괜찮지만, 아담은 죽었어요.",q1bnora,act_q1hblake_9,con_q1bnora_7,,,0,0
69604,PC,Player Character,"The baby is fine, but I do not have him on me.","아기는 괜찮은데, 지금 가지고 있진 않아요.",q1bnora,,con_q1hblake_9,,,0,0
69605,PC,Player Character,I put Tynan back in his crib. He is safe.,타이난을 침대에 다시 눕혔어요. 안전해요.,q1bnora,,con_q1bnora_10,,,0,0
69606,PC,Player Character,I am keeping your child.,아이를 제가 가질게요.,q1bnora,,con_q1hblake_3,,,0,0
69607,PC,Player Character,I don't need to explain. Goodbye. ,설명할 필요 없어요. 안녕히 계세요.,q1bnora,,,,,0,0
69608,PC,Player Character,I will think of something. Goodbye. ,뭔가 생각해 볼게요. 안녕히 계세요.,q1bnora,,,,,0,0
69609,PC,Player Character,I will sell him as a slave to the Thayvian wizard. ,테이 마법사한테 노예로 팔아버릴 거예요.,q1bnora,,con_never,,,0,0
69610,PC,Player Character,"Give me something now, if you want him back.",돌려받고 싶으면 지금 뭔가 주세요.,q1bnora,act_q1bnora_5,,,,0,0
69611,PC,Player Character,Then I am keeping him.,그럼 제가 가질게요.,q1bnora,,,,,0,0
69612,PC,Player Character,I was kidding. Here he is.,농담이었어요. 여기 있어요.,q1bnora,,,,,0,0
69613,PC,Player Character,Here is your young babe.,아기 여기 있어요.,q1bnora,act_q1bnora_3,con_q1hblake_3,,,0,0
69614,PC,Player Character,<StartCheck>[Persuade - Lie]</Start> He is alive. He is just waiting inside for you.,<StartCheck>[설득 - 거짓말]</Start> 살아있어요. 안에서 당신을 기다리고 있어요.,q1bnora,x0_d1_didcetny,,,,0,0
69615,PC,Player Character,I am afraid Adam didn't survive.,유감이지만 아담은 살아남지 못했어요.,q1bnora,,,,,0,0
69616,PC,Player Character,Would it help if I gave you some gold?,금화를 드리면 도움이 될까요?,q1bnora,,,,,0,0
69617,PC,Player Character,I guess you are right. Good luck then.,맞는 것 같네요. 행운을 빌어요.,q1bnora,,,,,0,0
69618,PC,Player Character,I insist. Here is fifty gold.,받으셔야 해요. 여기 금화 50개요.,q1bnora,nw_d1_mid_good,x1_50gold,,,0,0
