StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
71985,PC,Player Character,I am looking for some stolen relics.,도난당한 유물을 찾고 있어.,q2_urko,,,,,0,0
71986,PC,Player Character,I seek the kobolds who raided Hilltop.,힐탑을 습격한 코볼트들을 찾고 있어.,q2_urko,,,,,0,0
71987,PC,Player Character,"If you lie to me again, I will kill you.","다시 거짓말하면, 죽여버릴 거야.",q2_urko,,,,,0,0
71988,PC,Player Character,I want the relics you stole. ,네가 훔친 유물을 내놔.,q2_urko,,,,,0,0
71989,PC,Player Character,So who wants to tell me the truth?,그래서 누가 진실을 말해줄 건데?,q2_urko,,,,,0,0
71992,PC,Player Character,I only wanted to get close enough to kill the leader first! ,우두머리부터 죽이려고 가까이 가고 싶었을 뿐이야!,q2_urko,,,,,0,0
71993,PC,Player Character,"You had better answer all my questions, if you want to survive.","살고 싶으면, 내 질문에 전부 대답하는 게 좋을 거야.",q2_urko,,,,,0,0
71994,PC,Player Character,"Don't worry, scaly friend. I won't hurt you.","걱정 마, 비늘 달린 친구. 해치지 않을게.",q2_urko,,,,,0,0
71995,PC,Player Character,My name is <FirstName>. I just want to talk to you.,내 이름은 <FirstName>이야. 그냥 대화하고 싶어.,q2_urko,,,,,0,0
71996,PC,Player Character,Why are you so worried about gnolls? ,왜 그렇게 놀을 걱정해?,q2_urko,,,,,0,0
71997,PC,Player Character,What are gnolls?,놀이 뭐야?,q2_urko,,,,,0,0
71998,PC,Player Character,"<StartCheck>[Persuade - lie]</Start> Yes, there was a large group I had to sneak by, just to get in here.","<StartCheck>[설득 - 거짓말]</Start> 응, 여기 들어오려고 몰래 지나친 큰 무리가 있었어.",q2_urko,xp1_didnotlawti,,,,0,0
71999,PC,Player Character,I never saw any gnolls.,놀은 본 적 없어.,q2_urko,,,,,0,0
72000,PC,Player Character,I don't want to talk anymore. Goodbye.,더 이상 얘기하고 싶지 않아. 안녕.,q2_urko,,,,,0,0
72001,PC,Player Character,"You don't look like a very tough leader, Urko! ","별로 강해 보이지 않는 우두머리야, 우르코!",q2_urko,,,,,0,0
72002,PC,Player Character,"And I am sure you make a great leader, Urko. ","분명 훌륭한 우두머리일 거야, 우르코.",q2_urko,,,,,0,0
