StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
81137,PC,Player Character,Is that a threat?,그게 협박이야?,q2a_ali2,,,,,0,0
81138,PC,Player Character,Where are these zombies from? ,이 좀비들은 어디서 온 거야?,q2a_ali2,,,,,0,0
81139,PC,Player Character,All I need is some water.,물만 좀 있으면 돼.,q2a_ali2,,,,,0,0
81140,PC,Player Character,Do you not have any reserves of water?,비축해 둔 물은 없어?,q2a_ali2,,,,,0,0
81141,PC,Player Character,"We will need to work together, then. I must have water.",그럼 함께 협력해야겠네. 물이 필요해.,q2a_ali2,,,,,0,0
81142,PC,Player Character,Why do these things always happen to me?,왜 이런 일이 항상 나한테 일어나는 거지?,q2a_ali2,,,,,0,0
81143,PC,Player Character,"As I too need water, it seems our lives are intertwined.","나도 물이 필요하니, 우리 운명이 얽혀 있는 것 같네.",q2a_ali2,,,,,0,0
81144,PC,Player Character,Our caravan is in desperate need of water.,우리 캐러밴은 물이 절실해.,q2a_ali2,,,,,0,0
81145,PC,Player Character,I will be going now.,이제 갈게.,q2a_ali2,,,,,0,0
81146,PC,Player Character,So what do I get for helping you?,당신을 도우면 뭘 얻을 수 있지?,q2a_ali2,act_ali_3,con_ali_4,,,0,0
81147,PC,Player Character,I want to know more about this phaerimm.,이 페어림에 대해 더 알고 싶어.,q2a_ali2,,con_ali_3,,,0,0
81148,PC,Player Character,I have no further questions about the phaerimm.,페어림에 대한 질문은 없어.,q2a_ali2,,,,,0,0
81149,PC,Player Character,Why did it give you this power?,왜 그 힘을 줬어?,q2a_ali2,,,,,0,0
81150,PC,Player Character,But what did it get in return?,그 대가로 뭘 받았어?,q2a_ali2,,,,,0,0
81151,PC,Player Character,"What sort of power, exactly, did it give you?",정확히 어떤 종류의 힘을 줬어?,q2a_ali2,,,,,0,0
81152,PC,Player Character,Where is this prison it was in?,그게 갇혀 있던 감옥은 어디야?,q2a_ali2,,,,,0,0
81153,PC,Player Character,What manner of creature was it?,어떤 종류의 생명체였어?,q2a_ali2,,,,,0,0
