StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
93526,PC,Player Character,"""No thanks. Goodbye.""","""아니 괜찮아. 안녕.""",q2aparley,,,,,0,0
93527,PC,Player Character,"""What you mean?"" ","""무슨 뜻이야?""",q2aparley,,[지능 낮음],,,0,0
93528,PC,Player Character,"""What do you mean?""","""무슨 뜻이에요?""",q2aparley,,[지능 보통],,,0,0
93529,PC,Player Character,"""Thank you.""","""고마워.""",q2aparley,,,,,0,0
93530,PC,Player Character,"""No, you be wrong.""","""아니, 너 틀렸어.""",q2aparley,,[지능 낮음],,,0,0
93531,PC,Player Character,"""No. You are mistaken.""","""아니요. 잘못 아셨어요.""",q2aparley,,[지능 보통],,,0,0
93532,PC,Player Character,"""Yes, how you know?"" ","""응, 어떻게 알았어?""",q2aparley,,[지능 낮음],,,0,0
93533,PC,Player Character,"""Yes, how'd you know?"" ","""네, 어떻게 아셨어요?""",q2aparley,,[지능 보통],,,0,0
93534,PC,Player Character,"""Yes, me be <him/her>."" ","""응, 나 그거야.""",q2aparley,,[지능 낮음],,,0,0
93535,PC,Player Character,"""Yes, that is I.""","""네, 제가 그 사람입니다.""",q2aparley,,[지능 보통],,,0,0
93536,PC,Player Character,"""Goodbye.""","""안녕.""",q2aparley,,,,,0,0
93537,PC,Player Character,"""True. Me no want more stuff to worry 'bout."" ","""맞아. 나 걱정거리 더 원하지 않아.""",q2aparley,,[지능 낮음],,,0,0
93538,PC,Player Character,"""True. I really don't want to know.""","""맞아요. 정말 알고 싶지 않아요.""",q2aparley,,[지능 보통],,,0,0
93539,PC,Player Character,"""True. Me gots troubles. But me likes to hear yours anyways."" ","""맞아. 나 문제 있어. 근데 나 네 얘기도 듣고 싶어.""",q2aparley,,[지능 낮음],,,0,0
93540,PC,Player Character,"""True, I have troubles; but sometimes it helps to share them.""","""맞아요, 전 문제가 있어요. 하지만 때론 나누는 게 도움이 되죠.""",q2aparley,,[지능 보통],,,0,0
93541,PC,Player Character,"""Hurry tale and tell problem.""","""빨리 얘기하고 문제 말해.""",q2aparley,,[지능 낮음],,,0,0
93542,PC,Player Character,"""Hurry up and explain your problem.""","""빨리 문제를 설명해 봐요.""",q2aparley,,[지능 보통],,,0,0
93543,PC,Player Character,"""Him sound strange."" ","""그 사람 이상하게 들려.""",q2aparley,,[지능 낮음],,,0,0
93544,PC,Player Character,"""That would be strange.""","""그거 이상하겠네요.""",q2aparley,,[지능 보통],,,0,0
93545,PC,Player Character,"""Me no care."" ","""나 신경 안 써.""",q2aparley,,[지능 낮음],,,0,0
93546,PC,Player Character,"""I don't care.""","""관심 없어요.""",q2aparley,,[지능 보통],,,0,0
93547,PC,Player Character,"""You hate it."" ","""너 싫어해.""",q2aparley,,,,,0,0
93548,PC,Player Character,"""You like it?"" ","""너 좋아해?""",q2aparley,,,,,0,0
93549,PC,Player Character,"""Me not know."" ","""나 몰라.""",q2aparley,,[지능 낮음],,,0,0
93550,PC,Player Character,"""I have no idea.""","""모르겠어요.""",q2aparley,,[지능 보통],,,0,0
93551,PC,Player Character,"""That be it? Me listen to you for no reason?"" ","""그게 다야? 나 아무 이유 없이 들은 거야?""",q2aparley,,[지능 낮음],,,0,0
93552,PC,Player Character,"""That's it? I listened to all that for no reason?""","""그게 다예요? 제가 아무 이유 없이 다 들은 거예요?""",q2aparley,,[지능 보통],,,0,0
93553,PC,Player Character,"""You welcome, me thinks."" ","""별말씀을, 나 생각해.""",q2aparley,,[지능 낮음],,,0,0
93554,PC,Player Character,"""You're welcome, I guess."" ","""별말씀을요, 그런 것 같네요.""",q2aparley,,[지능 보통],,,0,0
