StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
94039,PC,Player Character,"""I want to ask you some questions."" ","""몇 가지 물어보고 싶은 게 있어.""",q2b03ogrehighmag,,,,,0,0
94040,PC,Player Character,"""You're pretty well spoken, for an ogre."" ","""오우거 치고는 말을 꽤 잘하는군.""",q2b03ogrehighmag,,,,,0,0
94041,PC,Player Character,"""Are you sure you're an ogre? You don't sound like one.""","""정말 오우거 맞아? 그렇게 안 들리는데.""",q2b03ogrehighmag,,,,,0,0
94042,PC,Player Character,"""I think it's time for you to die now."" ","""이제 죽을 시간이야.""",q2b03ogrehighmag,,,,,0,0
94043,PC,Player Character,"""I defeated you. Now you are my slave.""","""내가 이겼어. 이제 넌 내 노예야.""",q2b03ogrehighmag,,,,,0,0
94044,PC,Player Character,"""What do you mean, 'terms'?""","""'조건'이라니, 무슨 뜻이지?""",q2b03ogrehighmag,,,,,0,0
94045,PC,Player Character,"""I'd rather just kill you.""","""그냥 죽이는 게 낫겠어.""",q2b03ogrehighmag,,,,,0,0
94046,PC,Player Character,"""Answer my questions now and I'll decide what to do with you after.""","""지금 질문에 답해. 그 다음에 어떻게 할지 결정할게.""",q2b03ogrehighmag,,,,,0,0
94047,PC,Player Character,"""Um... sure.""","""음... 좋아.""",q2b03ogrehighmag,,,,,0,0
94048,PC,Player Character,"""You're free to go."" ","""가도 좋아.""",q2b03ogrehighmag,,,,,0,0
94049,PC,Player Character,"""Tell me about this Fairy Queen you mentioned.""","""네가 말한 요정 여왕에 대해 말해 봐.""",q2b03ogrehighmag,,,,,0,0
94050,PC,Player Character,"""Do you know how to get down below this level?""","""이 층 아래로 내려가는 방법 알아?""",q2b03ogrehighmag,,,,,0,0
94051,PC,Player Character,"""How do I do that?""","""어떻게 하는데?""",q2b03ogrehighmag,,,,,0,0
94052,PC,Player Character,"""And bring Waterdeep down on my head?""","""그러다 워터딥이 날 덮치면?""",q2b03ogrehighmag,,,,,0,0
94053,PC,Player Character,"""What do you know about Undermountain?"" ","""언더마운틴에 대해 뭘 알고 있어?""",q2b03ogrehighmag,,,,,0,0
94054,PC,Player Character,"""Who are you? How did you end up here?""","""넌 누구야? 어떻게 여기까지 오게 됐어?""",q2b03ogrehighmag,,,,,0,0
94055,PC,Player Character,"""Didn't you ever try to escape?""","""탈출하려고 시도해 본 적 없어?""",q2b03ogrehighmag,,,,,0,0
94056,PC,Player Character,"""What fairy?""","""무슨 요정?""",q2b03ogrehighmag,,,,,0,0
94057,PC,Player Character,"""Don't get too excited. You are still in my power.""","""너무 들뜨지 마. 넌 여전히 내 힘 안에 있어.""",q2b03ogrehighmag,,,,,0,0
94058,PC,Player Character,"""Tell me about this Fairy Queen.""","""요정 여왕에 대해 말해 봐.""",q2b03ogrehighmag,,,,,0,0
94059,PC,Player Character,"""You mentioned a power shift in Undermountain?""","""언더마운틴에 세력 변화가 있었다고?""",q2b03ogrehighmag,,,,,0,0
94060,PC,Player Character,"""Halaster is gone?""","""할라스터가 사라졌다고?""",q2b03ogrehighmag,,,,,0,0
94061,PC,Player Character,"""The Fairy Queen is defeated.""","""요정 여왕을 물리쳤어.""",q2b03ogrehighmag,,q2bfairy0,,,0,0
94062,PC,Player Character,"""Enough. It's time to answer some questions.""","""됐어. 이제 질문에 답할 시간이야.""",q2b03ogrehighmag,,,,,0,0
94063,PC,Player Character,"""Her forces are destroyed, though I allowed her to live.""","""그녀의 군대는 전멸했어. 하지만 살려는 뒀지.""",q2b03ogrehighmag,,q2bfairy10,,,0,0
94064,PC,Player Character,"""I killed her myself.""","""내가 직접 죽였어.""",q2b03ogrehighmag,,q2bfairy20,,,0,0
94065,PC,Player Character,"""That will be tough, considering I plan to kill you.""","""그건 힘들 텐데, 널 죽일 계획이거든.""",q2b03ogrehighmag,,,,,0,0
94066,PC,Player Character,"""I have some questions for you first.""","""먼저 물어볼 게 있어.""",q2b03ogrehighmag,,,,,0,0
103965,PC,Player Character,"""People just need time to get used to you Deekin.""","""사람들이 익숙해지려면 시간이 필요해, 디킨.""",q2b03ogrehighmag,,,,,0,0
103966,PC,Player Character,"""Or they might hate you more.""","""아니면 더 싫어할 수도 있고.""",q2b03ogrehighmag,,,,,0,0
103967,PC,Player Character,You are a thief.,넌 도둑이야.,q2b03ogrehighmag,,,,,0,0
