StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
81904,PC,Player Character,Stupid beast. I guess I shall have to kill you too!,멍청한 짐승. 너도 죽여야겠군!,q3b_sphinx,,,,,0,0
81905,PC,Player Character,"No, I'd rather just kill you.","아니, 그냥 널 죽이는 게 낫겠어.",q3b_sphinx,,,,,0,0
81906,PC,Player Character,I guess so.,그런 것 같아.,q3b_sphinx,,,,,0,0
81907,PC,Player Character,Great. I suppose if we can't communicate you won't be offering me a reward.,좋아. 의사소통이 안 되면 보상도 없겠네.,q3b_sphinx,,,,,0,0
81908,PC,Player Character,What does that mean?,그게 무슨 뜻이야?,q3b_sphinx,,,,,0,0
81909,PC,Player Character,I have no idea what you just said.,방금 뭐라고 한 건지 모르겠어.,q3b_sphinx,,,,,0,0
81910,PC,Player Character,I don't like to share my name.,내 이름을 알려주고 싶지 않아.,q3b_sphinx,,,,,0,0
81911,PC,Player Character,I am <FullName>. What is your name?,나는 <FullName>. 이름이 뭐야?,q3b_sphinx,,,,,0,0
81912,PC,Player Character,My name is <FirstName>. Who are you?,내 이름은 <FirstName>. 너는 누구지?,q3b_sphinx,,,,,0,0
81913,PC,Player Character,"Yes, it was a close battle. ","응, 아슬아슬한 싸움이었어.",q3b_sphinx,,,,,0,0
81914,PC,Player Character,I have never had such a close brush with death. ,이렇게 죽을 뻔한 적은 처음이야.,q3b_sphinx,,,,,0,0
81915,PC,Player Character,They were easy as cake. ,식은 죽 먹기였어.,q3b_sphinx,,,,,0,0
81916,PC,Player Character,Not much. ,별로.,q3b_sphinx,,,,,0,0
81917,PC,Player Character,I'll be going now.,이제 갈게.,q3b_sphinx,,,,,0,0
81918,PC,Player Character,Looking for some cute sphinx cousins?,귀여운 스핑크스 사촌이라도 찾으러?,q3b_sphinx,,,,,0,0
81919,PC,Player Character,Wait. If you are leaving then I have more questions.,잠깐. 떠날 거면 질문이 더 있어.,q3b_sphinx,,,,,0,0
81920,PC,Player Character,Good luck.,행운을 빌어.,q3b_sphinx,,,,,0,0
81921,PC,Player Character,I enjoy riddles.,수수께끼 좋아해.,q3b_sphinx,,con_sphinx_2,,,0,0
81922,PC,Player Character,Memory.,기억.,q3b_sphinx,,,,,0,0
81923,PC,Player Character,Fire.,불.,q3b_sphinx,,,,,0,0
81924,PC,Player Character,Alcohol.,술.,q3b_sphinx,,,,,0,0
81925,PC,Player Character,Memory.,기억.,q3b_sphinx,,,,,0,0
81926,PC,Player Character,Life.,삶.,q3b_sphinx,,[지능 보통],,,0,0
