StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
72761,PC,Player Character,I need the Rod of Ruler.,지배자의 단장이 필요해.,q5_arzig,,q5_sc_talked_jum,,,0,0
72762,PC,Player Character,Fine. Goodbye. ,좋아. 안녕.,q5_arzig,,,,,0,0
72763,PC,Player Character,<StartCheck>[Persuade - Intimidate]</Start> Is the rod really worth your life?,<StartCheck>[설득 - 위협]</Start> 그 단장이 정말 네 목숨만큼 가치 있어?,q5_arzig,xp1_didnotgdsm,,,,0,0
72764,PC,Player Character,<StartCheck>[Persuade]</Start> What if I could work out a deal between you and the Master Jumper?,<StartCheck>[설득]</Start> 내가 너와 뜀박장 사이에 거래를 성사시킬 수 있다면?,q5_arzig,,,,,0,0
72765,PC,Player Character,That's telling him. ,잘 말했어.,q5_arzig,,,,,0,0
72766,PC,Player Character,"No, Chief, you will do what the Master Jumper says.","안 돼, 족장. 넌 뜀박장이 말하는 대로 해야 해.",q5_arzig,,,,,0,0
72767,PC,Player Character,"No, Chief, you must compromise as well.","안 돼, 족장. 너도 타협해야 해.",q5_arzig,,,,,0,0
72768,PC,Player Character,<StartAction>[Wait for Master Jumper to respond.]</Start>,<StartAction>[뜀박장이 대답하길 기다린다.]</Start>,q5_arzig,,,,,0,0
72769,PC,Player Character,"What do you want from the Master Jumper, Chief?","뜀박장한테 뭘 원해, 족장?",q5_arzig,,,,,0,0
72770,PC,Player Character,"No, Chief, Master Jumper is the one who decides. ","안 돼, 족장. 결정하는 건 뜀박장이야.",q5_arzig,,,,,0,0
72771,PC,Player Character,Calm yourself. Let's see what Master Jumper has to say about it. ,진정해. 뜀박장이 뭐라고 하는지 들어보자.,q5_arzig,,,,,0,0
72772,PC,Player Character,"What do you think, Master Jumper? ","어떻게 생각해, 뜀박장?",q5_arzig,,,,,0,0
72773,PC,Player Character,You had better shut up and listen! ,입 다물고 들어!,q5_arzig,,,,,0,0
72774,PC,Player Character,"Yes, the Chief must have the power!","맞아, 족장이 권력을 가져야 해!",q5_arzig,,,,,0,0
72775,PC,Player Character,"Maybe I was a little hasty. Would you reconsider, Chief? ","내가 좀 성급했나 봐. 다시 생각해 줄래, 족장?",q5_arzig,,,,,0,0
72776,PC,Player Character,Be quiet Klumph! ,"클룸프, 조용히 해!",q5_arzig,,,,,0,0
72777,PC,Player Character,Calm down or I'll tie you down!,진정해! 안 그러면 묶어버릴 거야!,q5_arzig,,,,,0,0
72778,PC,Player Character,But I don't know what to do with it.,그런데 그걸 어떻게 써야 할지 모르는데.,q5_arzig,,,,,0,0
72779,PC,Player Character,You could have just done that in the first place. ,처음부터 그렇게 했어야지.,q5_arzig,,,,,0,0
72780,PC,Player Character,I'll do my best. ,최선을 다하지.,q5_arzig,,,,,0,0
72781,PC,Player Character,<StartCheck>[Persuade]</Start> He cannot be the chief without power. ,<StartCheck>[설득]</Start> 권력 없이는 족장이 될 수 없어.,q5_arzig,,,,,0,0
72782,PC,Player Character,"That is a little open. Master Jumper, what do you think? ","좀 애매한데. 뜀박장, 어떻게 생각해?",q5_arzig,,,,,0,0
72783,PC,Player Character,That sounds fair.,공정해 보이는데.,q5_arzig,,,,,0,0
72784,PC,Player Character,Enough! We won't get anywhere with insults. ,그만! 욕설로는 아무 데도 못 가.,q5_arzig,,,,,0,0
72785,PC,Player Character,That would solve a lot of problems. ,그러면 많은 문제가 해결될 텐데.,q5_arzig,,,,,0,0
