StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
107065,PC,Player Character,"""I don't have time for this.""","""이런 것 할 시간 없어.""",q6_the_fool,,,,,0,0
107066,PC,Player Character,"""Forget it. I'm out of here.""","""됐어. 난 간다.""",q6_the_fool,,,,,0,0
107067,PC,Player Character,"""How do you know about the Valsharess?""","""발샤레스에 대해 어떻게 알아?""",q6_the_fool,,,,,0,0
107068,PC,Player Character,"""Time to die, clown!""","""죽을 시간이야, 광대!""",q6_the_fool,,,,,0,0
107069,PC,Player Character,"""I think I know what's going on in this town.""","""이 마을에서 무슨 일이 벌어지는지 알 것 같아.""",q6_the_fool,,,,,0,0
107070,PC,Player Character,"""Who are you? How do you know my name?""","""누구야? 내 이름은 어떻게 알아?""",q6_the_fool,,,,,0,0
107071,PC,Player Character,"""Go on.""","""계속해.""",q6_the_fool,,,,,0,0
107072,PC,Player Character,"""I don't get it. How did you become all-knowing?""","""이해가 안 가. 어떻게 전지전능하게 된 거야?""",q6_the_fool,,,,,0,0
107073,PC,Player Character,"""Mirror? What mirror?""","""거울? 무슨 거울?""",q6_the_fool,,,,,0,0
107074,PC,Player Character,"""If you have a point, just get to it.""","""하고 싶은 말이 있으면 그냥 해.""",q6_the_fool,,,,,0,0
107075,PC,Player Character,"""What does this have to do with me?""","""이게 나랑 무슨 상관이야?""",q6_the_fool,,,,,0,0
107076,PC,Player Character,"""Is there anything I can do to help?""","""도울 수 있는 일이 있을까?""",q6_the_fool,,,,,0,0
107077,PC,Player Character,"""So what happens if the mirror is fixed?""","""그래서 거울이 고쳐지면 어떻게 돼?""",q6_the_fool,,,,,0,0
107078,PC,Player Character,"""Why don't you just give the frame to me?""","""왜 그냥 틀을 나한테 안 줘?""",q6_the_fool,,,,,0,0
107079,PC,Player Character,"""So basically, she was spying on people.""","""기본적으로 사람들을 염탐한 거네.""",q6_the_fool,,,,,0,0
107080,PC,Player Character,"""Danger? What kind of danger?""","""위험? 무슨 위험?""",q6_the_fool,,,,,0,0
107081,PC,Player Character,"""I'll be back after I have all five pieces of the mirror.""","""거울 조각 다섯 개를 다 가지고 돌아올게.""",q6_the_fool,,,,,0,0
107082,PC,Player Character,"""I'm not going to help you with this.""","""이건 도와줄 생각 없어.""",q6_the_fool,,,,,0,0
107083,PC,Player Character,"""I want to ask you some questions.""","""질문 좀 하고 싶어.""",q6_the_fool,,,,,0,0
107084,PC,Player Character,"""If the mirror gets fixed, won't you go back to being a fool?""","""거울이 고쳐지면 다시 광대로 돌아가는 거 아니야?""",q6_the_fool,,,,,0,0
107085,PC,Player Character,"""How come there are no driders in here?""","""여기 왜 드라이더가 없지?""",q6_the_fool,,,,,0,0
107086,PC,Player Character,"""What if Sabal has some of the pieces and I have the others?""","""사발이 조각 일부를 갖고 있고 나도 나머지를 가지면 어떻게 돼?""",q6_the_fool,,q6_thefoolsabal1,,,0,0
107087,PC,Player Character,"""Sounds like you're playing Sabal and I against each other.""","""사발과 나를 서로 싸우게 하는 것 같은데.""",q6_the_fool,,q6_thefoolsabal1,,,0,0
107088,PC,Player Character,"""I have a mirror shard here for you.""","""여기 거울 파편 하나 있어.""",q6_the_fool,,q6_hasshard_sc,,,0,0
107089,PC,Player Character,"""Where can I find the mirror pieces?""","""거울 조각들을 어디서 찾을 수 있어?""",q6_the_fool,,,,,0,0
107090,PC,Player Character,"""I'll be going now.""","""이제 갈게.""",q6_the_fool,,,,,0,0
107091,PC,Player Character,"""I want to ask you something else.""","""다른 걸 물어보고 싶어.""",q6_the_fool,,,,,0,0
107092,PC,Player Character,"""Tell me more about the merchant.""","""상인에 대해 더 말해줘.""",q6_the_fool,,,,,0,0
107093,PC,Player Character,"""Tell me more about Queen Shaori.""","""샤오리 여왕에 대해 더 말해줘.""",q6_the_fool,,,,,0,0
107094,PC,Player Character,"""Tell me more about the wizard's tower.""","""마법사의 탑에 대해 더 말해줘.""",q6_the_fool,,,,,0,0
107095,PC,Player Character,"""Tell me more about the library.""","""도서관에 대해 더 말해줘.""",q6_the_fool,,,,,0,0
107096,PC,Player Character,"""Tell me more about the temple.""","""사원에 대해 더 말해줘.""",q6_the_fool,,,,,0,0
