StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
101297,PC,Player Character,"""That's all.""","""이게 다야.""",x2_associate,,,,,0,0
101298,PC,Player Character,"""I want to change your tactics.""","""전술을 바꾸고 싶어.""",x2_associate,,,,,0,0
101299,PC,Player Character,"""I don't want to change anything else right now.""","""지금은 다른 건 바꾸고 싶지 않아.""",x2_associate,,,,,0,0
101300,PC,Player Character,"""I don't want you to cast any spells until I say otherwise.""","""내가 말할 때까지 주문을 쓰지 마.""",x2_associate,x2_ch_spell_off,x2_ch_yes_spells,,,0,0
101301,PC,Player Character,"""I want you to go ahead and cast spells on your own.""","""알아서 주문을 써도 돼.""",x2_associate,x2_ch_spell_on,x2_ch_no_spells,,,0,0
101302,PC,Player Character,"""I want you to leave any traps that you see alone for now.""","""보이는 함정은 일단 그냥 놔둬.""",x2_associate,x2_ch_trap_off,x2_ch_yes_traps,,,0,0
101303,PC,Player Character,"""I want you to disarm any traps that you see.""","""보이는 함정은 해제해.""",x2_associate,x2_ch_trap_on,x2_ch_no_traps,,,0,0
101304,PC,Player Character,"""Don't try to be stealthy anymore.""","""더 이상 은신하려 하지 마.""",x2_associate,x2_d1_stealth3,x2_d1_instealth,,,0,0
101305,PC,Player Character,"""Stay stealthy, but only until the next fight.""","""은신해 있어, 하지만 다음 전투까지만.""",x2_associate,x2_d1_stealth2,,,,0,0
101306,PC,Player Character,"""Try to remain stealthy all the time.""","""항상 은신 상태를 유지해.""",x2_associate,x2_d1_stealth1,,,,0,0
101307,PC,Player Character [Companion Settings],"""Don't help me if I fail to open a locked door or chest.""","""잠긴 문이나 상자를 열지 못해도 도와주지 마.""",x2_associate,nw_ch_lock_off,nw_ch_yes_locks,[Companion Settings],,0,0
101308,PC,Player Character [Companion Settings],"""Help me if I fail to open a locked door or chest.""","""잠긴 문이나 상자를 열지 못하면 도와줘.""",x2_associate,nw_ch_lock_on,nw_ch_no_locks,[Companion Settings],,0,0
101309,PC,Player Character,"""I want to change the distance you stay away from me.""","""나와 떨어져 있는 거리를 바꾸고 싶어.""",x2_associate,,,,,0,0
101310,PC,Player Character [Follow: Far],Stay a long distance away.,멀리 떨어져 있어.,x2_associate,nw_ch_dist_18,,[Follow: Far],,0,0
101311,PC,Player Character [Follow: Medium],Keep a medium distance.,중간 거리를 유지해.,x2_associate,nw_ch_dist_12,,[Follow: Medium],,0,0
101312,PC,Player Character [Follow: Close],Stay close.,가까이 있어.,x2_associate,nw_ch_dist_6,,[Follow: Close],,0,0
101313,PC,Player Character,"""Go ahead and attack as soon as you see enemies.""","""적을 보는 즉시 공격해도 돼.""",x2_associate,x0_d1_hen_attck,x0_d2_hen_defnd,,,0,0
101314,PC,Player Character,"""Defend me and don't attack until I do.""","""날 방어하고 내가 공격할 때까지 공격하지 마.""",x2_associate,x0_d1_hen_defnd,x0_d2_hen_attck,,,0,0
101315,PC,Player Character,"""I need you to cast a group of buffing spells.""","""강화 주문들을 몇 개 써줘.""",x2_associate,x2_d1_setgroup,,,,0,0
101316,PC,Player Character,"""Never mind.""","""됐어.""",x2_associate,,,,,0,0
101317,PC,Player Character,"""Cast all the buffing spells you have.""","""가진 강화 주문을 전부 써.""",x2_associate,x2_d1_castbuff3,,,,0,0
101318,PC,Player Character,"""Cast all the buffing spells that last a long time.""","""오래 지속되는 강화 주문을 전부 써.""",x2_associate,x2_d1_castbuff2,,,,0,0
101319,PC,Player Character,"""Cast all the short duration buffing spells.""","""짧게 지속되는 강화 주문을 전부 써.""",x2_associate,x2_d1_castbuff1,,,,0,0
101320,PC,Player Character,"""Cast on all the party members.""","""파티원 전원에게 써.""",x2_associate,x0_d1_targetall,x2_d1_targetall,,,0,0
101321,PC,Player Character,"""Cast it on <CUSTOM77109>.""","""<CUSTOM77109>에게 써.""",x2_associate,x2_d1_targethen9,x2_d1_hashench9,,,0,0
101322,PC,Player Character,"""Cast it on <CUSTOM77108>.""","""<CUSTOM77108>에게 써.""",x2_associate,x2_d1_targethen8,x2_d1_hashench8,,,0,0
101323,PC,Player Character,"""Cast it on <CUSTOM77107>.""","""<CUSTOM77107>에게 써.""",x2_associate,x2_d1_targethen7,x2_d1_hashench7,,,0,0
101324,PC,Player Character,"""Cast it on <CUSTOM77106>.""","""<CUSTOM77106>에게 써.""",x2_associate,x2_d1_targethen6,x2_d1_hashench6,,,0,0
101325,PC,Player Character,"""Cast it on <CUSTOM77105>.""","""<CUSTOM77105>에게 써.""",x2_associate,x2_d1_targethen5,x2_d1_hashench5,,,0,0
101326,PC,Player Character,"""Cast it on <CUSTOM77104>.""","""<CUSTOM77104>에게 써.""",x2_associate,x2_d1_targethen4,x2_d1_hashench4,,,0,0
101327,PC,Player Character,"""Cast it on <CUSTOM77103>.""","""<CUSTOM77103>에게 써.""",x2_associate,x2_d1_targethen3,x2_d1_hashench3,,,0,0
101328,PC,Player Character,"""Cast it on <CUSTOM77102>.""","""<CUSTOM77102>에게 써.""",x2_associate,x2_d1_targethen2,x2_d1_hashench2,,,0,0
101329,PC,Player Character,"""Cast it on <CUSTOM77101>.""","""<CUSTOM77101>에게 써.""",x2_associate,x2_d1_targethen1,x2_d1_hashench1,,,0,0
101330,PC,Player Character,"""Cast it on me.""","""나한테 써.""",x2_associate,x0_d1_targetme,,,,0,0
101331,PC,Player Character,"""Cast it on yourself.""","""너한테 써.""",x2_associate,x0_d1_targetself,,,,0,0
101332,PC,Player Character,"""I need you to cast a spell.""","""주문을 써줘.""",x2_associate,,,,,0,0
101333,PC,Player Character,"""Never mind.""","""됐어.""",x2_associate,,,,,0,0
101334,PC,Player Character,Ultravision.,초시야.,x2_associate,x0_d1_castultra,x0_d2_hasultra,,,0,0
101335,PC,Player Character,True Seeing.,진실의 시야.,x2_associate,x0_d1_casttruese,x0_d2_hastruesee,,,0,0
101336,PC,Player Character,Summon Creature IX.,생명체 소환 9.,x2_associate,x0_d1_castsumm9,x0_d2_hassumm9,,,0,0
101337,PC,Player Character,Summon Creature VIII.,생명체 소환 8.,x2_associate,x0_d1_castsumm8,x0_d2_hassumm8,,,0,0
101338,PC,Player Character,Summon Creature VII.,생명체 소환 7.,x2_associate,x0_d1_castsumm7,x0_d2_hassumm7,,,0,0
101339,PC,Player Character,Summon Creature VI.,생명체 소환 6.,x2_associate,x0_d1_castsumm6,x0_d2_hassumm6,,,0,0
101340,PC,Player Character,Summon Creature V.,생명체 소환 5.,x2_associate,x0_d1_castsumm5,x0_d2_hassumm5,,,0,0
101341,PC,Player Character,Summon Creature IV.,생명체 소환 4.,x2_associate,x0_d1_castsumm4,x0_d2_hassumm4,,,0,0
101342,PC,Player Character,Summon Creature III.,생명체 소환 3.,x2_associate,x0_d1_castsumm3,x0_d2_hassumm3,,,0,0
101343,PC,Player Character,Summon Creature II.,생명체 소환 2.,x2_associate,x0_d1_castsumm2,x0_d2_hassumm2,,,0,0
101344,PC,Player Character,Summon Creature I.,생명체 소환 1.,x2_associate,x0_d1_castsumm1,x0_d2_hassumm1,,,0,0
101345,PC,Player Character,Stoneskin.,돌 피부.,x2_associate,x0_d1_caststonsk,x0_d2_hasstskin,,,0,0
101346,PC,Player Character,Spell Resistance.,주문 저항.,x2_associate,x0_d1_castspresi,x0_d2_hasspelres,,,0,0
