StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
110228,PC,Player Character,"""I need to ask you something.""","""물어볼 게 있습니다.""",x2_gatekeeper,,,,,0,0
110229,PC,Player Character,"""I have died and wish to return to where I fell.""","""죽었는데 쓰러진 곳으로 돌아가고 싶습니다.""",x2_gatekeeper,,,,,0,0
110230,PC,Player Character,"""But Toril is my home!""","""하지만 토릴이 제 고향이에요!""",x2_gatekeeper,,,,,0,0
110231,PC,Player Character,"""You can't comply? But I command you!""","""따를 수 없다고요? 하지만 명령하는 겁니다!""",x2_gatekeeper,,,,,0,0
110232,PC,Player Character,"""What? Who says I'm barred from there?""","""뭐라고요? 누가 제가 거기 출입 금지라고 했죠?""",x2_gatekeeper,,,,,0,0
110233,PC,Player Character,"""So you worked for Mephistopheles all along.""","""그래서 처음부터 메피스토펠레스를 위해 일했군요.""",x2_gatekeeper,,,,,0,0
110234,PC,Player Character,"""I knew it! You lied to me!""","""알았어! 날 속였군!""",x2_gatekeeper,,,,,0,0
110235,PC,Player Character,"""His forever? What do you mean?""","""영원히 그의 것? 무슨 말이에요?""",x2_gatekeeper,,,,,0,0
110236,PC,Player Character,"""But he's not here to command you now.""","""하지만 지금 그가 여기서 당신에게 명령하는 건 아니잖아요.""",x2_gatekeeper,,,,,0,0
110237,PC,Player Character,"""What is a True Name?""","""진명이 뭐죠?""",x2_gatekeeper,,,,,0,0
110238,PC,Player Character,"""So am I stuck here forever?""","""그러면 영원히 여기 갇히는 건가요?""",x2_gatekeeper,,,,,0,0
110239,PC,Player Character,"""What do you mean he took my place?""","""그가 제 자리를 대신했다니 무슨 말이에요?""",x2_gatekeeper,,,,,0,0
110240,PC,Player Character,"""Cania? Isn't that one of the Nine Hells?""","""카니아? 구층 지옥 중 하나 아닌가요?""",x2_gatekeeper,,[지능 높음],,,0,0
110241,PC,Player Character,"""The realm of Cania? What do you mean?""","""카니아의 영역? 무슨 뜻이죠?""",x2_gatekeeper,,[지능 중간],,,0,0
110242,PC,Player Character,"""Here? But... I'm not in Cania, am I?""","""여기요? 하지만... 제가 카니아에 있는 건 아니죠?""",x2_gatekeeper,,,,,0,0
110243,PC,Player Character,"""Is there nothing you can do to help me?""","""저를 도와줄 수 있는 건 아무것도 없나요?""",x2_gatekeeper,,,,,0,0
110244,PC,Player Character,"""I have other questions.""","""다른 질문이 있습니다.""",x2_gatekeeper,,,,,0,0
110245,PC,Player Character,"""I must go.""","""가야겠습니다.""",x2_gatekeeper,,,,,0,0
110246,PC,Player Character,"""What of my companions? Where are they?""","""제 동료들은요? 어디 있죠?""",x2_gatekeeper,,x2_hidecompanion,,,0,0
110247,PC,Player Character,"""No, summon no one.""","""아니요, 아무도 소환하지 마세요.""",x2_gatekeeper,,,,,0,0
110248,PC,Player Character,"""Summon forth Valen.""","""발렌을 소환하세요.""",x2_gatekeeper,,x2_gate_tryval,,,0,0
110249,PC,Player Character,"""Summon forth Nathyrra.""","""나시라를 소환하세요.""",x2_gatekeeper,,x2_gate_trynat,,,0,0
110250,PC,Player Character,"""Summon forth Deekin.""","""디킨을 소환하세요.""",x2_gatekeeper,,x2_gate_trydeeki,,,0,0
110251,PC,Player Character,"""I can't think of anyone else.""","""다른 사람은 생각나지 않네요.""",x2_gatekeeper,,,,,0,0
110252,PC,Player Character,"""I seek the Five-Fold Mysteries of the Sleeping Man.""","""잠자는 자의 오중 수수께끼를 찾고 있습니다.""",x2_gatekeeper,,h2c_gate_5fold,,,0,0
110253,PC,Player Character,"""Yes, it is. What is he waiting for?""","""네, 맞아요. 그가 뭘 기다리는 거죠?""",x2_gatekeeper,,,,,0,0
110254,PC,Player Character,"""And who is 'she'?""","""그리고 '그녀'는 누구죠?""",x2_gatekeeper,,,,,0,0
110255,PC,Player Character,"""So tell me again what I could do to return home?""","""그러면 집으로 돌아가려면 어떻게 해야 하는지 다시 말해주세요.""",x2_gatekeeper,,,,,0,0
