StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
77561,PC,Player Character,"No, stay here for now.","아니, 지금은 여기 있어.",xp1_hen_dor,,,,,0,0
77562,PC,Player Character,"Yes, come with me.","그래, 나와 함께 가.",xp1_hen_dor,,,,,0,0
77563,PC,Player Character,Just wait here a while longer.,조금 더 여기서 기다려.,xp1_hen_dor,,,,,0,0
77564,PC,Player Character,"Yes, come with me.","그래, 나와 함께 가.",xp1_hen_dor,,,,,0,0
77565,PC,Player Character,"No, never mind.","아니, 됐어.",xp1_hen_dor,,,,,0,0
77566,PC,Player Character,"Yes, come with me.","그래, 나와 함께 가.",xp1_hen_dor,,,,,0,0
77567,PC,Player Character,Never mind.,됐어.,xp1_hen_dor,,,,,0,0
77568,PC,Player Character,I think we need to part ways.,우리는 헤어져야 할 것 같아.,xp1_hen_dor,,,,,0,0
77569,PC,Player Character,"All right, stay with me, then.","좋아, 그럼 나와 함께 있어.",xp1_hen_dor,,,,,0,0
77570,PC,Player Character,Just stay here for the moment.,당분간 여기 있어.,xp1_hen_dor,,,,,0,0
77571,PC,Player Character,"Yes, you should go for now.","그래, 지금은 가는 게 좋겠어.",xp1_hen_dor,,x0_d2_ischapt1,,,0,0
77572,PC,Player Character,I'd like you to level up.,레벨을 올렸으면 해.,xp1_hen_dor,,x0_d2_hen_canlvl,,,0,0
77573,PC,Player Character,I want to change your tactics.,전술을 바꾸고 싶어.,xp1_hen_dor,,,,,0,0
77574,PC,Player Character,I don't want to change anything else right now.,지금은 다른 건 바꾸고 싶지 않아.,xp1_hen_dor,,,,,0,0
77575,PC,Player Character,I want to move faster and not bother with stealth or searching.,더 빠르게 이동하고 은신이나 탐색은 신경 쓰지 마.,xp1_hen_dor,x0_d1_hen_nomode,x0_d2_hen_inmode,,,0,0
77576,PC,Player Character,I need you to be stealthy right now.,지금은 은신해야 해.,xp1_hen_dor,x0_d1_hen_stlth,x0_d2_hen_stltn,,,0,0
77577,PC,Player Character [Companion Settings],Don't help me if I fail to open a locked door or chest.,잠긴 문이나 상자를 여는 데 실패해도 도와주지 마.,xp1_hen_dor,nw_ch_lock_off,nw_ch_yes_locks,[Companion Settings],,0,0
77578,PC,Player Character [Companion Settings],Help me if I fail to open a locked door or chest.,잠긴 문이나 상자를 여는 데 실패하면 도와줘.,xp1_hen_dor,nw_ch_lock_on,nw_ch_no_locks,[Companion Settings],,0,0
77579,PC,Player Character,I want to change the distance you stay away from me.,나와의 거리를 바꾸고 싶어.,xp1_hen_dor,,,,,0,0
77580,PC,Player Character [Follow: Far],Stay a long distance away from me.,나에게서 먼 거리를 유지해.,xp1_hen_dor,nw_ch_dist_18,,[Follow: Far],,0,0
77581,PC,Player Character [Follow: Medium],Keep a medium distance.,중간 거리를 유지해.,xp1_hen_dor,nw_ch_dist_12,,[Follow: Medium],,0,0
77582,PC,Player Character [Follow: Close],Stay close.,가까이 있어.,xp1_hen_dor,nw_ch_dist_6,,[Follow: Close],,0,0
77583,PC,Player Character,Go ahead and attack as soon as you see enemies.,적을 보는 즉시 공격해.,xp1_hen_dor,x0_d1_hen_attck,x0_d2_hen_defnd,,,0,0
77584,PC,Player Character,Defend me and don't attack until I do.,나를 방어하고 내가 공격할 때까지 공격하지 마.,xp1_hen_dor,x0_d1_hen_defnd,x0_d2_hen_attck,,,0,0
77585,PC,Player Character,I want to adjust your equipment.,장비를 조정하고 싶어.,xp1_hen_dor,,,,,0,0
77586,PC,Player Character,Can you identify my equipment?,내 장비를 감정해 줄 수 있어?,xp1_hen_dor,,x1_hen_canid,,,0,0
77587,PC,Player Character,I need you to cast a spell.,주문을 시전해 줘.,xp1_hen_dor,,x1_d2_dornacler,,,0,0
77588,PC,Player Character,Never mind.,됐어.,xp1_hen_dor,,,,,0,0
77589,PC,Player Character,"No, that's it.","아니, 그게 다야.",xp1_hen_dor,,,,,0,0
77590,PC,Player Character,Virtue.,덕성.,xp1_hen_dor,x0_d1_castvirtue,x0_d2_hasvirtue,,,0,0
77591,PC,Player Character,Ultravision.,초시야.,xp1_hen_dor,x0_d1_castultra,x0_d2_hasultra,,,0,0
77592,PC,Player Character,True Seeing.,진실의 시야.,xp1_hen_dor,x0_d1_casttruese,x0_d2_hastruesee,,,0,0
77593,PC,Player Character,Summon Creature IX.,생명체 소환 9.,xp1_hen_dor,x0_d1_castsumm9,x0_d2_hassumm9,,,0,0
77594,PC,Player Character,Summon Creature VIII.,생명체 소환 8.,xp1_hen_dor,x0_d1_castsumm8,x0_d2_hassumm8,,,0,0
77595,PC,Player Character,Summon Creature VII.,생명체 소환 7.,xp1_hen_dor,x0_d1_castsumm7,x0_d2_hassumm7,,,0,0
77596,PC,Player Character,Summon Creature VI.,생명체 소환 6.,xp1_hen_dor,x0_d1_castsumm6,x0_d2_hassumm6,,,0,0
77597,PC,Player Character,Summon Creature V.,생명체 소환 5.,xp1_hen_dor,x0_d1_castsumm5,x0_d2_hassumm5,,,0,0
77598,PC,Player Character,Summon Creature IV.,생명체 소환 4.,xp1_hen_dor,x0_d1_castsumm4,x0_d2_hassumm4,,,0,0
77599,PC,Player Character,Summon Creature III.,생명체 소환 3.,xp1_hen_dor,x0_d1_castsumm3,x0_d2_hassumm3,,,0,0
77600,PC,Player Character,Summon Creature II.,생명체 소환 2.,xp1_hen_dor,x0_d1_castsumm2,x0_d2_hassumm2,,,0,0
77601,PC,Player Character,Summon Creature I.,생명체 소환 1.,xp1_hen_dor,x0_d1_castsumm1,x0_d2_hassumm1,,,0,0
77602,PC,Player Character,Spell Resistance.,주문 저항.,xp1_hen_dor,x0_d1_castsplres,x0_d2_hasspelres,,,0,0
77603,PC,Player Character,Shield of Faith.,믿음의 방패.,xp1_hen_dor,x0_d1_castshdfth,x0_d2_hasshldfth,,,0,0
77604,PC,Player Character,See Invisibility.,투명체 보기.,xp1_hen_dor,x0_d1_castseeinv,x0_d2_hasseeinv,,,0,0
77605,PC,Player Character,Restoration.,회복.,xp1_hen_dor,x0_d1_castrestor,x0_d2_hasrestor,,,0,0
77606,PC,Player Character,Resistance.,저항.,xp1_hen_dor,x0_d1_castresist,x0_d2_hasresist,,,0,0
77607,PC,Player Character,Resist Elements.,원소 저항.,xp1_hen_dor,x0_d1_castresele,x0_d2_hasreselem,,,0,0
77608,PC,Player Character,Remove Fear.,공포 해제.,xp1_hen_dor,x0_d1_castremfr,x0_d2_hasremfear,,,0,0
77609,PC,Player Character,Remove Disease.,질병 치료.,xp1_hen_dor,x0_d1_castremdis,x0_d2_hasremdis,,,0,0
77610,PC,Player Character,Remove Curse.,저주 해제.,xp1_hen_dor,x0_d1_castremcur,x0_d2_hasremcurs,,,0,0
77611,PC,Player Character,Remove Blindness/Deafness.,실명/청각 상실 해제.,xp1_hen_dor,x0_d1_castrembdf,x0_d2_hasrembldf,,,0,0
77612,PC,Player Character,Protection From Elements.,원소로부터 보호.,xp1_hen_dor,x0_d1_castprelem,x0_d2_hasprelem,,,0,0
77613,PC,Player Character,Planar Ally.,차원의 협력자.,xp1_hen_dor,x0_d1_castplally,x0_d2_hasplanall,,,0,0
77614,PC,Player Character,Owl's Wisdom.,올빼미의 지혜.,xp1_hen_dor,x0_d1_castowlwis,x0_d2_hasowlwis,,,0,0
77615,PC,Player Character,Neutralize Poison.,독 중화.,xp1_hen_dor,x0_d1_castneupoi,x0_d2_hasneutpoi,,,0,0
77616,PC,Player Character,Negative Energy Protection.,부정적 에너지 보호.,xp1_hen_dor,x0_d1_castngenpr,x0_d2_hasnegenpr,,,0,0
77617,PC,Player Character,Mass Haste.,대규모 가속.,xp1_hen_dor,x0_d1_castmhaste,x0_d2_hasmhaste,,,0,0
77618,PC,Player Character,Mage Armor.,마법학자 갑옷.,xp1_hen_dor,x0_d1_castmagear,x0_d2_hasmagearm,,,0,0
77619,PC,Player Character,Light.,빛.,xp1_hen_dor,x0_d1_castlight,x0_d2_haslight,,,0,0
77620,PC,Player Character,Lesser Restoration.,하급 회복.,xp1_hen_dor,x0_d1_castlsrest,x0_d2_haslesrest,,,0,0
77621,PC,Player Character,Invisibility Sphere.,투명화 구체.,xp1_hen_dor,x0_d1_castinvsph,x0_d2_hasinvissp,,,0,0
77622,PC,Player Character,Invisibility,투명화,xp1_hen_dor,x0_d1_castinvis,x0_d2_hasinvis,,,0,0
77623,PC,Player Character,Improved Invisibility.,우수한 투명화.,xp1_hen_dor,x0_d1_castimpinv,x0_d2_hasimpinv,,,0,0
77624,PC,Player Character,Haste.,가속.,xp1_hen_dor,x0_d1_casthaste,x0_d2_hashaste,,,0,0
77625,PC,Player Character,Greater Restoration.,상급 회복.,xp1_hen_dor,x0_d1_castgrrest,x0_d2_hasgrrest,,,0,0
77626,PC,Player Character,Ghostly Visage.,유령의 형상.,xp1_hen_dor,x0_d1_castghovis,x0_d2_hasghostv,,,0,0
77627,PC,Player Character,Freedom of Movement.,자유 이동.,xp1_hen_dor,x0_d1_castfremov,x0_d2_hasfreemov,,,0,0
77628,PC,Player Character,Fox's Cunning,여우의 교활함,xp1_hen_dor,x0_d1_castfoxcun,x0_d2_hasfoxcun,,,0,0
77629,PC,Player Character,Find Traps.,함정 찾기.,xp1_hen_dor,x0_d1_castfindtr,x0_d2_hasfindtr,,,0,0
77630,PC,Player Character,Greater Sanctuary.,상급 성역.,xp1_hen_dor,x0_d1_castether,x0_d2_hasether,,,0,0
77631,PC,Player Character,Ethereal Visage.,에테르 형상.,xp1_hen_dor,x0_d1_castethvis,x0_d2_hasetherv,,,0,0
77632,PC,Player Character,Entropic Shield.,혼돈의 보호막.,xp1_hen_dor,x0_d1_castentshd,x0_d2_hasentshld,,,0,0
77633,PC,Player Character,Energy Buffer.,에너지 완충기.,xp1_hen_dor,x0_d1_castenbuff,x0_d2_hasenergyb,,,0,0
77634,PC,Player Character,"No, I've changed my mind.","아니, 마음을 바꿨어.",xp1_hen_dor,,,,,0,0
77635,PC,Player Character,"Yes, go ahead.","그래, 해.",xp1_hen_dor,x0_d1_targetself,,,,0,0
77636,PC,Player Character,Endure Elements.,원소 인내.,xp1_hen_dor,x0_d1_castendele,x0_d2_hasendelem,,,0,0
77637,PC,Player Character,Endurance.,지구력.,xp1_hen_dor,x0_d1_castendur,x0_d2_hasendur,,,0,0
77638,PC,Player Character,Eagle's Splendour.,독수리의 위엄.,xp1_hen_dor,x0_d1_casteagles,x0_d2_haseagles,,,0,0
77639,PC,Player Character,Divine Favor.,신의 은총.,xp1_hen_dor,x0_d1_castdivfav,x0_d2_hasdivfav,,,0,0
77640,PC,Player Character,Death Ward.,죽음 방비.,xp1_hen_dor,x0_d1_castdthwrd,x0_d2_hasdthward,,,0,0
77641,PC,Player Character,Create Undead.,언데드 생성.,xp1_hen_dor,x0_d1_castcrund,x0_d2_hascreund,,,0,0
77642,PC,Player Character,Create Greater Undead.,상급 언데드 생성.,xp1_hen_dor,x0_d1_castcrgrun,x0_d2_hascrgrund,,,0,0
77643,PC,Player Character,Continual Flame.,계속되는 불꽃.,xp1_hen_dor,x0_d1_castcontfl,x0_d2_hascontfl,,,0,0
77644,PC,Player Character,Clarity.,정화.,xp1_hen_dor,x0_d1_castclarit,x0_d2_hasclarity,,,0,0
77645,PC,Player Character,Cat's Grace.,고양이의 우아함.,xp1_hen_dor,x0_d1_castcatgr,x0_d2_hascatsg,,,0,0
77646,PC,Player Character,Bull's Strength.,황소의 근력.,xp1_hen_dor,x0_d1_castbullst,x0_d2_hasbulls,,,0,0
77647,PC,Player Character,I've changed my mind.,마음을 바꿨어.,xp1_hen_dor,,,,,0,0
77648,PC,Player Character,Cast it on my animal companion.,내 동물 동료에게 시전해.,xp1_hen_dor,x0_d1_targetcomp,x0_d2_hascompan,,,0,0
77649,PC,Player Character,Cast it on my familiar.,내 사역마에게 시전해.,xp1_hen_dor,x0_d1_targetfam,x0_d2_hasfamil,,,0,0
77650,PC,Player Character,Cast it on me.,내게 시전해.,xp1_hen_dor,x0_d1_targetme,,,,0,0
77651,PC,Player Character,Cast it on yourself.,네게 시전해.,xp1_hen_dor,x0_d1_targetself,,,,0,0
77652,PC,Player Character,Bless.,축복.,xp1_hen_dor,x0_d1_castbless,x0_d2_hasbless,,,0,0
77653,PC,Player Character,Animate Dead.,죽은 자 조종.,xp1_hen_dor,x0_d1_castandead,x0_d2_hasandead,,,0,0
77654,PC,Player Character,Aid.,원조.,xp1_hen_dor,x0_d1_castaid,x0_d2_hasaid,,,0,0
77655,PC,Player Character,What was it you wanted to say earlier?,아까 하고 싶었던 말이 뭐였어?,xp1_hen_dor,,x0_d2_hen_interp,,,0,0
77656,PC,Player Character,Let's stop and talk for a moment.,잠깐 멈춰서 얘기하자.,xp1_hen_dor,,,,,0,0
77657,PC,Player Character,I think that's enough talking for now.,지금은 대화는 이 정도면 충분한 것 같아.,xp1_hen_dor,,,,,0,0
77658,PC,Player Character,How are you right now?,지금 어때?,xp1_hen_dor,,,,,0,0
77659,PC,Player Character,I want to discuss your training.,네 훈련에 대해 얘기하고 싶어.,xp1_hen_dor,,,,,0,0
77660,PC,Player Character,<StartAction>[Dorna will gain levels as both a cleric and a rogue.]</Start> Split your training between cleric and rogue. ,<StartAction>[도르나는 성직자와 도적으로 레벨을 올립니다.]</Start> 성직자와 도적 사이에 훈련을 나눠.,xp1_hen_dor,,,,,0,0
77661,PC,Player Character,"<StartAction>[Dorna will gain levels as both a cleric and a rogue.]</Start> That's fine, continue as you are. ","<StartAction>[도르나는 성직자와 도적으로 레벨을 올립니다.]</Start> 괜찮아, 그대로 계속해.",xp1_hen_dor,,,,,0,0
77662,PC,Player Character,<StartAction>[Dorna will only gain levels as a rogue.]</Start> Concentrate on rogue training only. ,<StartAction>[도르나는 도적으로만 레벨을 올립니다.]</Start> 도적 훈련에만 집중해.,xp1_hen_dor,,,,,0,0
77663,PC,Player Character,<StartAction>[Dorna will only gain levels as a cleric.]</Start> I want to you concentrate on your cleric training only. ,<StartAction>[도르나는 성직자로만 레벨을 올립니다.]</Start> 성직자 훈련에만 집중했으면 해.,xp1_hen_dor,,,,,0,0
77664,PC,Player Character,Where is your ring? The one Drogan gave us?,네 반지는 어디 있어? 드로건이 우리에게 준 거 말이야?,xp1_hen_dor,,x0_d2_ischapt1,,,0,0
77665,PC,Player Character,And where do you keep it?,그리고 어디에 보관하고 있어?,xp1_hen_dor,,,,,0,0
77666,PC,Player Character,There's no need to be suspicious of me.,날 의심할 필요는 없어.,xp1_hen_dor,,,,,0,0
