StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
89457,PC,Player Character,"""Never mind.""","""신경 쓰지 마.""",xp2_hen_shar,,,,,0,0
89458,PC,Player Character,"""I think we need to part ways.""","""우리는 헤어져야 할 것 같아.""",xp2_hen_shar,,x2_d2_inreaper,,,0,0
89459,PC,Player Character,"""No, never mind.""","""아니, 신경 쓰지 마.""",xp2_hen_shar,,,,,0,0
89460,PC,Player Character,"""Wait here until I return.""","""내가 돌아올 때까지 여기서 기다려.""",xp2_hen_shar,,,,,0,0
89461,PC,Player Character,"""I need to go.""","""가야 해.""",xp2_hen_shar,,,,,0,0
89462,PC,Player Character,"""I want to change your tactics.""","""전술을 바꾸고 싶어.""",xp2_hen_shar,,,,,0,0
89463,PC,Player Character,"""I don't want to change anything else right now.""","""지금은 다른 건 바꾸고 싶지 않아.""",xp2_hen_shar,,,,,0,0
89464,PC,Player Character,"""I want you to leave any traps that you see alone.""","""보이는 함정은 그냥 내버려 둬.""",xp2_hen_shar,x2_ch_trap_off,x2_ch_yes_traps,,,0,0
89465,PC,Player Character,"""I want you to disarm any traps that you see.""","""보이는 함정은 모두 해제해 줘.""",xp2_hen_shar,x2_ch_trap_on,x2_ch_no_traps,,,0,0
89466,PC,Player Character,"""I want to move faster and not bother with searching or stealth.""","""더 빨리 움직이고 탐색이나 은신은 신경 쓰지 마.""",xp2_hen_shar,x0_d1_hen_nomode,x0_d2_hen_inmode,,,0,0
89467,PC,Player Character,"""I need you to be stealthy right now.""","""지금은 은밀하게 행동해 줘.""",xp2_hen_shar,x0_d1_hen_stlth,x0_d2_hen_stltn,,,0,0
89468,PC,Player Character [Companion Settings],"""Don't help me if I fail to open a locked door or chest.""","""잠긴 문이나 상자를 여는 데 실패해도 돕지 마.""",xp2_hen_shar,nw_ch_lock_off,nw_ch_yes_locks,[Companion Settings],,0,0
89469,PC,Player Character [Companion Settings],"""Help me if I fail to open a locked door or chest.""","""잠긴 문이나 상자를 여는 데 실패하면 도와줘.""",xp2_hen_shar,nw_ch_lock_on,nw_ch_no_locks,[Companion Settings],,0,0
89470,PC,Player Character,"""I want to change the distance you stay away from me.""","""나와의 거리를 바꾸고 싶어.""",xp2_hen_shar,,,,,0,0
89471,PC,Player Character [Follow: Far],"""Stay a long distance away.""","""멀리 떨어져 있어.""",xp2_hen_shar,nw_ch_dist_18,,[Follow: Far],,0,0
89472,PC,Player Character [Follow: Medium],"""Keep a medium distance.""","""중간 거리를 유지해.""",xp2_hen_shar,nw_ch_dist_12,,[Follow: Medium],,0,0
89473,PC,Player Character [Follow: Close],"""Stay close.""","""가까이 있어.""",xp2_hen_shar,nw_ch_dist_6,,[Follow: Close],,0,0
89474,PC,Player Character,"""Go ahead and attack as soon as you see enemies.""","""적을 보는 즉시 공격해.""",xp2_hen_shar,x0_d1_hen_attck,x0_d2_hen_defnd,,,0,0
89475,PC,Player Character,"""Defend me and don't attack until I do.""","""날 지키고 내가 공격할 때까지 공격하지 마.""",xp2_hen_shar,x0_d1_hen_defnd,x0_d2_hen_attck,,,0,0
89476,PC,Player Character,"""I want to adjust your equipment.""","""장비를 조정하고 싶어.""",xp2_hen_shar,,,,,0,0
89477,PC,Player Character,"""Can you identify my equipment?""","""내 장비를 감정해 줄 수 있어?""",xp2_hen_shar,,x1_hen_canid,,,0,0
89478,PC,Player Character,"""I want you to use your bard song now.""","""지금 음유시인의 노래를 사용해 줘.""",xp2_hen_shar,,x0_d2_hassong,,,0,0
89479,PC,Player Character,"""I need you to cast a group of buffing spells.""","""강화 주문 묶음을 시전해 줘.""",xp2_hen_shar,x2_d1_setgroup,,,,0,0
89480,PC,Player Character,"""Never mind.""","""신경 쓰지 마.""",xp2_hen_shar,,,,,0,0
89481,PC,Player Character,"""Cast all the buffing spells you have.""","""가진 강화 주문을 모두 시전해.""",xp2_hen_shar,x2_d1_castbuff3,,,,0,0
89482,PC,Player Character,"""Cast all the buffing spells that last a long time.""","""오래 지속되는 강화 주문을 모두 시전해.""",xp2_hen_shar,x2_d1_castbuff2,,,,0,0
89483,PC,Player Character,"""Cast all the short duration buffing spells.""","""짧게 지속되는 강화 주문을 모두 시전해.""",xp2_hen_shar,x2_d1_castbuff1,,,,0,0
89484,PC,Player Character,"""I need you to cast a spell.""","""주문을 시전해 줘.""",xp2_hen_shar,,,,,0,0
89485,PC,Player Character,"""Never mind.""","""신경 쓰지 마.""",xp2_hen_shar,,,,,0,0
89486,PC,Player Character,"""Wounding Whispers.""","""상처 입히는 속삭임.""",xp2_hen_shar,x2_d1_castwound,x2_d2_haswound,,,0,0
89487,PC,Player Character,"""Ultravision.""","""극한 시야.""",xp2_hen_shar,x0_d1_castultra,x0_d2_hasultra,,,0,0
89488,PC,Player Character,"""True Seeing.""","""진실의 시야.""",xp2_hen_shar,x0_d1_casttruese,x0_d2_hastruesee,,,0,0
89489,PC,Player Character,"""Summon Creature IX.""","""생명체 소환 9.""",xp2_hen_shar,x0_d1_castsumm9,x0_d2_hassumm9,,,0,0
89490,PC,Player Character,"""Summon Creature VIII.""","""생명체 소환 8.""",xp2_hen_shar,x0_d1_castsumm8,x0_d2_hassumm8,,,0,0
89491,PC,Player Character,"Summon Creature VII.""","""생명체 소환 7.""",xp2_hen_shar,x0_d1_castsumm7,x0_d2_hassumm7,,,0,0
89492,PC,Player Character,"""Summon Creature VI.""","""생명체 소환 6.""",xp2_hen_shar,x0_d1_castsumm6,x0_d2_hassumm6,,,0,0
89493,PC,Player Character,"""Summon Creature V.""","""생명체 소환 5.""",xp2_hen_shar,x0_d1_castsumm5,x0_d2_hassumm5,,,0,0
89494,PC,Player Character,"""Summon Creature IV.""","""생명체 소환 4.""",xp2_hen_shar,x0_d1_castsumm4,x0_d2_hassumm4,,,0,0
89495,PC,Player Character,"""Summon Creature III.""","""생명체 소환 3.""",xp2_hen_shar,x0_d1_castsumm3,x0_d2_hassumm3,,,0,0
89496,PC,Player Character,"""Summon Creature II.""","""생명체 소환 2.""",xp2_hen_shar,x0_d1_castsumm2,x0_d2_hassumm2,,,0,0
89497,PC,Player Character,"""Summon Creature I.""","""생명체 소환 1.""",xp2_hen_shar,x0_d1_castsumm1,x0_d2_hassumm1,,,0,0
89498,PC,Player Character,"""Stoneskin.""","""돌 피부.""",xp2_hen_shar,x0_d1_caststonsk,x0_d2_hasstskin,,,0,0
89499,PC,Player Character,"""Spell Resistance.""","""주문 저항.""",xp2_hen_shar,x0_d1_castspresi,x0_d2_hasspelres,,,0,0
89500,PC,Player Character,"""Spell Mantle.""","""주문 망토.""",xp2_hen_shar,x0_d1_castspmant,x0_d2_hasspman,,,0,0
89501,PC,Player Character,"""Shield of Faith.""","""믿음의 방패.""",xp2_hen_shar,x0_d1_castshfait,x0_d2_hasshldfth,,,0,0
89502,PC,Player Character,"""Shield.""","""방패.""",xp2_hen_shar,x0_d1_castshield,x0_d2_hasshield,,,0,0
89503,PC,Player Character,"""Shadow Shield.""","""그림자 방패.""",xp2_hen_shar,x0_d1_castshadsh,x0_d2_hasshdshld,,,0,0
89504,PC,Player Character,"""See Invisibility.""","""투명체 보기.""",xp2_hen_shar,x0_d1_castseeinv,x0_d2_hasseeinv,,,0,0
