StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
97212,Dialog,PILG_GENERIC,"Worry lines crease this shrewish woman's mottled, ash-grey face. You can tell that there are countless other places she would rather be than here.",걱정의 주름이 이 성미 고약한 여성의 얼룩진 회색 얼굴을 가로지릅니다. 그녀가 여기보다 다른 곳에 있고 싶어 한다는 걸 알 수 있습니다.,H2_PILG_GENERIC,,,,,0,0
97213,Dialog,PILG_GENERIC,"Fierce-looking as he is, this man seems intensely bored. His dour expression seems well suited to the gray pallor of his face.",사나워 보이지만 이 남자는 몹시 지루해 보입니다. 그의 침울한 표정은 창백한 회색 얼굴에 잘 어울립니다.,H2_PILG_GENERIC,,,,,0,0
97214,Dialog,PILG_GENERIC,"""If I knew the Reaper's True Name, would I be huddled around this fire right now, trying not to freeze?""","사신의 진명을 알았다면, 지금 이 불가에서 얼어 죽지 않으려고 웅크리고 있겠어?",H2_PILG_GENERIC,,,,,0,0
97215,Dialog,PILG_GENERIC,"""If I knew the Reaper's True Name, would I be sitting in a smoky tavern in the depths of Baator, frittering away my life's savings on foul-smelling mulled ale?""","사신의 진명을 알았다면, 베이아터 깊은 곳의 연기 자욱한 주점에서 악취 나는 향료 맥주에 평생 모은 돈을 낭비하고 있겠어?",H2_PILG_GENERIC,,,,,0,0
97216,Dialog,PILG_GENERIC,"""From the Material Plane are you? Hmph. Well you can forget it, there's no going home. The Gates are closed for you and me both. We stay here until we freeze or die of boredom.""","물질계에서 왔어? 흥. 잊어버려, 집에 갈 수 없어. 문은 너나 나나 닫혀 있어. 얼어 죽거나 지루해서 죽을 때까지 여기 있는 거야.",H2_PILG_GENERIC,,,,,0,0
97217,Dialog,PILG_GENERIC,"""Pfft. Do you have a better idea? Give it up, berk, you're trapped and clueless to boot.""","쳇. 더 좋은 생각이라도 있어? 포기해, 멍청이, 갇혀 있는 데다 아무것도 모르잖아.",H2_PILG_GENERIC,,,,,0,0
97218,Dialog,PILG_GENERIC,The githzerai gives you a sullen glare before turning away in boredom.,기스제라이가 침울하게 노려보다가 지루하다는 듯 고개를 돌립니다.,H2_PILG_GENERIC,,,,,0,0
97219,Dialog,PILG_GENERIC,"""Why so perky, berky? You're stuck here just as much as we are, freezing in the cold, huddling around campfires... What I'd give to be back in Limbo.""","왜 그렇게 씩씩해, 멍청이? 너도 우리처럼 여기 갇혀서 추위에 얼면서 모닥불 주위에 웅크리고 있잖아... 림보에 돌아갈 수만 있다면 뭐든 하겠어.",H2_PILG_GENERIC,,,,,0,0
97220,Dialog,PILG_GENERIC,"""Sensei Dharvana came to our monastery, preaching about the teachings of the Sleeping Man. It all sounded so wonderful... We sold all our belongings to finance our Pilgrimage here, to Cania, so we could see him.""","다르바나 사부가 우리 수도원에 와서 잠자는 자의 가르침을 설교했어. 전부 너무 멋지게 들렸지... 그분을 보기 위해 여기, 카니아까지 순례하려고 우리 재산을 다 팔았어.",H2_PILG_GENERIC,,,,,0,0
97221,Dialog,PILG_GENERIC,"""Only now the Gates have been closed and we're trapped here and the sensei won't even let us see this stupid Sleeping Man that we came here to see. Truth be told, I don't even think he exists.""","그런데 이제 문이 닫혀서 여기 갇혔고, 사부는 우리가 보러 온 그 멍청한 잠자는 자도 안 보여줘. 솔직히 말해서, 그가 존재하는지도 모르겠어.",H2_PILG_GENERIC,,,,,0,0
97222,Dialog,PILG_GENERIC,"""She says the Pilgrimage is a lesson in patience. No one's allowed to see the Sleeping Man until they've solved a bunch of mysteries about him. It's all just made up anyways...""","사부가 순례는 인내의 교훈이라고 해. 그에 대한 수수께끼를 풀기 전까지는 아무도 잠자는 자를 볼 수 없대. 어차피 다 지어낸 거야...",H2_PILG_GENERIC,,,,,0,0
97223,Dialog,PILG_GENERIC,"""Well I got as far as the third one before I gave up. The sensei wanted us to know why he left his home and I got to thinking about why all of us left on this Pilgrimage.""","음, 세 번째까지 하다가 포기했어. 사부가 그가 왜 고향을 떠났는지 알아내라고 했는데, 그러다 보니 우리가 왜 이 순례를 떠났는지 생각하게 되더라고.",H2_PILG_GENERIC,,,,,0,0
97224,Dialog,PILG_GENERIC,"""Our hearts had known no love. We lived this drab, gray existence in the wastes of Limbo and along came the sensei, so full of life and passion. She had found something to love and I guess we wanted that, too.""","우리 마음은 사랑을 몰랐어. 림보의 황무지에서 무미건조하고 칙칙한 삶을 살았는데, 생기와 열정이 넘치는 사부가 왔지. 사부는 사랑할 무언가를 찾았고, 우리도 그걸 원했던 것 같아.",H2_PILG_GENERIC,h2a_pilg_learn3,,,,0,0
97225,Dialog,PILG_GENERIC,"""Look, if you're that curious, go ask the sensei. I'm sure she'll tell you all about him.""","봐, 그렇게 궁금하면 사부한테 물어봐. 그분에 대해 다 말해줄 거야.",H2_PILG_GENERIC,,,,,0,0
97226,Dialog,PILG_GENERIC,"""Sensei Dharvana, she's the one who got us into this mess. You can find her out in the temple with her precious Sleeping Man in the northwest quarter of town. Big ornate place, you can't miss it.""","다르바나 사부, 우리를 이 난장판에 빠뜨린 장본인이야. 마을 북서쪽에 있는 신전에서 그녀의 소중한 잠자는 자와 함께 있을 거야. 크고 화려한 곳이니까 못 찾을 일은 없어.",H2_PILG_GENERIC,h2a_pilg_journ02,,,,0,0
97227,Dialog,PILG_GENERIC,"""Being trapped in the Eighth Hell with no hope for return isn't enough of a mess for you, is that it?""","돌아갈 희망도 없이 여덟 번째 지옥에 갇혀 있는 게 충분한 난장판이 아니야, 그거야?",H2_PILG_GENERIC,,,,,0,0
97228,Dialog,PILG_GENERIC,"""It's my home plane. I'm from Limbo, born and raised. My great great grandfather built the monastery I grew up in, shaped it out of pure chaos. Now I'll never see it again.""","내 고향 차원이야. 림보에서 태어나고 자랐어. 증조할아버지가 내가 자란 수도원을 순수한 혼돈에서 빚어 지으셨지. 이제 다시는 못 볼 거야.",H2_PILG_GENERIC,,,,,0,0
97229,Dialog,PILG_GENERIC,"""Why so perky, berky? You're stuck here just as much as we are, coming in from the awful cold, drinking our life's savings away on mulled ale, suffering the jibes of that tiefling, Swift...""","왜 그렇게 씩씩해, 멍청이? 너도 우리처럼 여기 갇혀서 끔찍한 추위에서 들어와, 향료 맥주에 평생 모은 돈을 마시고, 저 티플링 스위프트의 조롱에 시달리잖아...",H2_PILG_GENERIC,,,,,0,0
97230,Dialog,PILG_GENERIC,"""The Hells had a jester, so it seems. Thanks for putting an end to him when you did, mate. A bunch of us were thinking of doing the same.""","지옥에 광대가 있었던 모양이야. 그때 그를 끝장내 줘서 고마워, 친구. 우리 중 몇 명도 같은 생각을 하고 있었거든.",H2_PILG_GENERIC,,,,,0,0
97231,Dialog,PILG_GENERIC,"""The Hells have a jester, so it seems. Swift hooked up with us along the way and has made a nuisance of himself ever since. He had a tiff with the sensei recently, and now he's here drowning his sorrows.""","지옥에 광대가 있는 모양이야. 스위프트가 도중에 우리와 합류해서 그 이후로 계속 귀찮게 굴었어. 최근에 사부와 말다툼을 했고, 지금 여기서 술로 근심을 달래고 있어.",H2_PILG_GENERIC,,,,,0,0
97232,Dialog,PILG_GENERIC,"""The joker had plans to wake the Sleeping Man. I'm not saying he exists, mind you, but you don't go rubbing salt in another berk's wounds. It doesn't matter. Let him and the sensei have their fight.""","그 광대가 잠자는 자를 깨우려고 했대. 그가 존재한다는 건 아니지만, 그래도 남의 상처에 소금을 뿌리는 건 아니지. 상관없어. 그와 사부가 싸우든 말든.",H2_PILG_GENERIC,h2a_pilg_journ01,,,,0,0
97233,Dialog,PILG_GENERIC,"""Look, if you're that curious, go ask the sensei. I'm sure she'll tell you all about him.""","봐, 그렇게 궁금하면 사부한테 물어봐. 그분에 대해 다 말해줄 거야.",H2_PILG_GENERIC,,,,,0,0
97234,Dialog,PILG_GENERIC,"""Sensei Dharvana, she's the one who got us into this mess. You can find her out in the temple with her precious Sleeping Man in the northwest quarter of town. Big ornate place, you can't miss it.""","다르바나 사부, 우리를 이 난장판에 빠뜨린 장본인이야. 마을 북서쪽에 있는 신전에서 그녀의 소중한 잠자는 자와 함께 있을 거야. 크고 화려한 곳이니까 못 찾을 일은 없어.",H2_PILG_GENERIC,h2a_pilg_journ02,,,,0,0
97235,Dialog,PILG_GENERIC,"""Look, if you're that curious, go ask the sensei. I'm sure she'll tell you all about him.""","봐, 그렇게 궁금하면 사부한테 물어봐. 그분에 대해 다 말해줄 거야.",H2_PILG_GENERIC,,,,,0,0
97236,Dialog,PILG_GENERIC,"""Being trapped in the Eighth Hell with no hope for return isn't enough of a mess for you, is that it?""","돌아갈 희망도 없이 여덟 번째 지옥에 갇혀 있는 게 충분한 난장판이 아니야, 그거야?",H2_PILG_GENERIC,,,,,0,0
