StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
30086,Dialog,PRCHV,"Look, I don't mean to be rude - arguing with Captain Mung is draining. So you'll excuse me if I can't talk, all right? I've got supplies to move.","이봐요, 무례하려는 건 아닌데 - 먼그 선장과 말다툼하느라 지쳤어요. 얘기 못 하는 거 이해해 주세요, 알겠죠? 물자를 옮겨야 해서요.",M2Q1A00PRCHV,m2q1prichev001,,,,0,0
30087,Dialog,PRCHV,"Aw - what do you want? I'm telling you, this ain't the best of days so far. Captain Mung won't stop arguing with me.","아 - 뭘 원해요? 말하는데, 오늘은 정말 최악의 날이에요. 먼그 선장이 계속 나랑 다투거든요.",M2Q1A00PRCHV,m2q1prichev001,,,,0,0
30088,Dialog,PRCHV,"Hey, I'm not in the mood to talk right now. I have food and supplies to move, and I'm stuck arguing with Captain Mung. This is *not* a good day.","이봐요, 지금은 얘기할 기분이 아니에요. 식량과 물자를 옮겨야 하는데 먼그 선장과 말다툼 중이거든요. 정말 좋은 날이 *아니에요*.",M2Q1A00PRCHV,m2q1prichev001,,,,0,0
30089,Dialog,PRCHV,"Look, I saw you speaking with Captain Mung. I'm sure he told you some lies about me. At least let me tell you my side before you proclaim anything, will you?","이봐요, 당신이 먼그 선장과 얘기하는 걸 봤어요. 분명 나에 대해 거짓말을 했을 거예요. 뭔가 선언하기 전에 적어도 내 입장을 들어줄래요?",M2Q1A00PRCHV,m2q1prichev001,,,,0,0
30090,Dialog,PRCHV,"I don't even know what happened, but I got a bunch of goods that are making their way out to Neverwinter now. Let me thank you for it with this.","무슨 일이 있었는지 모르겠지만, 물자가 네버윈터로 가게 됐네요. 이걸로 감사의 뜻을 표할게요.",M2Q1A00PRCHV,m2q1a00prchvslc3,,,,0,0
30091,Dialog,PRCHV,"Yes. Goodbye. Now, back to trying to convince a money-hungry pig to do something charitable.","네. 안녕히. 이제 돈에 눈먼 돼지를 설득해서 자선 활동을 시키러 가야죠.",M2Q1A00PRCHV,,,,,0,0
30092,Dialog,PRCHV,"What does it matter to you, huh? Ahh... I'm sorry. The name's Prichev - and I'm a little pressed for time right now if you can't tell.","당신한테 무슨 상관이에요? 아... 미안해요. 이름은 프리체프예요 - 보다시피 지금 시간이 좀 촉박하거든요.",M2Q1A00PRCHV,,,,,0,0
30093,Dialog,PRCHV,"Good Captain Mung's only got room for one shipment. Of course, he wants the money from the valuable shipment - but the people of Neverwinter *need* this relief shipment.","먼그 선장은 화물 하나만 실을 자리가 있어요. 물론 그는 값비싼 화물에서 돈을 원하지만 - 네버윈터 사람들은 이 구호 물자가 *필요해요*.",M2Q1A00PRCHV,,,,,0,0
30094,Dialog,PRCHV,"Thank you. I won't hold you to any promises, but if you can get him to change his mind, well... it would be the right thing.","고마워요. 약속을 지키라고 하진 않겠지만, 그의 마음을 바꿀 수 있다면... 그게 옳은 일일 거예요.",M2Q1A00PRCHV,,,,,0,0
30095,Dialog,PRCHV,"Yes, and what did he say? Will he take the Neverwintan shipment after all? To think of those desperate souls. Please tell me you talked some sense into him. ","네, 그래서 뭐래요? 결국 네버윈터 화물을 실을 건가요? 그 절박한 사람들 생각 좀 해봐요. 제발 설득했다고 말해 주세요.",M2Q1A00PRCHV,,,,,0,0
