StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
23880,Dialog,QKNURSE,"Greetings, my <Lord/Lady>. How may I be of service? ","안녕하세요, <Lord/Lady>. 무엇을 도와드릴까요?",M1QKNURSE,,,,,0,0
23881,Dialog,QKNURSE,May whatever gods you pray to keep you safe from the plague.,"모시는 신이 당신을 역병에서 지켜주시길.",M1QKNURSE,,,,,0,0
23882,Dialog,QKNURSE,"On your way, then. I've got too many sick and suffering to waste my time on long goodbyes.","그럼 가세요. 아픈 사람들이 너무 많아서 긴 인사에 시간 쏟을 여유가 없어요.",M1QKNURSE,,,,,0,0
23883,Dialog,QKNURSE,"Off with you, then. I've no time for the likes of you.","그럼 가세요. 당신 같은 사람 상대할 시간 없어요.",M1QKNURSE,,,,,0,0
23884,Dialog,QKNURSE,"Your mind is feeble, my <Lord/Lady>. Never fear, I am used to dealing with patients whose minds have become enfeebled. I'll speak slow so you understand.","정신이 좀 약하시군요, <Lord/Lady>. 걱정 마세요, 정신이 약해진 환자들 상대하는 데 익숙해요. 천천히 말할게요.",M1QKNURSE,,,,,0,0
23885,Dialog,QKNURSE,"I really should be tending the sick, but for you my <Lord/Lady> I can spare a few moments.","환자들을 돌봐야 하는데, <Lord/Lady>를 위해서라면 잠깐 시간 낼 수 있어요.",M1QKNURSE,,,,,0,0
23886,Dialog,QKNURSE,"I really should be tending the sick, but I can spare a few moments, <sir/madam>.","환자들을 돌봐야 하는데, 잠깐 시간 낼 수 있어요, <sir/madam>.",M1QKNURSE,,,,,0,0
23887,Dialog,QKNURSE,Make it quick - my time is better spent easing the suffering of my patients.,"빨리 해주세요 - 환자들의 고통을 덜어주는 데 시간을 쓰는 게 나아요.",M1QKNURSE,,,,,0,0
23888,Dialog,QKNURSE,There's no cure for the plague - everybody knows that! All I can do is try to ease their suffering and make their last days less painful.,"역병 치료법은 없어요 - 다들 알잖아요! 고통을 줄이고 마지막 날들을 덜 힘들게 해주는 것밖에 못 해요.",M1QKNURSE,,,,,0,0
23889,Dialog,QKNURSE,"I heard Fenthick and Desther whispering about it once, but they clammed up right as soon as they saw me. That Desther gave me a foul look.","한번은 펜딕과 데스터가 그것에 대해 속삭이는 걸 들었는데, 절 보자마자 입을 다물더라고요. 데스터가 불쾌한 표정을 지었어요.",M1QKNURSE,,,,,0,0
23890,Dialog,QKNURSE,"I was a midwife, before the plague. But there ain't many babies being born now - not live ones, anyhow. I heard Castle Never needed nurses to tend their sick and dying, so I came.","역병 전에는 산파였어요. 하지만 지금은 태어나는 아기가 많지 않아요 - 살아서 태어나는 애는요. 네버 성에서 아픈 사람과 죽어가는 사람을 돌볼 간호사가 필요하다고 해서 왔어요.",M1QKNURSE,,,,,0,0
23891,Dialog,QKNURSE,I've heard my share. Desther and Aribeth are always arguing and Fenthick's always trying to keep the peace.,"나름 많이 들었죠. 데스터와 아리베스는 항상 다투고 펜딕은 항상 중재하려고 해요.",M1QKNURSE,,,,,0,0
23892,Dialog,QKNURSE,Some people won't have nothing to do with the sick. They board themselves up in their homes and don't come out for no reason. And they still get the Wailing Death. ,"어떤 사람들은 아픈 사람들 근처에도 안 가요. 집에 판자 대고 아예 밖에 안 나와요. 그래도 울부짖는 죽음에 걸려요.",M1QKNURSE,,,,,0,0
23893,Dialog,QKNURSE,Is there something else you wanted to know? Or can I get back to my duties?,"다른 알고 싶은 게 있으세요? 아니면 일하러 가도 될까요?",M1QKNURSE,,,,,0,0
23894,Dialog,QKNURSE,"Aribeth doesn't like him, I know that much. He's got a sharp tongue and a sour face, but I think it's more than that. But it's not really my place to speak of such things.","아리베스가 그를 싫어한다는 건 알아요. 말이 날카롭고 표정이 시큰둥하죠, 근데 그것 말고도 뭔가 있는 것 같아요. 근데 제가 그런 얘기할 처지는 아니죠.",M1QKNURSE,,,,,0,0
23895,Dialog,QKNURSE,"Lady Aribeth's always telling Fenthick not to put so much faith in Desther and his Helmites. You know they're lovers? Fenthick and Aribeth, I mean. Of course you know. Everybody knows. ","아리베스 경은 항상 펜딕에게 데스터와 그의 헬름 신도들을 너무 믿지 말라고 해요. 둘이 연인인 거 알아요? 펜딕과 아리베스 말이에요. 물론 알겠죠. 다들 알아요.",M1QKNURSE,,,,,0,0
23896,Dialog,QKNURSE,"Poor Fenthick. He's caught in the middle between Desther and Aribeth, always ends up having to pick one side or the other when they argue about how to save the city.","불쌍한 펜딕. 데스터와 아리베스 사이에 끼어서, 도시를 구하는 방법에 대해 다툴 때마다 한쪽을 들어야 해요.",M1QKNURSE,,,,,0,0
23897,Dialog,QKNURSE,Well I suppose that's about as direct as one can get.,"뭐, 그 정도면 직접적이네요.",M1QKNURSE,,,,,0,0
23898,Dialog,QKNURSE,"You interested in more of my gossip, my <Lord/Lady>?","제 뒷담화가 더 듣고 싶으세요, <Lord/Lady>?",M1QKNURSE,,,,,0,0
23899,Dialog,QKNURSE,"<StartCheck>[Success]</Start> Desther and his Helmites showed up soon after the plague started, just in time to get locked inside the city when the quarantine hit. ","<StartCheck>[성공]</Start> 데스터와 헬름 신도들은 역병이 시작된 직후에 나타났어요, 격리령이 내려졌을 때 도시 안에 갇힐 타이밍에 딱 맞춰서요.",M1QKNURSE,,,,,0,0
