StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
37163,Creature,Quint Jhareg,"All of us with faces dour, waiting for the Judgment hour!","모두들 얼굴이 침울하네, 심판의 시간을 기다리며!",M2Q3J_QUINT,,,,,0,0
37168,Creature,Quint Jhareg,"Judge, you grant me the suffering I have begged of Lathander for so long. For each child, I shall travel anew into the Abyss to do my penance.","심판관이여, 그토록 오래 라샌더께 빌었던 고통을 허락하시는군요. 각 아이를 위해, 참회하러 심연으로 새로이 여행하겠습니다.",M2Q3J_QUINT,,,,,0,0
37180,Creature,Quint Jhareg,"I did, Judge! Never will I forgive myself!","그랬습니다, 심판관이여! 절대 나 자신을 용서하지 못할 거예요!",M2Q3J_QUINT,,,,,0,0
37184,Creature,Quint Jhareg,"At last, the madness ends... The phylactery has brought nothing but evil to this house.... Come, brother. Now we both can rest... ","드디어 광기가 끝나는군요... 성구함은 이 집에 악만 가져왔어요.... 오세요, 형님. 이제 우리 둘 다 쉴 수 있어요...",M2Q3J_QUINT,,,,,0,0
37195,Creature,Quint Jhareg,"You are wiser than I surmised, my Judge... We deserve nothing more than this endless penance... ","생각보다 현명하시군요, 심판관이여... 우린 이 끝없는 참회 외에는 아무것도 받을 자격이 없어요...",M2Q3J_QUINT,,,,,0,0
37346,Creature,Quint Jhareg,"Stay back, dead one! I have fire to fight fire, you know! Fire to... fight fire... ","물러서, 죽은 자여! 불에는 불로 맞서는 거야, 알아! 불에는... 불로...",M2Q3J_QUINT,m2q3_quint001,,,vs_nquintm_050,0,0
37347,Creature,Quint Jhareg,"Quint - Quaintly, Quintessentially, Quint. But not Jhareg, not anymore. My dishonor brings me too much shame to ever taint my father's name... ","퀸트 - 그냥 퀸트야. 하지만 자렉은 아니야, 더 이상. 내 불명예가 너무 부끄러워서 아버지 이름을 더럽힐 수가 없어...",M2Q3J_QUINT,,,,,0,0
37348,Creature,Quint Jhareg,"We have and haven't, hadn't and had. Maybe it was my ghost you saw, counting woes... those I created and those that created me, yes?","만났으면서 안 만났고, 안 만났으면서 만났지. 어쩌면 당신이 본 건 내 유령이었을 거야, 비탄을 세는... 내가 만든 것들과 나를 만든 것들을, 그래?",M2Q3J_QUINT,,,,,0,0
37349,Creature,Quint Jhareg,"You? You'll be my Judge? But I'm not ready, I've just begun a new stage of my punishment! I'm going mad, you know. It helps me feel the pain more clearly... ","당신이? 당신이 내 심판관이 되겠다고? 하지만 준비가 안 됐어, 벌의 새 단계를 막 시작했는데! 미쳐가고 있어, 알아. 고통을 더 선명하게 느끼게 해주거든...",M2Q3J_QUINT,,,,,0,0
37350,Creature,Quint Jhareg,"They're here to punish me, to remind me of what I've done, to remind me of what my brother almost was. I stopped one corpse and created more!","그들은 날 벌하러 온 거야, 내가 한 일을 상기시키러, 형이 거의 됐던 것을 상기시키러. 시체 하나를 막았더니 더 많이 만들어 버렸어!",M2Q3J_QUINT,,,,,0,0
